# DeepLocPro subcellular localisation per protein.  This replaces a three-tool
# summary (SignalP 6 + DeepTMHMM + DeepLocPro); the other two tools' columns
# reached no published table or figure.
protein_id	deeplocpro_localization
gnl|extdb|AC1V0C_08295	Outer Membrane
gnl|extdb|AC1V0C_08300	Cytoplasmic
gnl|extdb|AC1V0C_08305	Extracellular
gnl|extdb|AC1V0C_08310	Outer Membrane
gnl|extdb|AC1V0C_08315	Periplasmic
gnl|extdb|AC1V0C_08320	Extracellular
gnl|extdb|AC1V0C_08325	Cytoplasmic
gnl|extdb|AC1V0C_08330	Cytoplasmic
gnl|extdb|AC1V0C_08335	Cytoplasmic
gnl|extdb|AC1V0C_08340	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08345	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08350	Cytoplasmic
gnl|extdb|AC1V0C_08355	Periplasmic
gnl|extdb|AC1V0C_08360	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08365	Cytoplasmic
gnl|extdb|AC1V0C_08370	Cytoplasmic
gnl|extdb|AC1V0C_08375	Cytoplasmic
gnl|extdb|AC1V0C_08380	Cytoplasmic
gnl|extdb|AC1V0C_08385	Outer Membrane
gnl|extdb|AC1V0C_08390	Cytoplasmic
gnl|extdb|AC1V0C_08395	Cytoplasmic
gnl|extdb|AC1V0C_08400	Cytoplasmic
gnl|extdb|AC1V0C_08405	Cytoplasmic
gnl|extdb|AC1V0C_08410	Cytoplasmic
gnl|extdb|AC1V0C_08415	Cytoplasmic
gnl|extdb|AC1V0C_08420	Cytoplasmic
gnl|extdb|AC1V0C_08425	Cytoplasmic
gnl|extdb|AC1V0C_08430	Cytoplasmic
gnl|extdb|AC1V0C_08435	Cytoplasmic
gnl|extdb|AC1V0C_08440	Cytoplasmic
gnl|extdb|AC1V0C_08445	Cytoplasmic
gnl|extdb|AC1V0C_08450	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08455	Outer Membrane
gnl|extdb|AC1V0C_08460	Cytoplasmic
gnl|extdb|AC1V0C_08465	Cytoplasmic
gnl|extdb|AC1V0C_08470	Cytoplasmic
gnl|extdb|AC1V0C_08475	Cytoplasmic
gnl|extdb|AC1V0C_08480	Cytoplasmic
gnl|extdb|AC1V0C_08485	Cytoplasmic
gnl|extdb|AC1V0C_08490	Cytoplasmic
gnl|extdb|AC1V0C_08495	Cytoplasmic
gnl|extdb|AC1V0C_08500	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08505	Cytoplasmic
gnl|extdb|AC1V0C_08510	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08515	Cytoplasmic
gnl|extdb|AC1V0C_08520	Cytoplasmic
gnl|extdb|AC1V0C_08525	Extracellular
gnl|extdb|AC1V0C_08530	Cytoplasmic
gnl|extdb|AC1V0C_08535	Cytoplasmic
gnl|extdb|AC1V0C_08540	Cytoplasmic
gnl|extdb|AC1V0C_08545	Cytoplasmic
gnl|extdb|AC1V0C_08550	Cytoplasmic
gnl|extdb|AC1V0C_08555	Cytoplasmic
gnl|extdb|AC1V0C_08560	Cytoplasmic
gnl|extdb|AC1V0C_08565	Cytoplasmic
gnl|extdb|AC1V0C_08570	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08575	Cytoplasmic
gnl|extdb|AC1V0C_08580	Periplasmic
gnl|extdb|AC1V0C_08585	Cytoplasmic
gnl|extdb|AC1V0C_08590	Periplasmic
gnl|extdb|AC1V0C_08595	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08600	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08605	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08610	Outer Membrane
gnl|extdb|AC1V0C_08615	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08620	Cytoplasmic
gnl|extdb|AC1V0C_08625	Cytoplasmic
gnl|extdb|AC1V0C_08630	Cytoplasmic
gnl|extdb|AC1V0C_08635	Cytoplasmic
gnl|extdb|AC1V0C_08640	Cytoplasmic
gnl|extdb|AC1V0C_08645	Cytoplasmic
gnl|extdb|AC1V0C_08650	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08655	Cytoplasmic
gnl|extdb|AC1V0C_08660	Periplasmic
gnl|extdb|AC1V0C_08665	Cytoplasmic
gnl|extdb|AC1V0C_08670	Cytoplasmic
gnl|extdb|AC1V0C_08675	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08680	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08685	Extracellular
gnl|extdb|AC1V0C_08690	Cytoplasmic
gnl|extdb|AC1V0C_08695	Extracellular
gnl|extdb|AC1V0C_08700	Cytoplasmic
gnl|extdb|AC1V0C_08705	Extracellular
gnl|extdb|AC1V0C_08710	Cytoplasmic
gnl|extdb|AC1V0C_08715	Cytoplasmic
gnl|extdb|AC1V0C_08720	Cytoplasmic
gnl|extdb|AC1V0C_08725	Cytoplasmic
gnl|extdb|AC1V0C_08730	Outer Membrane
gnl|extdb|AC1V0C_08735	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08740	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08745	Cytoplasmic
gnl|extdb|AC1V0C_08750	Cytoplasmic
gnl|extdb|AC1V0C_08755	Cytoplasmic
gnl|extdb|AC1V0C_08760	Cytoplasmic
gnl|extdb|AC1V0C_08765	Cytoplasmic
gnl|extdb|AC1V0C_08770	Cytoplasmic
gnl|extdb|AC1V0C_08775	Cytoplasmic
gnl|extdb|AC1V0C_08780	Cytoplasmic
gnl|extdb|AC1V0C_08785	Extracellular
gnl|extdb|AC1V0C_08790	Outer Membrane
gnl|extdb|AC1V0C_08795	Periplasmic
gnl|extdb|AC1V0C_08800	Outer Membrane
gnl|extdb|AC1V0C_08805	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08810	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08815	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08820	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08825	Periplasmic
gnl|extdb|AC1V0C_08830	Outer Membrane
gnl|extdb|AC1V0C_08835	Cytoplasmic
gnl|extdb|AC1V0C_08840	Periplasmic
gnl|extdb|AC1V0C_08845	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08850	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08855	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08860	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08865	Cytoplasmic
gnl|extdb|AC1V0C_08870	Cytoplasmic
gnl|extdb|AC1V0C_08875	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08880	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08885	Cytoplasmic
gnl|extdb|AC1V0C_08890	Cytoplasmic
gnl|extdb|AC1V0C_08895	Cytoplasmic
gnl|extdb|AC1V0C_08900	Periplasmic
gnl|extdb|AC1V0C_08905	Cytoplasmic
gnl|extdb|AC1V0C_08910	Cytoplasmic
gnl|extdb|AC1V0C_08915	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08920	Cytoplasmic
gnl|extdb|AC1V0C_08925	Cytoplasmic
gnl|extdb|AC1V0C_08930	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08935	Cytoplasmic
gnl|extdb|AC1V0C_08940	Cytoplasmic
gnl|extdb|AC1V0C_08945	Cytoplasmic
gnl|extdb|AC1V0C_08950	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08955	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08960	Cytoplasmic
gnl|extdb|AC1V0C_08965	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08970	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08975	Outer Membrane
gnl|extdb|AC1V0C_08980	Cytoplasmic
gnl|extdb|AC1V0C_08985	Cytoplasmic Membrane
gnl|extdb|AC1V0C_08990	Cytoplasmic
gnl|extdb|AC1V0C_08995	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09000	Periplasmic
gnl|extdb|AC1V0C_09005	Cytoplasmic
gnl|extdb|AC1V0C_09010	Cytoplasmic
gnl|extdb|AC1V0C_09015	Cytoplasmic
gnl|extdb|AC1V0C_09020	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09025	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09030	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09035	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09040	Periplasmic
gnl|extdb|AC1V0C_09045	Cytoplasmic
gnl|extdb|AC1V0C_09050	Outer Membrane
gnl|extdb|AC1V0C_09055	Cytoplasmic
gnl|extdb|AC1V0C_09060	Cytoplasmic
gnl|extdb|AC1V0C_09065	Cytoplasmic
gnl|extdb|AC1V0C_09070	Periplasmic
gnl|extdb|AC1V0C_09075	Cytoplasmic
gnl|extdb|AC1V0C_09080	Cytoplasmic
gnl|extdb|AC1V0C_09085	Cytoplasmic
gnl|extdb|AC1V0C_09090	Cytoplasmic
gnl|extdb|AC1V0C_09095	Cytoplasmic
gnl|extdb|AC1V0C_09100	Cytoplasmic
gnl|extdb|AC1V0C_09105	Cytoplasmic
gnl|extdb|AC1V0C_09110	Cytoplasmic
gnl|extdb|AC1V0C_09115	Cytoplasmic
gnl|extdb|AC1V0C_09120	Cytoplasmic
gnl|extdb|AC1V0C_09125	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09130	Cytoplasmic
gnl|extdb|AC1V0C_09135	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09140	Periplasmic
gnl|extdb|AC1V0C_09145	Periplasmic
gnl|extdb|AC1V0C_09150	Cytoplasmic
gnl|extdb|AC1V0C_09155	Cytoplasmic
gnl|extdb|AC1V0C_09160	Cytoplasmic
gnl|extdb|AC1V0C_09165	Cytoplasmic
gnl|extdb|AC1V0C_09170	Periplasmic
gnl|extdb|AC1V0C_09175	Cytoplasmic
gnl|extdb|AC1V0C_09180	Cytoplasmic
gnl|extdb|AC1V0C_09185	Cytoplasmic
gnl|extdb|AC1V0C_09190	Extracellular
gnl|extdb|AC1V0C_09200	Cytoplasmic
gnl|extdb|AC1V0C_09210	Cytoplasmic
gnl|extdb|AC1V0C_09215	Periplasmic
gnl|extdb|AC1V0C_09220	Cytoplasmic
gnl|extdb|AC1V0C_09225	Cytoplasmic
gnl|extdb|AC1V0C_09230	Cytoplasmic
gnl|extdb|AC1V0C_09235	Cytoplasmic
gnl|extdb|AC1V0C_09240	Cytoplasmic
gnl|extdb|AC1V0C_09245	Cytoplasmic
gnl|extdb|AC1V0C_09250	Outer Membrane
gnl|extdb|AC1V0C_09255	Cytoplasmic
gnl|extdb|AC1V0C_09260	Cytoplasmic
gnl|extdb|AC1V0C_09265	Periplasmic
gnl|extdb|AC1V0C_09270	Cytoplasmic
gnl|extdb|AC1V0C_09275	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09280	Cytoplasmic
gnl|extdb|AC1V0C_09285	Cytoplasmic
gnl|extdb|AC1V0C_09290	Cytoplasmic
gnl|extdb|AC1V0C_09295	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09300	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09305	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09310	Cytoplasmic
gnl|extdb|AC1V0C_09315	Cytoplasmic
gnl|extdb|AC1V0C_09320	Cytoplasmic
gnl|extdb|AC1V0C_09325	Outer Membrane
gnl|extdb|AC1V0C_09330	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09335	Cytoplasmic
gnl|extdb|AC1V0C_09340	Cytoplasmic
gnl|extdb|AC1V0C_09345	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09350	Cytoplasmic
gnl|extdb|AC1V0C_09355	Cytoplasmic
gnl|extdb|AC1V0C_09360	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09365	Cytoplasmic
gnl|extdb|AC1V0C_09370	Cytoplasmic
gnl|extdb|AC1V0C_09375	Cytoplasmic
gnl|extdb|AC1V0C_09380	Cytoplasmic
gnl|extdb|AC1V0C_09385	Outer Membrane
gnl|extdb|AC1V0C_09390	Cytoplasmic
gnl|extdb|AC1V0C_09395	Cytoplasmic
gnl|extdb|AC1V0C_09400	Cytoplasmic
gnl|extdb|AC1V0C_09405	Cytoplasmic
gnl|extdb|AC1V0C_09410	Cytoplasmic
gnl|extdb|AC1V0C_09415	Cytoplasmic
gnl|extdb|AC1V0C_09425	Cytoplasmic
gnl|extdb|AC1V0C_09430	Cytoplasmic
gnl|extdb|AC1V0C_09435	Cytoplasmic
gnl|extdb|AC1V0C_09440	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09445	Cytoplasmic
gnl|extdb|AC1V0C_09450	Cytoplasmic
gnl|extdb|AC1V0C_09455	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09460	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09465	Cytoplasmic
gnl|extdb|AC1V0C_09470	Cytoplasmic
gnl|extdb|AC1V0C_09475	Cytoplasmic
gnl|extdb|AC1V0C_09480	Cytoplasmic
gnl|extdb|AC1V0C_09485	Cytoplasmic
gnl|extdb|AC1V0C_09490	Cytoplasmic
gnl|extdb|AC1V0C_09495	Cytoplasmic
gnl|extdb|AC1V0C_09500	Cytoplasmic
gnl|extdb|AC1V0C_09505	Cytoplasmic
gnl|extdb|AC1V0C_09510	Periplasmic
gnl|extdb|AC1V0C_09515	Extracellular
gnl|extdb|AC1V0C_09520	Cytoplasmic
gnl|extdb|AC1V0C_09525	Cytoplasmic
gnl|extdb|AC1V0C_09530	Cytoplasmic
gnl|extdb|AC1V0C_09535	Cytoplasmic
gnl|extdb|AC1V0C_09540	Cytoplasmic
gnl|extdb|AC1V0C_09545	Cytoplasmic
gnl|extdb|AC1V0C_09550	Cytoplasmic
gnl|extdb|AC1V0C_09555	Cytoplasmic
gnl|extdb|AC1V0C_09560	Cytoplasmic
gnl|extdb|AC1V0C_09565	Cytoplasmic
gnl|extdb|AC1V0C_09570	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09575	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09580	Cytoplasmic
gnl|extdb|AC1V0C_09585	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09590	Cytoplasmic
gnl|extdb|AC1V0C_09595	Outer Membrane
gnl|extdb|AC1V0C_09600	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09605	Cytoplasmic
gnl|extdb|AC1V0C_09615	Cytoplasmic
gnl|extdb|AC1V0C_09620	Outer Membrane
gnl|extdb|AC1V0C_09625	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09630	Cytoplasmic
gnl|extdb|AC1V0C_09635	Cytoplasmic
gnl|extdb|AC1V0C_09640	Cytoplasmic
gnl|extdb|AC1V0C_09645	Cytoplasmic
gnl|extdb|AC1V0C_09650	Cytoplasmic
gnl|extdb|AC1V0C_09655	Cytoplasmic
gnl|extdb|AC1V0C_09660	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09665	Cytoplasmic
gnl|extdb|AC1V0C_09670	Cytoplasmic
gnl|extdb|AC1V0C_09675	Cytoplasmic
gnl|extdb|AC1V0C_09680	Cytoplasmic
gnl|extdb|AC1V0C_09685	Cytoplasmic
gnl|extdb|AC1V0C_09690	Outer Membrane
gnl|extdb|AC1V0C_09695	Cytoplasmic
gnl|extdb|AC1V0C_09700	Periplasmic
gnl|extdb|AC1V0C_09705	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09710	Outer Membrane
gnl|extdb|AC1V0C_09715	Cytoplasmic
gnl|extdb|AC1V0C_09720	Cytoplasmic
gnl|extdb|AC1V0C_09725	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09730	Periplasmic
gnl|extdb|AC1V0C_09735	Periplasmic
gnl|extdb|AC1V0C_09740	Cytoplasmic
gnl|extdb|AC1V0C_09745	Cytoplasmic
gnl|extdb|AC1V0C_09750	Cytoplasmic
gnl|extdb|AC1V0C_09755	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09760	Cytoplasmic
gnl|extdb|AC1V0C_09765	Cytoplasmic
gnl|extdb|AC1V0C_09770	Cytoplasmic
gnl|extdb|AC1V0C_09775	Cytoplasmic
gnl|extdb|AC1V0C_09780	Cytoplasmic
gnl|extdb|AC1V0C_09785	Cytoplasmic
gnl|extdb|AC1V0C_09790	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09795	Cytoplasmic
gnl|extdb|AC1V0C_09800	Extracellular
gnl|extdb|AC1V0C_09805	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09810	Cytoplasmic
gnl|extdb|AC1V0C_09815	Cytoplasmic
gnl|extdb|AC1V0C_09820	Cytoplasmic
gnl|extdb|AC1V0C_09825	Cytoplasmic
gnl|extdb|AC1V0C_09830	Cytoplasmic
gnl|extdb|AC1V0C_09835	Cytoplasmic
gnl|extdb|AC1V0C_09840	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09845	Cytoplasmic
gnl|extdb|AC1V0C_09850	Periplasmic
gnl|extdb|AC1V0C_09855	Cytoplasmic
gnl|extdb|AC1V0C_09860	Cytoplasmic
gnl|extdb|AC1V0C_09865	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09870	Cytoplasmic
gnl|extdb|AC1V0C_09875	Cytoplasmic
gnl|extdb|AC1V0C_09880	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09885	Periplasmic
gnl|extdb|AC1V0C_09890	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09905	Cytoplasmic
gnl|extdb|AC1V0C_09910	Cytoplasmic
gnl|extdb|AC1V0C_09915	Cytoplasmic
gnl|extdb|AC1V0C_09920	Cytoplasmic
gnl|extdb|AC1V0C_09925	Cytoplasmic
gnl|extdb|AC1V0C_09930	Cytoplasmic
gnl|extdb|AC1V0C_09935	Cytoplasmic
gnl|extdb|AC1V0C_09940	Cytoplasmic
gnl|extdb|AC1V0C_09945	Extracellular
gnl|extdb|AC1V0C_09950	Outer Membrane
gnl|extdb|AC1V0C_09955	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09960	Cytoplasmic
gnl|extdb|AC1V0C_09965	Cytoplasmic Membrane
gnl|extdb|AC1V0C_09970	Extracellular
gnl|extdb|AC1V0C_09980	Cytoplasmic
gnl|extdb|AC1V0C_09985	Periplasmic
gnl|extdb|AC1V0C_09990	Periplasmic
gnl|extdb|AC1V0C_09995	Periplasmic
gnl|extdb|AC1V0C_10000	Cytoplasmic
gnl|extdb|AC1V0C_10005	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10010	Cytoplasmic
gnl|extdb|AC1V0C_10015	Cytoplasmic
gnl|extdb|AC1V0C_10020	Cytoplasmic
gnl|extdb|AC1V0C_10025	Cytoplasmic
gnl|extdb|AC1V0C_10030	Cytoplasmic
gnl|extdb|AC1V0C_10035	Cytoplasmic
gnl|extdb|AC1V0C_10040	Cytoplasmic
gnl|extdb|AC1V0C_10045	Outer Membrane
gnl|extdb|AC1V0C_10050	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10055	Cytoplasmic
gnl|extdb|AC1V0C_10060	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10065	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10070	Cytoplasmic
gnl|extdb|AC1V0C_10075	Cytoplasmic
gnl|extdb|AC1V0C_10080	Cytoplasmic
gnl|extdb|AC1V0C_10085	Cytoplasmic
gnl|extdb|AC1V0C_10090	Cytoplasmic
gnl|extdb|AC1V0C_10095	Cytoplasmic
gnl|extdb|AC1V0C_10100	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10105	Cytoplasmic
gnl|extdb|AC1V0C_10110	Cytoplasmic
gnl|extdb|AC1V0C_10115	Cytoplasmic
gnl|extdb|AC1V0C_10120	Cytoplasmic
gnl|extdb|AC1V0C_10125	Cytoplasmic
gnl|extdb|AC1V0C_10130	Cytoplasmic
gnl|extdb|AC1V0C_10135	Cytoplasmic
gnl|extdb|AC1V0C_10140	Cytoplasmic
gnl|extdb|AC1V0C_10145	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10150	Cytoplasmic
gnl|extdb|AC1V0C_10155	Cytoplasmic
gnl|extdb|AC1V0C_10160	Cytoplasmic
gnl|extdb|AC1V0C_10165	Cytoplasmic
gnl|extdb|AC1V0C_10170	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10175	Cytoplasmic
gnl|extdb|AC1V0C_10180	Cytoplasmic
gnl|extdb|AC1V0C_10185	Cytoplasmic
gnl|extdb|AC1V0C_10190	Cytoplasmic
gnl|extdb|AC1V0C_10195	Cytoplasmic
gnl|extdb|AC1V0C_10200	Cytoplasmic
gnl|extdb|AC1V0C_10205	Cytoplasmic
gnl|extdb|AC1V0C_10210	Cytoplasmic
gnl|extdb|AC1V0C_10215	Cytoplasmic
gnl|extdb|AC1V0C_10220	Cytoplasmic
gnl|extdb|AC1V0C_10225	Cytoplasmic
gnl|extdb|AC1V0C_10230	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10235	Cytoplasmic
gnl|extdb|AC1V0C_10240	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10245	Cytoplasmic
gnl|extdb|AC1V0C_10250	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10255	Cytoplasmic
gnl|extdb|AC1V0C_10260	Cytoplasmic
gnl|extdb|AC1V0C_10265	Cytoplasmic
gnl|extdb|AC1V0C_10270	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10275	Cytoplasmic
gnl|extdb|AC1V0C_10280	Cytoplasmic
gnl|extdb|AC1V0C_10285	Cytoplasmic
gnl|extdb|AC1V0C_10290	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10295	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10300	Cytoplasmic
gnl|extdb|AC1V0C_10305	Cytoplasmic
gnl|extdb|AC1V0C_10310	Cytoplasmic
gnl|extdb|AC1V0C_10315	Cytoplasmic
gnl|extdb|AC1V0C_10320	Cytoplasmic
gnl|extdb|AC1V0C_10325	Cytoplasmic
gnl|extdb|AC1V0C_10330	Cytoplasmic
gnl|extdb|AC1V0C_10335	Cytoplasmic
gnl|extdb|AC1V0C_10340	Periplasmic
gnl|extdb|AC1V0C_10345	Outer Membrane
gnl|extdb|AC1V0C_10350	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10355	Cytoplasmic
gnl|extdb|AC1V0C_10360	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10365	Cytoplasmic
gnl|extdb|AC1V0C_10370	Cytoplasmic
gnl|extdb|AC1V0C_10375	Cytoplasmic
gnl|extdb|AC1V0C_10380	Cytoplasmic
gnl|extdb|AC1V0C_10385	Cytoplasmic
gnl|extdb|AC1V0C_10390	Cytoplasmic
gnl|extdb|AC1V0C_10395	Cytoplasmic
gnl|extdb|AC1V0C_10400	Cytoplasmic
gnl|extdb|AC1V0C_10405	Cytoplasmic
gnl|extdb|AC1V0C_10410	Cytoplasmic
gnl|extdb|AC1V0C_10415	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10420	Cytoplasmic
gnl|extdb|AC1V0C_10425	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10430	Cytoplasmic
gnl|extdb|AC1V0C_10435	Cytoplasmic
gnl|extdb|AC1V0C_10440	Cytoplasmic
gnl|extdb|AC1V0C_10445	Cytoplasmic
gnl|extdb|AC1V0C_10450	Cytoplasmic
gnl|extdb|AC1V0C_10455	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10460	Periplasmic
gnl|extdb|AC1V0C_10465	Cytoplasmic
gnl|extdb|AC1V0C_10470	Cytoplasmic
gnl|extdb|AC1V0C_10475	Cytoplasmic
gnl|extdb|AC1V0C_10480	Cytoplasmic
gnl|extdb|AC1V0C_10485	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10490	Cytoplasmic
gnl|extdb|AC1V0C_10495	Cytoplasmic
gnl|extdb|AC1V0C_10500	Cytoplasmic
gnl|extdb|AC1V0C_10505	Cytoplasmic
gnl|extdb|AC1V0C_10510	Cytoplasmic
gnl|extdb|AC1V0C_10515	Cytoplasmic
gnl|extdb|AC1V0C_10520	Cytoplasmic
gnl|extdb|AC1V0C_10525	Cytoplasmic
gnl|extdb|AC1V0C_10530	Cytoplasmic
gnl|extdb|AC1V0C_10535	Cytoplasmic
gnl|extdb|AC1V0C_10540	Cytoplasmic
gnl|extdb|AC1V0C_10545	Cytoplasmic
gnl|extdb|AC1V0C_10550	Cytoplasmic
gnl|extdb|AC1V0C_10555	Cytoplasmic
gnl|extdb|AC1V0C_10560	Cytoplasmic
gnl|extdb|AC1V0C_10600	Cytoplasmic
gnl|extdb|AC1V0C_10605	Periplasmic
gnl|extdb|AC1V0C_10610	Periplasmic
gnl|extdb|AC1V0C_10615	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10620	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10625	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10630	Periplasmic
gnl|extdb|AC1V0C_10635	Outer Membrane
gnl|extdb|AC1V0C_10640	Cytoplasmic
gnl|extdb|AC1V0C_10645	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10650	Cytoplasmic
gnl|extdb|AC1V0C_10655	Periplasmic
gnl|extdb|AC1V0C_10660	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10665	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10670	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10675	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10680	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10685	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10690	Cytoplasmic
gnl|extdb|AC1V0C_10695	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10700	Periplasmic
gnl|extdb|AC1V0C_10705	Outer Membrane
gnl|extdb|AC1V0C_10710	Cytoplasmic
gnl|extdb|AC1V0C_10715	Cytoplasmic
gnl|extdb|AC1V0C_10720	Cytoplasmic
gnl|extdb|AC1V0C_10725	Cytoplasmic
gnl|extdb|AC1V0C_10730	Cytoplasmic
gnl|extdb|AC1V0C_10735	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10740	Periplasmic
gnl|extdb|AC1V0C_10745	Cytoplasmic
gnl|extdb|AC1V0C_10750	Cytoplasmic
gnl|extdb|AC1V0C_10755	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10760	Cytoplasmic
gnl|extdb|AC1V0C_10765	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10770	Cytoplasmic
gnl|extdb|AC1V0C_10775	Cytoplasmic
gnl|extdb|AC1V0C_10780	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10785	Cytoplasmic
gnl|extdb|AC1V0C_10800	Cytoplasmic
gnl|extdb|AC1V0C_10810	Cytoplasmic
gnl|extdb|AC1V0C_10815	Cytoplasmic
gnl|extdb|AC1V0C_10820	Cytoplasmic
gnl|extdb|AC1V0C_10825	Cytoplasmic
gnl|extdb|AC1V0C_10830	Periplasmic
gnl|extdb|AC1V0C_10835	Periplasmic
gnl|extdb|AC1V0C_10840	Cytoplasmic
gnl|extdb|AC1V0C_10845	Cytoplasmic Membrane
gnl|extdb|AC1V0C_10850	Cytoplasmic
gnl|extdb|AC1V0C_10855	Cytoplasmic
gnl|extdb|AC1V0C_10860	Cytoplasmic
gnl|extdb|AC1V0C_10865	Cytoplasmic
gnl|extdb|AC1V0C_10870	Cytoplasmic
gnl|extdb|AC1V0C_10875	Extracellular
gnl|extdb|AC1V0C_10880	Cytoplasmic
gnl|extdb|AC1V0C_10885	Cytoplasmic
gnl|extdb|AC1V0C_10895	Extracellular
gnl|extdb|AC1V0C_10900	Cytoplasmic
gnl|extdb|AC1V0C_10905	Outer Membrane
