## Thu Aug  6 17:01:22 2026
## emapper-2.1.12
## /opt/miniconda3/envs/eggNOG-mapper/bin/emapper.py -i /home/andrey/scripts/MF6_proteomics_V2/data/annotation/annot.faa --itype proteins -m diamond --sensmode sensitive --dmnd_iterate no --block_size 0.4 --index_chunks 4 --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign realign --report_orthologs --excel --cpu 12 --data_dir /home/andrey/eggnog_db --temp_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog/tmp --output annot --output_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog --override
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gnl|extdb|AC1V0C_16550	216591.BCAL0464	5.68e-260	719.0	COG0758@1|root,COG0758@2|Bacteria,1MVF6@1224|Proteobacteria,2VH3W@28216|Betaproteobacteria,1K1PV@119060|Burkholderiaceae	28216|Betaproteobacteria	LU	DNA protecting protein DprA	smf	-	-	ko:K04096	-	-	-	-	ko00000	-	-	-	DNA_processg_A
gnl|extdb|AC1V0C_16555	216591.BCAL0463	5.93e-89	260.0	COG0526@1|root,COG0526@2|Bacteria,1N4JB@1224|Proteobacteria,2VU8V@28216|Betaproteobacteria,1K7NI@119060|Burkholderiaceae	28216|Betaproteobacteria	CO	Thioredoxin	-	-	-	-	-	-	-	-	-	-	-	-	Thioredoxin
gnl|extdb|AC1V0C_16560	216591.BCAL0462	0.0	1682.0	COG0550@1|root,COG0550@2|Bacteria,1MUFZ@1224|Proteobacteria,2VHUF@28216|Betaproteobacteria,1K0Y7@119060|Burkholderiaceae	28216|Betaproteobacteria	L	dna topoisomerase III	topB	-	5.99.1.2	ko:K03169	-	-	-	-	ko00000,ko01000,ko03032	-	-	-	Topoisom_bac,Toprim,Toprim_Crpt
gnl|extdb|AC1V0C_16565	216591.BCAL0461	1.82e-234	647.0	COG0583@1|root,COG0583@2|Bacteria,1MW16@1224|Proteobacteria,2VPNX@28216|Betaproteobacteria,1K091@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Transcriptional regulator, LysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gnl|extdb|AC1V0C_16570	216591.BCAL0460	5.72e-239	657.0	COG0111@1|root,COG0111@2|Bacteria,1MW0R@1224|Proteobacteria,2VHIZ@28216|Betaproteobacteria,1K2W9@119060|Burkholderiaceae	28216|Betaproteobacteria	C	D-isomer specific 2-hydroxyacid dehydrogenase	serA	-	1.1.1.399,1.1.1.95	ko:K00058	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	R01513	RC00031	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	2-Hacid_dh,2-Hacid_dh_C
gnl|extdb|AC1V0C_16575	292.DM42_1877	2.02e-212	586.0	COG1752@1|root,COG1752@2|Bacteria,1REEJ@1224|Proteobacteria,2VRMU@28216|Betaproteobacteria,1K0ZP@119060|Burkholderiaceae	28216|Betaproteobacteria	S	PFAM Patatin	-	-	-	-	-	-	-	-	-	-	-	-	Patatin
gnl|extdb|AC1V0C_16580	269482.Bcep1808_3293	1.79e-87	257.0	COG2050@1|root,COG2050@2|Bacteria,1MYM3@1224|Proteobacteria,2VTF1@28216|Betaproteobacteria,1K7CY@119060|Burkholderiaceae	28216|Betaproteobacteria	Q	PFAM thioesterase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
gnl|extdb|AC1V0C_16590	216591.BCAL0457	7.69e-188	527.0	2E9YS@1|root,3344A@2|Bacteria,1NKBF@1224|Proteobacteria,2W6ZX@28216|Betaproteobacteria,1KDE9@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Protein of unknown function (DUF3592)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3592
gnl|extdb|AC1V0C_16595	216591.BCAL0456	5.91e-136	385.0	COG5516@1|root,COG5516@2|Bacteria	2|Bacteria	S	CGNR zinc finger	-	-	-	-	-	-	-	-	-	-	-	-	ABATE,zf-CGNR
gnl|extdb|AC1V0C_16600	216591.BCAL0455	2.06e-192	534.0	COG0596@1|root,COG0596@2|Bacteria,1NSXF@1224|Proteobacteria,2VZBR@28216|Betaproteobacteria,1KGC2@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_6
gnl|extdb|AC1V0C_16605	216591.BCAL0454	1.36e-167	469.0	COG1126@1|root,COG1126@2|Bacteria,1MU9Q@1224|Proteobacteria,2VNBW@28216|Betaproteobacteria,1KGCE@119060|Burkholderiaceae	28216|Betaproteobacteria	E	ABC transporter	-	-	-	ko:K10010	ko02010,map02010	M00234	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.3.10,3.A.1.3.14	-	-	ABC_tran
gnl|extdb|AC1V0C_16610	216591.BCAL0453	2.94e-140	398.0	COG0765@1|root,COG0765@2|Bacteria,1QN80@1224|Proteobacteria,2VPCF@28216|Betaproteobacteria,1KGSZ@119060|Burkholderiaceae	28216|Betaproteobacteria	P	TIGRFAM polar amino acid ABC transporter, inner membrane subunit	tcyB_2	-	-	ko:K02029,ko:K10009	ko02010,map02010	M00234,M00236	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.3,3.A.1.3.10,3.A.1.3.14	-	-	BPD_transp_1
gnl|extdb|AC1V0C_16615	216591.BCAL0452	1.48e-175	490.0	COG0834@1|root,COG0834@2|Bacteria,1MXME@1224|Proteobacteria,2VRNE@28216|Betaproteobacteria,1KGCD@119060|Burkholderiaceae	28216|Betaproteobacteria	ET	Bacterial periplasmic substrate-binding proteins	-	-	-	ko:K02424	ko02010,map02010	M00234	-	-	ko00000,ko00001,ko00002,ko02000,ko02035	3.A.1.3.10,3.A.1.3.14	-	-	SBP_bac_3
gnl|extdb|AC1V0C_16620	292.DM42_1817	0.0	922.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2VIFS@28216|Betaproteobacteria,1K04V@119060|Burkholderiaceae	28216|Betaproteobacteria	C	belongs to the aldehyde dehydrogenase family	-	-	1.2.1.3	ko:K00128	ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130	M00135	R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146	RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
gnl|extdb|AC1V0C_16625	216591.BCAL0450	6.74e-288	787.0	COG1524@1|root,COG1524@2|Bacteria,1N5SF@1224|Proteobacteria,2VM3U@28216|Betaproteobacteria,1K2Y0@119060|Burkholderiaceae	28216|Betaproteobacteria	S	phosphonoacetate hydrolase	-	-	3.11.1.2	ko:K19670	ko00440,map00440	-	R00318	RC01309	ko00000,ko00001,ko01000	-	-	-	Phosphodiest
gnl|extdb|AC1V0C_16635	292.DM42_1811	0.0	899.0	COG0665@1|root,COG0665@2|Bacteria,1MVGP@1224|Proteobacteria,2VMJH@28216|Betaproteobacteria,1K498@119060|Burkholderiaceae	28216|Betaproteobacteria	E	FAD dependent oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	DAO
gnl|extdb|AC1V0C_16640	216591.BCAL0444	1.12e-140	400.0	COG1802@1|root,COG1802@2|Bacteria,1RE3J@1224|Proteobacteria,2VQMY@28216|Betaproteobacteria,1K585@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Phosphonate utilization associated transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
gnl|extdb|AC1V0C_16645	216591.BCAL0443	0.0	1480.0	COG3511@1|root,COG3511@2|Bacteria,1MWVP@1224|Proteobacteria,2VMZ4@28216|Betaproteobacteria,1K02T@119060|Burkholderiaceae	28216|Betaproteobacteria	M	phospholipase C	-	-	3.1.4.3	ko:K01114	ko00562,ko00564,ko00565,ko01100,ko01110,ko02024,ko04919,map00562,map00564,map00565,map01100,map01110,map02024,map04919	-	R01312,R02027,R02052,R03332,R07381	RC00017,RC00425	ko00000,ko00001,ko01000,ko02042	-	-	-	DUF756,Phosphoesterase
gnl|extdb|AC1V0C_16650	292.DM42_1808	3.16e-194	541.0	COG0583@1|root,COG0583@2|Bacteria,1R5WR@1224|Proteobacteria,2VPDC@28216|Betaproteobacteria,1K6FF@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gnl|extdb|AC1V0C_16655	292.DM42_1807	0.0	1034.0	COG1620@1|root,COG1620@2|Bacteria,1MV13@1224|Proteobacteria,2VHJN@28216|Betaproteobacteria,1K1HD@119060|Burkholderiaceae	28216|Betaproteobacteria	C	permease	glcA	-	-	ko:K03303	-	-	-	-	ko00000,ko02000	2.A.14	-	-	Lactate_perm
gnl|extdb|AC1V0C_16660	948106.AWZT01000015_gene680	4.6e-11	62.0	2AGF3@1|root,31CY6@2|Bacteria,1Q9WQ@1224|Proteobacteria,2WD03@28216|Betaproteobacteria,1K8WG@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF4148)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4148
gnl|extdb|AC1V0C_16665	216591.BCAL0439	0.0	1026.0	COG2918@1|root,COG2918@2|Bacteria,1MW9B@1224|Proteobacteria,2VKVU@28216|Betaproteobacteria,1K07D@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Belongs to the glutamate--cysteine ligase type 1 family. Type 1 subfamily	gshA	-	6.3.2.2	ko:K01919	ko00270,ko00480,ko01100,map00270,map00480,map01100	M00118	R00894,R10993	RC00064,RC00090	ko00000,ko00001,ko00002,ko01000	-	-	-	Glu_cys_ligase
gnl|extdb|AC1V0C_16670	216591.BCAL0438	1.31e-219	607.0	COG0122@1|root,COG0122@2|Bacteria,1PDQF@1224|Proteobacteria,2VH56@28216|Betaproteobacteria,1K3RY@119060|Burkholderiaceae	28216|Betaproteobacteria	L	AlkA domain protein	alkA	-	3.2.2.21	ko:K01247,ko:K13529	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03000,ko03400	-	-	-	AlkA_N,HhH-GPD
gnl|extdb|AC1V0C_16675	292.DM42_1803	6.81e-251	689.0	COG0350@1|root,COG2169@1|root,COG0350@2|Bacteria,COG2169@2|Bacteria,1N2YQ@1224|Proteobacteria,2VIAK@28216|Betaproteobacteria,1JZQ7@119060|Burkholderiaceae	28216|Betaproteobacteria	FL	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated	ada	GO:0001130,GO:0003674,GO:0003700,GO:0003824,GO:0003908,GO:0005488,GO:0006139,GO:0006259,GO:0006281,GO:0006304,GO:0006307,GO:0006355,GO:0006464,GO:0006479,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008213,GO:0008270,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016740,GO:0016741,GO:0018125,GO:0018193,GO:0018198,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032259,GO:0033554,GO:0034641,GO:0035510,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044728,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0046483,GO:0046872,GO:0046914,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0070988,GO:0071704,GO:0080090,GO:0080111,GO:0090304,GO:0140110,GO:1901360,GO:1901564,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141	2.1.1.63	ko:K00567,ko:K10778	-	-	-	-	ko00000,ko01000,ko03000,ko03400	-	-	-	Ada_Zn_binding,DNA_binding_1,HTH_18,Methyltransf_1N
gnl|extdb|AC1V0C_16680	292.DM42_1802	1.64e-98	285.0	COG0346@1|root,COG0346@2|Bacteria,1RHD4@1224|Proteobacteria,2VSJM@28216|Betaproteobacteria,1K7MX@119060|Burkholderiaceae	28216|Betaproteobacteria	E	PFAM Glyoxalase bleomycin resistance protein dioxygenase	-	-	-	ko:K08234	-	-	-	-	ko00000	-	-	-	Glyoxalase
gnl|extdb|AC1V0C_16685	216591.BCAL0435	2.57e-127	362.0	COG4681@1|root,COG4681@2|Bacteria,1RDR9@1224|Proteobacteria,2VR81@28216|Betaproteobacteria,1K28A@119060|Burkholderiaceae	28216|Betaproteobacteria	S	PFAM YaeQ family protein	yaeQ	-	-	-	-	-	-	-	-	-	-	-	YaeQ
gnl|extdb|AC1V0C_16690	292.DM42_1800	9.89e-76	226.0	2A8YJ@1|root,30Y2B@2|Bacteria,1PJXR@1224|Proteobacteria,2W89M@28216|Betaproteobacteria,1K8ET@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_16695	292.DM42_1799	4.11e-129	367.0	COG1670@1|root,COG1670@2|Bacteria,1PDMH@1224|Proteobacteria,2VQTP@28216|Betaproteobacteria,1K3JC@119060|Burkholderiaceae	28216|Betaproteobacteria	J	PFAM GCN5-related N-acetyltransferase	speG	-	2.3.1.57	ko:K00657	ko00330,ko01100,ko04216,map00330,map01100,map04216	M00135	R01154	RC00004,RC00096	ko00000,ko00001,ko00002,ko01000	-	-	-	Acetyltransf_3
gnl|extdb|AC1V0C_16700	1434929.X946_5599	1.57e-28	102.0	2AGXR@1|root,3176A@2|Bacteria,1PYFF@1224|Proteobacteria,2WDNG@28216|Betaproteobacteria,1KANI@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_16705	1500897.JQNA01000001_gene5510	2.3e-33	116.0	2BF9Y@1|root,3292U@2|Bacteria,1PXRW@1224|Proteobacteria,2WD40@28216|Betaproteobacteria,1K9AB@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Protein of unknown function (DUF2795)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2795
gnl|extdb|AC1V0C_16710	216591.BCAL0430	3.41e-312	852.0	COG2199@1|root,COG3706@2|Bacteria,1MXFS@1224|Proteobacteria,2VIXQ@28216|Betaproteobacteria,1K275@119060|Burkholderiaceae	28216|Betaproteobacteria	T	Diguanylate cyclase	-	-	-	-	-	-	-	-	-	-	-	-	GGDEF,MASE4
gnl|extdb|AC1V0C_16720	1192124.LIG30_1075	5.94e-155	450.0	2DKWG@1|root,30M15@2|Bacteria,1R03V@1224|Proteobacteria,2WID6@28216|Betaproteobacteria,1KI67@119060|Burkholderiaceae	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_16730	216591.BCAL0428	9.85e-316	862.0	COG0486@1|root,COG0486@2|Bacteria,1MUCQ@1224|Proteobacteria,2VHCJ@28216|Betaproteobacteria,1JZXE@119060|Burkholderiaceae	28216|Betaproteobacteria	J	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34	mnmE	-	-	ko:K03650	-	-	R08701	RC00053,RC00209,RC00870	ko00000,ko01000,ko03016	-	-	-	MMR_HSR1,MnmE_helical,TrmE_N
gnl|extdb|AC1V0C_16735	216591.BCAL0427	2.7e-99	288.0	2DMFD@1|root,32R4Y@2|Bacteria,1MYDP@1224|Proteobacteria,2VT6A@28216|Betaproteobacteria,1K7B0@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_16740	216591.BCAL0426	0.0	1060.0	COG0706@1|root,COG0706@2|Bacteria,1MV5M@1224|Proteobacteria,2VHIA@28216|Betaproteobacteria,1K3F4@119060|Burkholderiaceae	28216|Betaproteobacteria	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins	yidC	-	-	ko:K03217	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044,ko03029	2.A.9	-	-	60KD_IMP,YidC_periplas
gnl|extdb|AC1V0C_16745	339670.Bamb_3216	1.44e-60	186.0	COG0759@1|root,COG0759@2|Bacteria,1N6U4@1224|Proteobacteria,2VVTR@28216|Betaproteobacteria,1K9BR@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Could be involved in insertion of integral membrane proteins into the membrane	yidD	-	-	ko:K08998	-	-	-	-	ko00000	-	-	-	Haemolytic
gnl|extdb|AC1V0C_16750	216591.BCAL0424	1.29e-96	282.0	COG0594@1|root,COG0594@2|Bacteria,1PVTJ@1224|Proteobacteria,2VUPA@28216|Betaproteobacteria,1KFTE@119060|Burkholderiaceae	28216|Betaproteobacteria	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme	rnpA	-	3.1.26.5	ko:K03536	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Ribonuclease_P
gnl|extdb|AC1V0C_16755	1192124.LIG30_1155	2.77e-21	83.6	COG0230@1|root,COG0230@2|Bacteria,1NGGS@1224|Proteobacteria,2VXTS@28216|Betaproteobacteria,1KAAA@119060|Burkholderiaceae	28216|Betaproteobacteria	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	-	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
gnl|extdb|AC1V0C_00005	292.DM42_1786	0.0	937.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2VHH0@28216|Betaproteobacteria,1K152@119060|Burkholderiaceae	28216|Betaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	-	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
gnl|extdb|AC1V0C_00010	216591.BCAL0422	4.65e-256	703.0	COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2VH9B@28216|Betaproteobacteria,1K1D0@119060|Burkholderiaceae	28216|Betaproteobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
gnl|extdb|AC1V0C_00015	216591.BCAL0421	0.0	1601.0	COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2VI8N@28216|Betaproteobacteria,1K194@119060|Burkholderiaceae	28216|Betaproteobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	-	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
gnl|extdb|AC1V0C_00020	391735.Veis_4502	1.74e-172	489.0	29A35@1|root,2ZX4F@2|Bacteria,1R7KB@1224|Proteobacteria,2VPI6@28216|Betaproteobacteria,4AH08@80864|Comamonadaceae	28216|Betaproteobacteria	S	Domain of unknown function (DUF4917)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4917
gnl|extdb|AC1V0C_00025	216591.BCAL0413	9.77e-27	119.0	2C44H@1|root,32VSJ@2|Bacteria,1NIUA@1224|Proteobacteria,2W6NX@28216|Betaproteobacteria,1KC5P@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_00030	223283.PSPTO_0011	1.02e-122	355.0	COG1451@1|root,COG1451@2|Bacteria	2|Bacteria	S	Protein of unknown function DUF45	-	-	-	ko:K07043	-	-	-	-	ko00000	-	-	-	DUF45
gnl|extdb|AC1V0C_00035	1218074.BAXZ01000002_gene240	0.0	2003.0	COG0610@1|root,COG0610@2|Bacteria,1MU96@1224|Proteobacteria,2VHIR@28216|Betaproteobacteria,1K2EN@119060|Burkholderiaceae	28216|Betaproteobacteria	L	Subunit R is required for both nuclease and ATPase activities, but not for modification	hsdR	-	3.1.21.3	ko:K01153	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	DUF3387,HSDR_N,ResIII
gnl|extdb|AC1V0C_00040	1207076.ALAT01000223_gene602	2.05e-113	345.0	COG0732@1|root,COG0732@2|Bacteria,1RHRY@1224|Proteobacteria,1S2UA@1236|Gammaproteobacteria,1Z34Y@136846|Pseudomonas stutzeri group	1236|Gammaproteobacteria	V	Type I restriction-modification system, S subunit, EcoA family protein	-	-	3.1.21.3	ko:K01154	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Methylase_S
gnl|extdb|AC1V0C_00045	1218074.BAXZ01000002_gene241	0.0	994.0	COG0286@1|root,COG0286@2|Bacteria,1MW3A@1224|Proteobacteria,2VHBK@28216|Betaproteobacteria,1K5QM@119060|Burkholderiaceae	28216|Betaproteobacteria	V	N-6 DNA Methylase	-	-	2.1.1.72	ko:K03427	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	HsdM_N,N6_Mtase
gnl|extdb|AC1V0C_00050	1265502.KB905967_gene1174	1.82e-181	508.0	2DBVP@1|root,2ZBCI@2|Bacteria,1R282@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_00055	342113.DM82_6378	4.96e-18	78.6	2AGZD@1|root,31786@2|Bacteria,1PYHY@1224|Proteobacteria,2WDQB@28216|Betaproteobacteria,1KASH@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Toxin SymE, type I toxin-antitoxin system	-	-	-	ko:K19048	-	-	-	-	ko00000,ko02048	-	-	-	SymE_toxin
gnl|extdb|AC1V0C_00075	216591.BCAL3476	1.1e-115	332.0	COG3038@1|root,COG3038@2|Bacteria,1RDYK@1224|Proteobacteria,2VV4X@28216|Betaproteobacteria,1KFMR@119060|Burkholderiaceae	28216|Betaproteobacteria	C	Prokaryotic cytochrome b561	-	-	-	-	-	-	-	-	-	-	-	-	Ni_hydr_CYTB
gnl|extdb|AC1V0C_00080	292.DM42_1766	1.45e-258	709.0	COG0753@1|root,COG0753@2|Bacteria,1MUXZ@1224|Proteobacteria,2VI35@28216|Betaproteobacteria,1KGSP@119060|Burkholderiaceae	28216|Betaproteobacteria	C	Has an organic peroxide-dependent peroxidase activity	-	-	1.11.1.6	ko:K03781	ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014	M00532	R00009,R00602,R02670	RC00034,RC00767,RC02141,RC02755	ko00000,ko00001,ko00002,ko01000	-	-	-	Catalase
gnl|extdb|AC1V0C_00085	292.DM42_1765	1.76e-115	331.0	COG1595@1|root,COG1595@2|Bacteria,1MZMC@1224|Proteobacteria,2VSF1@28216|Betaproteobacteria,1K6DN@119060|Burkholderiaceae	28216|Betaproteobacteria	K	RNA polymerase sigma factor, sigma-70 family	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4_2
gnl|extdb|AC1V0C_00090	292.DM42_1764	1.17e-168	472.0	COG5662@1|root,COG5662@2|Bacteria,1RE8F@1224|Proteobacteria,2VSNN@28216|Betaproteobacteria,1K6WI@119060|Burkholderiaceae	28216|Betaproteobacteria	K	anti-sigma factor	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_00095	216591.BCAL3480	4.94e-60	186.0	28SH8@1|root,2ZETN@2|Bacteria,1P4B5@1224|Proteobacteria,2W5AY@28216|Betaproteobacteria	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_00100	216591.BCAL3482	2.29e-57	179.0	2EI78@1|root,33BYK@2|Bacteria,1NIBG@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_00115	292.DM42_1760	7.99e-102	296.0	2EB0E@1|root,33518@2|Bacteria,1NJRB@1224|Proteobacteria,2VXY3@28216|Betaproteobacteria,1KBFB@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Protein of unknown function (DUF2628)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2628
gnl|extdb|AC1V0C_00120	292.DM42_1759	3.83e-199	553.0	COG1595@1|root,COG1595@2|Bacteria,1MXVA@1224|Proteobacteria,2VPRK@28216|Betaproteobacteria,1KH3D@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Belongs to the sigma-70 factor family. ECF subfamily	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4_2
gnl|extdb|AC1V0C_00125	292.DM42_1758	1.62e-106	307.0	COG2128@1|root,COG2128@2|Bacteria,1RD1K@1224|Proteobacteria,2W2BR@28216|Betaproteobacteria,1K71W@119060|Burkholderiaceae	28216|Betaproteobacteria	O	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-	-	-	-	-	-	-	-	-	-	-	-	CMD
