accession	CDS	tRNA	rRNA	contigs
GCF_965199545.1	5923	64	12	2
GCF_965199625.1	5917	64	12	2
GCF_965199835.1	6134	67	12	2
GCF_965199925.1	5993	62	12	2
GCF_965201125.1	6147	65	12	2
GCF_965202565.1	6042	65	12	2
GCF_965211575.1	5929	64	12	2
GCF_965211595.1	5930	64	12	2
GCF_980295165.1	5924	62	12	2
GCF_980300355.1	5795	63	12	2
GCF_980300905.1	5914	64	12	2
GCF_980300945.1	5920	64	12	2
GCF_980300965.1	6062	62	12	2
GCF_984667665.1	7477	71	18	5
GCF_984667675.1	7215	70	18	3
GCF_984667725.1	7521	71	18	3
GCF_984667835.1	7733	71	18	5
GCF_984667895.1	7763	70	18	4
GCF_984667945.1	7592	71	18	5
GCF_984667955.1	6364	68	15	3
GCF_984667975.1	7338	72	18	4
GCF_984668005.1	7600	69	18	3
GCF_984668195.1	7459	70	18	4
GCF_984668265.1	7296	68	18	3
GCF_984668355.1	7310	68	18	3
GCF_984668395.1	7519	71	18	3
GCF_984668525.1	6992	70	18	3
GCF_984669265.1	6939	70	18	3
GCF_984669325.1	6308	70	15	3
GCF_984669335.1	7568	70	18	3
GCF_984669415.1	7592	71	18	5
GCF_984669565.1	7555	70	18	4
GCF_984669585.1	7145	70	18	3
GCF_984669685.1	7760	70	18	4
GCF_984669705.1	7267	68	18	3
GCF_984671675.1	6352	68	15	2
GCF_984671695.1	6738	68	15	3
MF6	6899	71	21	5
MF7	7676	72	12	63
