accession	contig	length	rank	n_contigs
GCF_001718815.1	NZ_CP013440.1	2215292	2	3
GCF_001718815.1	NZ_CP013441.1	1240344	3	3
GCF_001718835.1	NZ_CP013443.1	3750729	1	3
GCF_001718835.1	NZ_CP013444.1	3417004	2	3
GCF_001718835.1	NZ_CP013442.1	835898	3	3
GCF_001718855.1	NZ_CP013446.1	3756926	1	3
GCF_001718855.1	NZ_CP013447.1	3435939	2	3
GCF_001718855.1	NZ_CP013445.1	835894	3	3
GCF_001718875.1	NZ_CP013448.1	3663220	1	2
GCF_001718875.1	NZ_CP013449.1	2042468	2	2
GCF_001718895.1	NZ_CP013450.1	3588848	1	3
GCF_001718895.1	NZ_CP013452.1	3069864	2	3
GCF_001718895.1	NZ_CP013451.1	1121886	3	3
GCF_001718915.1	NZ_CP013453.1	3322910	1	4
GCF_001718915.1	NZ_CP013455.1	2229737	2	4
GCF_001718915.1	NZ_CP013456.1	1210488	3	4
GCF_001718915.1	NZ_CP013454.1	128579	4	4
GCF_001718955.1	NZ_CP013459.1	3703595	1	3
GCF_001718955.1	NZ_CP013461.1	3001569	2	3
GCF_001718955.1	NZ_CP013460.1	878643	3	3
GCF_001718975.1	NZ_CP013463.1	3531036	1	4
GCF_001718975.1	NZ_CP013464.1	3094056	2	4
GCF_001718975.1	NZ_CP013465.1	824232	3	4
GCF_001718975.1	NZ_CP013462.1	14087	4	4
GCF_001718995.1	NZ_CP013467.1	3451669	1	3
GCF_001718995.1	NZ_CP013466.1	2493865	2	3
GCF_001718995.1	NZ_CP013468.1	899828	3	3
GCF_001729545.1	NZ_CP017175.1	3553991	1	2
GCF_001729545.1	NZ_CP017176.1	2226175	2	2
GCF_001742165.1	NZ_CP016442.1	3886092	1	3
GCF_001742165.1	NZ_CP016443.1	3318880	2	3
GCF_001742165.1	NZ_CP016444.1	1322975	3	3
GCF_001865575.2	NZ_CP017561.2	3645992	1	5
GCF_001865575.2	NZ_CP017562.2	2641336	2	5
GCF_001865575.2	NZ_CP017563.2	974091	3	5
GCF_001865575.2	NZ_CP017565.2	487801	4	5
GCF_001865575.2	NZ_CP017564.2	90987	5	5
GCF_001885195.1	NZ_CP018054.1	4090973	1	2
GCF_001885195.1	NZ_CP018055.1	3190235	2	2
GCF_001887555.1	NZ_CP016909.1	4054259	1	2
GCF_001887555.1	NZ_CP016910.1	3236690	2	2
GCF_001887575.1	NZ_CP016911.1	4054192	1	2
GCF_001887575.1	NZ_CP016912.1	3236690	2	2
GCF_001922345.1	NZ_CP018811.1	4483385	1	3
GCF_001922345.1	NZ_CP018812.1	2991945	2	3
GCF_001922345.1	NZ_CP018813.1	27577	3	3
GCF_001975065.1	NZ_CP017044.1	3976360	1	2
GCF_001975065.1	NZ_CP017045.1	3272138	2	2
GCF_001975085.1	NZ_CP017046.1	4050877	1	2
GCF_001975085.1	NZ_CP017047.1	3249730	2	2
GCF_001975105.1	NZ_CP017048.1	4067698	1	2
GCF_001975105.1	NZ_CP017049.1	3249682	2	2
GCF_001975125.1	NZ_CP017050.1	4056633	1	2
GCF_001975125.1	NZ_CP017051.1	3380426	2	2
GCF_001975145.1	NZ_CP017052.1	4056707	1	2
GCF_001975145.1	NZ_CP017053.1	3380273	2	2
GCF_001980585.2	NZ_CP116601.1	3880126	1	2
GCF_001980585.2	NZ_CP116600.1	3118370	2	2
GCF_001999785.1	NZ_CP019668.1	7499459	1	1
GCF_001999825.1	NZ_CP019670.1	6339862	1	2
GCF_001999825.1	NZ_CP019669.1	1055047	2	2
GCF_001999885.1	NZ_CP019674.1	3668000	1	4
GCF_001999885.1	NZ_CP019672.1	2984720	2	4
GCF_001999885.1	NZ_CP019673.1	964521	3	4
GCF_001999885.1	NZ_CP019671.1	17257	4	4
GCF_002007585.1	NZ_CP017238.1	3511146	1	3
GCF_002007585.1	NZ_CP017239.1	3097552	2	3
GCF_002007585.1	NZ_CP017240.1	1056196	3	3
GCF_002097715.1	NZ_CP020737.1	3737663	1	4
GCF_002097715.1	NZ_CP020738.1	3308659	2	4
GCF_002097715.1	NZ_CP020739.1	641159	3	4
GCF_002097715.1	NZ_CP020740.1	153349	4	4
GCF_002110945.1	NZ_CP018380.1	4195298	1	2
GCF_002110945.1	NZ_CP018381.1	3287088	2	2
GCF_002110965.1	NZ_CP018391.1	4224888	1	2
GCF_002110965.1	NZ_CP018392.1	3273436	2	2
GCF_002111005.1	NZ_CP018405.1	4062516	1	2
GCF_002111005.1	NZ_CP018404.1	3267867	2	2
GCF_002111025.1	NZ_CP018406.1	4077823	1	2
GCF_002111025.1	NZ_CP018407.1	3266006	2	2
GCF_002111045.1	NZ_CP018410.1	4056450	1	2
GCF_002111045.1	NZ_CP018411.1	3263237	2	2
GCF_002111085.1	NZ_CP018373.1	4121819	1	2
GCF_002111085.1	NZ_CP018374.1	3260317	2	2
GCF_002111105.1	NZ_CP018418.1	4149750	1	2
GCF_002111105.1	NZ_CP018419.1	3084746	2	2
GCF_002111125.1	NZ_CP018384.1	4032598	1	3
GCF_002111125.1	NZ_CP018386.1	3212183	2	3
GCF_002111125.1	NZ_CP018385.1	297875	3	3
GCF_002111145.1	NZ_CP018387.1	4047168	1	2
GCF_002111145.1	NZ_CP018388.1	3138916	2	2
GCF_002111165.1	NZ_CP018389.1	4099199	1	2
GCF_002111165.1	NZ_CP018390.1	3245772	2	2
GCF_002111205.1	NZ_CP018399.1	4191510	1	2
GCF_002111205.1	NZ_CP018398.1	3078985	2	2
GCF_002111225.1	NZ_CP018400.1	4012048	1	2
GCF_002111225.1	NZ_CP018401.1	3188810	2	2
GCF_002111245.1	NZ_CP018403.1	4062501	1	2
GCF_002111245.1	NZ_CP018402.1	3267789	2	2
GCF_002111265.1	NZ_CP018408.1	4077668	1	2
GCF_002111265.1	NZ_CP018409.1	3265934	2	2
GCF_002111285.1	NZ_CP018414.1	4191431	1	2
GCF_002111285.1	NZ_CP018415.1	3245094	2	2
GCF_002111305.1	NZ_CP018416.1	4121864	1	2
GCF_002111305.1	NZ_CP018417.1	3306540	2	2
GCF_002111325.1	NZ_CP018369.1	4027562	1	2
GCF_002111325.1	NZ_CP018370.1	3207929	2	2
GCF_002111345.1	NZ_CP018372.1	4046807	1	2
GCF_002111345.1	NZ_CP018371.1	3144330	2	2
GCF_002111365.1	NZ_CP018383.1	4135235	1	2
GCF_002111365.1	NZ_CP018382.1	3248554	2	2
GCF_002111385.1	NZ_CP018413.1	4177999	1	2
GCF_002111385.1	NZ_CP018412.1	3269674	2	2
GCF_002208175.1	NZ_CP022005.1	4668350	1	5
GCF_002208175.1	NZ_CP022006.1	3922845	2	5
GCF_002208175.1	NZ_CP022007.1	210524	3	5
GCF_002208175.1	NZ_CP022008.1	26639	4	5
GCF_002208175.1	NZ_CP022009.1	26479	5	5
GCF_002209085.2	NZ_CP022083.2	3779906	1	4
GCF_002209085.2	NZ_CP022084.2	3397795	2	4
GCF_002209085.2	NZ_CP022082.2	1187984	3	4
GCF_002209085.2	NZ_CP022081.2	204169	4	4
GCF_002278075.1	NZ_CP022989.1	4378888	1	8
GCF_002278075.1	NZ_CP022990.1	2992211	2	8
GCF_002278075.1	NZ_CP022991.1	664981	3	8
GCF_002278075.1	NZ_CP022992.1	489416	4	8
GCF_002278075.1	NZ_CP022993.1	162757	5	8
GCF_002278075.1	NZ_CP022994.1	152437	6	8
GCF_002278075.1	NZ_CP022995.1	39532	7	8
GCF_002278075.1	NZ_CP022996.1	27494	8	8
GCF_002345985.1	NZ_CP009725.1	3471563	1	2
GCF_002345985.1	NZ_CP009726.1	2120306	2	2
GCF_002346005.1	NZ_CP010348.1	3623703	1	2
GCF_002346005.1	NZ_CP010349.1	2105279	2	2
GCF_002346025.1	NZ_CP009727.1	3471484	1	2
GCF_002346025.1	NZ_CP009728.1	2120565	2	2
GCF_002346045.1	NZ_CP009929.1	3510109	1	2
GCF_002346045.1	NZ_CP009930.1	2325357	2	2
GCF_002346065.1	NZ_CP009729.1	3558404	1	2
GCF_002346065.1	NZ_CP009730.1	2104778	2	2
GCF_002346085.1	NZ_CP009731.1	3625848	1	2
GCF_002346085.1	NZ_CP009732.1	2106749	2	2
GCF_002346105.1	NZ_CP009733.1	3512356	1	2
GCF_002346105.1	NZ_CP009734.1	2185904	2	2
GCF_002346125.1	NZ_CP009735.1	3507358	1	2
GCF_002346125.1	NZ_CP009736.1	2240464	2	2
GCF_002346145.1	NZ_CP009737.1	3578566	1	2
GCF_002346145.1	NZ_CP009738.1	2146721	2	2
GCF_002346165.1	NZ_CP009739.1	3573819	1	2
GCF_002346165.1	NZ_CP009740.1	2120572	2	2
GCF_002346185.1	NZ_CP009741.1	3045954	1	2
GCF_002346185.1	NZ_CP009742.1	2728358	2	2
GCF_002346205.1	NZ_CP009931.1	3510032	1	2
GCF_002346205.1	NZ_CP009932.1	2226558	2	2
GCF_002356275.1	NZ_AP018111.1	3625611	1	3
GCF_002356275.1	NZ_AP018112.1	3163229	2	3
GCF_002356275.1	NZ_AP018113.1	932264	3	3
GCF_002386205.1	NZ_CP023499.1	3967822	1	2
GCF_002386205.1	NZ_CP023498.1	2762025	2	2
GCF_002393425.1	NZ_CP023522.1	4209407	1	3
GCF_002393425.1	NZ_CP023523.1	3925840	2	3
GCF_002393425.1	NZ_CP023524.1	151925	3	3
GCF_002407525.2	NZ_CP023518.1	3779890	1	4
GCF_002407525.2	NZ_CP023521.1	3397791	2	4
GCF_002407525.2	NZ_CP023520.1	1187978	3	4
GCF_002407525.2	NZ_CP023519.1	204165	4	4
GCF_002843645.1	NZ_CP025264.1	4019555	1	2
GCF_002843645.1	NZ_CP025265.1	3258775	2	2
GCF_002860065.1	NZ_CP019042.1	4091945	1	2
GCF_002860065.1	NZ_CP019043.1	3130290	2	2
GCF_002902925.1	NZ_CP026111.1	3621233	1	4
GCF_002902925.1	NZ_CP026112.1	3002289	2	4
GCF_002902925.1	NZ_CP026113.1	2682528	3	4
GCF_002902925.1	NZ_CP026114.1	756439	4	4
GCF_002902945.1	NZ_CP026101.1	3688145	1	4
GCF_002902945.1	NZ_CP026102.1	2890530	2	4
GCF_002902945.1	NZ_CP026103.1	2011334	3	4
GCF_002902945.1	NZ_CP026104.1	442481	4	4
GCF_002902965.1	NZ_CP026105.1	4021292	1	6
GCF_002902965.1	NZ_CP026106.1	3269803	2	6
GCF_002902965.1	NZ_CP026107.1	2439752	3	6
GCF_002902965.1	NZ_CP026108.1	971216	4	6
GCF_002902965.1	NZ_CP026109.1	725510	5	6
GCF_002902965.1	NZ_CP026110.1	100133	6	6
GCF_003019945.1	NZ_CP020394.1	3317400	1	4
GCF_003019945.1	NZ_CP020396.1	2262065	2	4
GCF_003019945.1	NZ_CP020395.1	1248348	3	4
GCF_003019945.1	NZ_CP020393.1	102598	4	4
GCF_003019965.1	NZ_CP020397.1	3428385	1	3
GCF_003019965.1	NZ_CP020398.1	2344186	2	3
GCF_003019965.1	NZ_CP020399.1	550288	3	3
GCF_003020025.1	NZ_CP020390.1	3819771	1	2
GCF_003020025.1	NZ_CP020389.1	2853041	2	2
GCF_003020185.1	NZ_CP020392.1	3827809	1	2
GCF_003020185.1	NZ_CP020391.1	2940845	2	2
GCF_003076415.1	NZ_CP021069.1	3497405	1	3
GCF_003076415.1	NZ_CP021067.1	2856344	2	3
GCF_003076415.1	NZ_CP021068.1	713299	3	3
GCF_003233675.1	NZ_CP029824.1	3723585	1	5
GCF_003233675.1	NZ_CP029825.1	3274969	2	5
GCF_003233675.1	NZ_CP029826.1	1483367	3	5
GCF_003233675.1	NZ_CP029828.1	428263	4	5
GCF_003233675.1	NZ_CP029827.1	15126	5	5
GCF_003286395.1	NZ_CP029640.1	3130508	1	2
GCF_003286395.1	NZ_CP029641.1	1273736	2	2
GCF_003330745.1	NZ_CP024905.1	3862683	1	3
GCF_003330745.1	NZ_CP024906.1	2944711	2	3
GCF_003330745.1	NZ_CP024907.1	403765	3	3
GCF_003330765.1	NZ_CP024902.1	3619008	1	3
GCF_003330765.1	NZ_CP024903.1	3400486	2	3
GCF_003330765.1	NZ_CP024904.1	984905	3	3
GCF_003330785.1	NZ_CP024934.1	4031601	1	3
GCF_003330785.1	NZ_CP024935.1	2982346	2	3
GCF_003330785.1	NZ_CP024936.1	494503	3	3
GCF_003330805.1	NZ_CP024937.1	3883124	1	4
GCF_003330805.1	NZ_CP024938.1	3189135	2	4
GCF_003330805.1	NZ_CP024939.1	2509140	3	4
GCF_003330805.1	NZ_CP024940.1	1235162	4	4
GCF_003330825.1	NZ_CP024941.1	4059171	1	2
GCF_003330825.1	NZ_CP024942.1	3058868	2	2
GCF_003366075.1	NZ_CP028963.1	3591606	1	4
GCF_003366075.1	NZ_CP028962.1	3139806	2	4
GCF_003366075.1	NZ_CP028964.1	851589	3	4
GCF_003366075.1	NZ_CP028965.1	420805	4	4
GCF_003368325.1	NZ_CP031467.1	4531000	1	3
GCF_003368325.1	NZ_CP031466.1	3619047	2	3
GCF_003368325.1	NZ_CP031468.1	174591	3	3
GCF_003445415.1	NZ_CP008755.1	4033039	1	2
GCF_003445415.1	NZ_CP008754.1	3158067	2	2
GCF_003546465.1	NZ_CP007746.1	3779447	1	4
GCF_003546465.1	NZ_CP007748.1	3396456	2	4
GCF_003546465.1	NZ_CP007747.1	1187985	3	4
GCF_003546465.1	NZ_CP007745.1	203123	4	4
GCF_003547015.1	NZ_CP025304.1	4066496	1	2
GCF_003547015.1	NZ_CP025305.1	3112891	2	2
GCF_003547035.1	NZ_CP025306.1	3987008	1	2
GCF_003547035.1	NZ_CP025307.1	3115305	2	2
GCF_003547055.1	NZ_CP025302.1	4013273	1	2
GCF_003547055.1	NZ_CP025303.1	3173851	2	2
GCF_003568605.1	NZ_CP008785.1	3986340	1	2
GCF_003568605.1	NZ_CP008786.1	2735759	2	2
GCF_003606245.1	NZ_CP023775.1	4075641	1	2
GCF_003606245.1	NZ_CP023776.1	3217986	2	2
GCF_003613595.1	NZ_CP022213.1	4668533	1	5
GCF_003613595.1	NZ_CP022210.1	3923011	2	5
GCF_003613595.1	NZ_CP022209.1	210568	3	5
GCF_003613595.1	NZ_CP022212.1	63719	4	5
GCF_003613595.1	NZ_CP022211.1	26710	5	5
GCF_003614815.1	NZ_CP022214.1	3862564	1	2
GCF_003614815.1	NZ_CP022215.1	2821560	2	2
GCF_003614835.1	NZ_CP022217.1	3801254	1	2
GCF_003614835.1	NZ_CP022216.1	2852057	2	2
GCF_003704285.1	NZ_CP013390.1	3617292	1	3
GCF_003704285.1	NZ_CP013391.1	3182734	2	3
GCF_003704285.1	NZ_CP013392.1	1370749	3	3
GCF_003711145.1	NZ_CP024943.1	3927314	1	3
GCF_003711145.1	NZ_CP024944.1	3706323	2	3
GCF_003711145.1	NZ_CP024945.1	1153372	3	3
GCF_003713105.1	NZ_CP033430.1	4171651	1	3
GCF_003713105.1	NZ_CP033431.1	4002946	2	3
GCF_003713105.1	NZ_CP033429.1	145928	3	3
GCF_003798245.1	NZ_CP033703.1	4098323	1	2
GCF_003798245.1	NZ_CP033704.1	3157202	2	2
GCF_003798265.1	NZ_CP033705.1	4007610	1	2
GCF_003798265.1	NZ_CP033706.1	3139076	2	2
GCF_003798365.1	NZ_CP033702.1	4003948	1	2
GCF_003798365.1	NZ_CP033701.1	3176440	2	2
GCF_003812365.1	NZ_CP033750.1	3356899	1	3
GCF_003812365.1	NZ_CP033748.1	2331436	2	3
GCF_003812365.1	NZ_CP033749.1	705748	3	3
GCF_003812585.1	NZ_CP033745.1	3239301	1	3
GCF_003812585.1	NZ_CP033747.1	2383823	2	3
GCF_003812585.1	NZ_CP033746.1	1030740	3	3
GCF_003812965.1	NZ_CP033856.1	3705094	1	3
GCF_003812965.1	NZ_CP033854.1	3155590	2	3
GCF_003812965.1	NZ_CP033855.1	935732	3	3
GCF_003813045.1	NZ_CP033840.1	3406611	1	3
GCF_003813045.1	NZ_CP033838.1	2168066	2	3
GCF_003813045.1	NZ_CP033839.1	834424	3	3
GCF_003966315.1	NZ_CP034545.1	3645818	1	3
GCF_003966315.1	NZ_CP034547.1	3039797	2	3
GCF_003966315.1	NZ_CP034546.1	1350848	3	3
GCF_004323015.1	NZ_CP036452.1	3859639	1	2
GCF_004323015.1	NZ_CP036451.1	3102688	2	2
GCF_004323035.1	NZ_CP036454.1	3852886	1	2
GCF_004323035.1	NZ_CP036453.1	3113526	2	2
GCF_004348055.1	NZ_CP037758.1	3854943	1	2
GCF_004348055.1	NZ_CP037757.1	3103695	2	2
GCF_004348075.1	NZ_CP037760.1	3850633	1	2
GCF_004348075.1	NZ_CP037759.1	3069583	2	2
GCF_004367665.1	NZ_CP037974.1	3842045	1	2
GCF_004367665.1	NZ_CP037973.1	3099454	2	2
GCF_004367685.1	NZ_CP037970.1	3855598	1	2
GCF_004367685.1	NZ_CP037969.1	3119419	2	2
GCF_004367705.1	NZ_CP037976.1	3847660	1	2
GCF_004367705.1	NZ_CP037975.1	3097834	2	2
GCF_004367725.1	NZ_CP037972.1	3842655	1	2
GCF_004367725.1	NZ_CP037971.1	3099308	2	2
GCF_004526325.1	NZ_CP038195.1	3866281	1	2
GCF_004526325.1	NZ_CP038194.1	3120072	2	2
GCF_004842085.1	NZ_CP038805.1	3800466	1	2
GCF_004842085.1	NZ_CP038806.1	3363129	2	2
GCF_005280735.1	NZ_CP040077.1	4775917	1	3
GCF_005280735.1	NZ_CP040078.1	3695250	2	3
GCF_005280735.1	NZ_CP040079.1	105350	3	3
GCF_005853645.1	NZ_CP040531.1	4017865	1	2
GCF_005853645.1	NZ_CP040532.1	3162636	2	2
GCF_005862325.1	NZ_CP040552.1	3987244	1	2
GCF_005862325.1	NZ_CP040551.1	3116035	2	2
GCF_005937855.2	NZ_CP042177.1	3530666	1	3
GCF_005937855.2	NZ_CP042178.1	2783599	2	3
GCF_005937855.2	NZ_CP042179.1	1067603	3	3
GCF_006094315.1	NZ_CP034553.1	3781435	1	5
GCF_006094315.1	NZ_CP034554.1	3396958	2	5
GCF_006094315.1	NZ_CP034555.1	1187977	3	5
GCF_006094315.1	NZ_CP034556.1	204170	4	5
GCF_006094315.1	NZ_CP034557.1	3849	5	5
GCF_007556815.1	NZ_CP041745.1	4485011	1	3
GCF_007556815.1	NZ_CP041743.1	3016794	2	3
GCF_007556815.1	NZ_CP041744.1	125785	3	3
GCF_007724625.1	NZ_CP042164.1	3904889	1	5
GCF_007724625.1	NZ_CP042165.1	3249718	2	5
GCF_007724625.1	NZ_CP042166.1	1536075	3	5
GCF_007724625.1	NZ_CP042167.1	239952	4	5
GCF_007724625.1	NZ_CP042168.1	71607	5	5
GCF_008693485.1	NZ_CP044054.1	3559578	1	3
GCF_008693485.1	NZ_CP044055.1	2365849	2	3
GCF_008693485.1	NZ_CP044053.1	553192	3	3
GCF_008693525.1	NZ_CP044058.1	3559579	1	3
GCF_008693525.1	NZ_CP044056.1	2365865	2	3
GCF_008693525.1	NZ_CP044057.1	553192	3	3
GCF_008728255.1	NZ_CP038214.1	3932929	1	2
GCF_008728255.1	NZ_CP038215.1	3171459	2	2
GCF_008728275.1	NZ_CP038216.1	3932431	1	2
GCF_008728275.1	NZ_CP038217.1	3147867	2	2
GCF_008728295.1	NZ_CP038218.1	3934903	1	2
GCF_008728295.1	NZ_CP038219.1	3171635	2	2
GCF_008728315.1	NZ_CP038220.1	3931933	1	2
GCF_008728315.1	NZ_CP038221.1	3159667	2	2
GCF_008728335.1	NZ_CP038222.1	3933419	1	2
GCF_008728335.1	NZ_CP038223.1	3169063	2	2
GCF_008728355.1	NZ_CP038224.1	3931555	1	2
GCF_008728355.1	NZ_CP038225.1	3167882	2	2
GCF_008728375.1	NZ_CP038226.1	3933317	1	2
GCF_008728375.1	NZ_CP038227.1	3208533	2	2
GCF_009191525.1	NZ_CP028807.1	3618903	1	4
GCF_009191525.1	NZ_CP028808.1	3247714	2	4
GCF_009191525.1	NZ_CP028809.1	1528467	3	4
GCF_009191525.1	NZ_CP028810.1	200961	4	4
GCF_009578005.1	NZ_CP045087.1	3712850	1	5
GCF_009578005.1	NZ_CP045088.1	2750046	2	5
GCF_009578005.1	NZ_CP045089.1	201571	3	5
GCF_009578005.1	NZ_CP045090.1	105587	4	5
GCF_009578005.1	NZ_CP045091.1	96100	5	5
GCF_009586235.1	NZ_CP045235.1	3688624	1	3
GCF_009586235.1	NZ_CP045236.1	3430130	2	3
GCF_009586235.1	NZ_CP045237.1	1248114	3	3
GCF_009730035.1	NZ_CP046336.1	3422468	1	5
GCF_009730035.1	NZ_CP046337.1	2434081	2	5
GCF_009730035.1	NZ_CP046338.1	702621	3	5
GCF_009730035.1	NZ_CP046340.1	3898	4	5
GCF_009730035.1	NZ_CP046339.1	2579	5	5
GCF_009730175.1	NZ_CP046343.1	3350628	1	3
GCF_009730175.1	NZ_CP046341.1	2418100	2	3
GCF_009730175.1	NZ_CP046342.1	749962	3	3
GCF_009730195.1	NZ_CP046346.1	3432204	1	3
GCF_009730195.1	NZ_CP046344.1	2365727	2	3
GCF_009730195.1	NZ_CP046345.1	792513	3	3
GCF_009749345.1	NZ_CP046584.1	4009467	1	2
GCF_009749345.1	NZ_CP046583.1	3257170	2	2
GCF_009755625.1	NZ_CP046609.1	3643456	1	5
GCF_009755625.1	NZ_CP046608.1	3247807	2	5
GCF_009755625.1	NZ_CP046607.1	1541420	3	5
GCF_009755625.1	NZ_CP046610.1	152473	4	5
GCF_009755625.1	NZ_CP046611.1	71703	5	5
GCF_009789655.1	NZ_CP046909.1	3177533	1	4
GCF_009789655.1	NZ_CP046910.1	2192838	2	4
GCF_009789655.1	NZ_CP046911.1	1330706	3	4
GCF_009789655.1	NZ_CP046912.1	1103815	4	4
GCF_009789675.1	NZ_CP046913.1	3240103	1	5
GCF_009789675.1	NZ_CP046914.1	1829290	2	5
GCF_009789675.1	NZ_CP046915.1	1436412	3	5
GCF_009789675.1	NZ_CP046916.1	1253746	4	5
GCF_009789675.1	NZ_CP046917.1	185510	5	5
GCF_009857095.1	NZ_CP047315.1	3629551	1	3
GCF_009857095.1	NZ_CP047316.1	2779201	2	3
GCF_009857095.1	NZ_CP047317.1	122067	3	3
GCF_009931375.1	NZ_CP035900.1	3537953	1	4
GCF_009931375.1	NZ_CP035901.1	2763738	2	4
GCF_009931375.1	NZ_CP035902.1	214469	3	4
GCF_009931375.1	NZ_CP035903.1	175525	4	4
GCF_009938265.1	NZ_AP022315.1	2845320	1	6
GCF_009938265.1	NZ_AP022316.1	1707579	2	6
GCF_009938265.1	NZ_AP022319.1	1527330	3	6
GCF_009938265.1	NZ_AP022317.1	1020949	4	6
GCF_009938265.1	NZ_AP022318.1	637291	5	6
GCF_009938265.1	NZ_AP022320.1	243982	6	6
GCF_011039955.1	NZ_CP049316.1	3989243	1	8
GCF_011039955.1	NZ_CP049317.1	1990521	2	8
GCF_011039955.1	NZ_CP049318.1	1831039	3	8
GCF_011039955.1	NZ_CP049319.1	794780	4	8
GCF_011039955.1	NZ_CP049320.1	377315	5	8
GCF_011039955.1	NZ_CP049321.1	195179	6	8
GCF_011039955.1	NZ_CP049322.1	120676	7	8
GCF_011039955.1	NZ_CP049323.1	24666	8	8
GCF_011493005.1	NZ_CP049156.1	4010354	1	5
GCF_011493005.1	NZ_CP049157.1	1996666	2	5
GCF_011493005.1	NZ_CP049158.1	1826371	3	5
GCF_011493005.1	NZ_CP049159.1	734052	4	5
GCF_011493005.1	NZ_CP049160.1	280710	5	5
GCF_011578485.1	NZ_CP050020.1	3725540	1	2
GCF_011578485.1	NZ_CP050021.1	2875717	2	2
GCF_012689525.1	NZ_CP051516.1	4573438	1	4
GCF_012689525.1	NZ_CP051515.1	3638240	2	4
GCF_012689525.1	NZ_CP051514.1	2486079	3	4
GCF_012689525.1	NZ_CP051517.1	142975	4	4
GCF_012974245.1	NZ_CP052867.1	3611155	1	5
GCF_012974245.1	NZ_CP052864.1	2869204	2	5
GCF_012974245.1	NZ_CP052865.1	185112	3	5
GCF_012974245.1	NZ_CP052866.1	7606	4	5
GCF_012974245.1	NZ_CP052868.1	7338	5	5
GCF_013122645.1	NZ_CP052132.1	3532897	1	3
GCF_013122645.1	NZ_CP052133.1	2745532	2	3
GCF_013122645.1	NZ_CP052134.1	281656	3	3
GCF_013307145.1	NZ_CP021157.1	3601960	1	4
GCF_013307145.1	NZ_CP021158.1	2783312	2	4
GCF_013307145.1	NZ_CP021159.1	193251	3	4
GCF_013307145.1	NZ_CP021160.1	169072	4	4
GCF_013307165.1	NZ_CP023203.1	3596519	1	5
GCF_013307165.1	NZ_CP023204.1	2850144	2	5
GCF_013307165.1	NZ_CP023205.1	185577	3	5
GCF_013307165.1	NZ_CP023206.1	135963	4	5
GCF_013307165.1	NZ_CP023207.1	111135	5	5
GCF_013378095.1	NZ_CP015958.1	3659608	1	3
GCF_013378095.1	NZ_CP015959.1	2895821	2	3
GCF_013378095.1	NZ_CP015960.1	1913088	3	3
GCF_013426895.1	NZ_AP023174.1	3759946	1	5
GCF_013426895.1	NZ_AP023175.1	2703868	2	5
GCF_013426895.1	NZ_AP023176.1	2342401	3	5
GCF_013426895.1	NZ_AP023177.1	606703	4	5
GCF_013426895.1	NZ_AP023178.1	58022	5	5
GCF_013426915.1	NZ_AP023179.1	3864670	1	5
GCF_013426915.1	NZ_AP023180.1	2707317	2	5
GCF_013426915.1	NZ_AP023181.1	2380791	3	5
GCF_013426915.1	NZ_AP023182.1	1440798	4	5
GCF_013426915.1	NZ_AP023183.1	852821	5	5
GCF_013822785.1	NZ_CP053609.1	3233781	1	5
GCF_013822785.1	NZ_CP053610.1	2210956	2	5
GCF_013822785.1	NZ_CP053611.1	1198966	3	5
GCF_013822785.1	NZ_CP053612.1	356237	4	5
GCF_013822785.1	NZ_CP053613.1	106922	5	5
GCF_014171495.1	NZ_CP049134.1	3280377	1	5
GCF_014171495.1	NZ_CP049135.1	1937775	2	5
GCF_014171495.1	NZ_CP049136.1	1583983	3	5
GCF_014171495.1	NZ_CP049137.1	1567213	4	5
GCF_014171495.1	NZ_CP049138.1	455014	5	5
GCF_014211915.1	NZ_CP060039.1	3507573	1	4
GCF_014211915.1	NZ_CP060040.1	2857915	2	4
GCF_014211915.1	NZ_CP060041.1	1082076	3	4
GCF_014211915.1	NZ_CP060042.1	160144	4	4
GCF_014263355.1	NZ_CP054468.1	4272194	1	3
GCF_014263355.1	NZ_CP054469.1	3985347	2	3
GCF_014263355.1	NZ_CP054470.1	165662	3	3
GCF_014357995.1	NZ_CP053300.1	3673077	1	4
GCF_014357995.1	NZ_CP053301.1	3211025	2	4
GCF_014357995.1	NZ_CP053302.1	765157	3	4
GCF_014357995.1	NZ_CP053303.1	92661	4	4
GCF_014854795.1	NZ_CP032009.1	3683734	1	3
GCF_014854795.1	NZ_CP032011.1	3415325	2	3
GCF_014854795.1	NZ_CP032010.1	1304848	3	3
GCF_016026055.1	NZ_CP065601.1	3659799	1	4
GCF_016026055.1	NZ_CP065600.1	2820518	2	4
GCF_016026055.1	NZ_CP065603.1	196019	3	4
GCF_016026055.1	NZ_CP065602.1	144540	4	4
GCF_016027435.1	NZ_CP065683.1	4192837	1	2
GCF_016027435.1	NZ_CP065684.1	3126683	2	2
GCF_016027455.1	NZ_CP065686.1	4068027	1	3
GCF_016027455.1	NZ_CP065687.1	2913520	2	3
GCF_016027455.1	NZ_CP065685.1	305114	3	3
GCF_016127755.1	NZ_CP066037.1	3556545	1	4
GCF_016127755.1	NZ_CP066038.1	2646970	2	4
GCF_016127755.1	NZ_CP066040.1	1281477	3	4
GCF_016127755.1	NZ_CP066039.1	38605	4	4
GCF_016128195.1	NZ_CP066075.1	3756046	1	3
GCF_016128195.1	NZ_CP066076.1	2627215	2	3
