query	accession	organism	architecture	pC3_present	n_hits_any	n_hits_tier1	best_tier	best_pident	best_qcovs	best_bitscore	best_evalue	best_contig	best_contig_len	best_contig_rank	best_subject_len	best_start	best_end
CT354_CFFIHE_03684	GCF_053470145.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_053760385.1	Caballeronia sp. KNU42	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_054073385.1	Burkholderia pyrrocinia	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_054073395.1	Burkholderia pyrrocinia	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_054166125.1	Paraburkholderia strydomiana	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_054166145.1	Paraburkholderia strydomiana	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_054166155.1	Paraburkholderia strydomiana	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_054166185.1	Burkholderia ambifaria	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_054166195.1	Paraburkholderia graminis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_054166225.1	Paraburkholderia strydomiana	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_054166245.1	Paraburkholderia strydomiana	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_054166265.1	Paraburkholderia strydomiana	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_054187845.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_054558305.1	Burkholderia contaminans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_054955335.1	Burkholderia contaminans	1_large	False	0	0											
CT354_CFFIHE_03684	GCF_055386035.1	Burkholderia gladioli	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_055387925.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_055391905.1	Paraburkholderia monticola	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_055397325.1	Paraburkholderia largidicola	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_055397665.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_055397955.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_055810255.1	Burkholderia thailandensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_056270685.1	Paraburkholderia sp. PAMB 6768	1_large	False	0	0											
CT354_CFFIHE_03684	GCF_056591095.1	Paraburkholderia terricola	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_056640905.1	Burkholderia pyrrocinia	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_056783395.1	Burkholderia pyrrocinia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_056847505.1	Mycetohabitans endofungorum	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_056867595.1	Mycetohabitans rhizoxinica	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_056868365.1	Mycetohabitans rhizoxinica	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_056868375.1	Mycetohabitans rhizoxinica	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_056880615.1	Mycetohabitans rhizoxinica	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_057005415.2	Burkholderia sp. KL41	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_057369595.1	Burkholderia cepacia complex sp. TUM26381	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_057439935.1	Burkholderia cepacia complex sp. TUM26381	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_057587595.1	Paraburkholderia sp. PAMB 6768	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_057612605.2	Caballeronia sp. A2-2	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_057748135.1	Paraburkholderia sp. PAMB 6770	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_058448765.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_059089405.1	Burkholderia pyrrocinia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_059622985.1	Paraburkholderia agricolaris	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_902141795.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_902141815.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_902141835.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_902459535.1	Paraburkholderia dioscoreae	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_904865725.1	Burkholderia cepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_905400185.1	Burkholderia sola	3_large	True	1	1	1	100.0	100.0	692	0.0	NZ_FR989677.1	1347483	3	2867	519133	527736
CT354_CFFIHE_03684	GCF_939576165.1	Burkholderia mallei	1_large	False	0	0											
CT354_CFFIHE_03684	GCF_964026365.1	Caballeronia sp. S22	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_964261745.1	Caballeronia sp. S22	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_964264985.1	Burkholderia mycopellens	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_964264995.1	Burkholderia crassaminum	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_964265005.1	Burkholderia crassaminum	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_964265015.1	Burkholderia crassaminum	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_964265025.1	Burkholderia mycopellens	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_965118185.1	Paraburkholderia kururiensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199385.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199395.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199405.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199425.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199435.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199445.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199455.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199515.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199545.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199625.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199835.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965199925.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965201125.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965202565.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965211575.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_965211595.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_980295165.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_980300355.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_980300905.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_980300945.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_980300965.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_984667665.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984667675.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984667725.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984667835.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984667895.1	Burkholderia arboris	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_984667945.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984667955.1	Burkholderia arboris	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_984667975.1	Burkholderia sp. LMG 33096	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984668005.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984668195.1	Burkholderia sp. LMG 33096	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984668265.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984668355.1	Burkholderia sp. LMG 33096	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984668395.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984668525.1	Burkholderia sp. LMG 34232	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669265.1	Burkholderia sp. LMG 34232	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669325.1	Burkholderia sp. LMG 33096	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_984669335.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669415.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669565.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669585.1	Burkholderia arboris	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669685.1	Burkholderia arboris	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_984669705.1	Burkholderia sp. LMG 34232	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_984671675.1	Burkholderia sp. LMG 33096	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_984671695.1	Burkholderia arboris	2_large	False	0	0											
CT354_CFFIHE_03684	MF6	Burkholderia sola (MF6)	3_large	True	1	1	1	100.0	100.0	692	0.0	cluster_003_consensus	1179882	3	2867	358906	367509
CT354_CFFIHE_03684	MF7	Burkholderia sola (MF7)	4+_large	True	1	1	1	100.0	100.0	692	0.0	BMF7_NODE_3_len_857810_cov_35_9645_ID_6095484.64	857810	3	2867	409940	418543
DEGQ_CFFIHE_02734	GCA_017356705.2	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	816	0.0	CP071525.1	7387439	1	495	6614196	6615683
DEGQ_CFFIHE_02734	GCA_017356725.2	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	816	0.0	CP071526.1	7387707	1	495	6614351	6615838
DEGQ_CFFIHE_02734	GCA_020887275.1	Burkholderia sp. SFA1	4+_large	False	4	1	1	73.4	99.0	687	0.0	AP022305.1	3128653	1	505	528738	530255
DEGQ_CFFIHE_02734	GCA_024298805.1	Burkholderia sp. FXe9	3_large	True	6	1	1	97.8	100.0	960	0.0	CP101279.1	3988163	1	493	751412	752893
DEGQ_CFFIHE_02734	GCA_029762415.1	Burkholderia gladioli	2_large	False	4	1	1	84.6	100.0	777	0.0	CP121773.1	4187756	1	500	4153763	4155265
DEGQ_CFFIHE_02734	GCA_040954445.1	Burkholderia sp.	2_large	False	1	1	1	79.6	100.0	747	0.0	CP144361.1	1892292	1	501	790101	791606
DEGQ_CFFIHE_02734	GCA_048918525.1	Burkholderia gladioli	2_large	False	4	1	1	85.3	100.0	782	0.0	CP183180.1	4163892	1	497	3544299	3545792
DEGQ_CFFIHE_02734	GCA_051027405.1	Burkholderia stagnalis	2_large	False	5	1	1	78.5	99.0	736	0.0	CP186318.1	4560590	1	505	3769691	3771208
DEGQ_CFFIHE_02734	GCA_055387565.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	AP040305.1	4080545	1	495	3762217	3763704
DEGQ_CFFIHE_02734	GCA_056494915.1	Paraburkholderia caledonica	4+_large	False	4	1	1	77.5	99.0	730	0.0	CP195753.1	4274904	1	506	3695284	3696804
DEGQ_CFFIHE_02734	GCA_059696275.1	Burkholderia sp. SJ1	1_large	False	1	0	3	40.2	99.0	300	8.15e-94	AP040121.1	3228657	1	531	2827668	2829263
DEGQ_CFFIHE_02734	GCA_964417475.2	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	OZ259869.1	4123479	1	495	1089543	1091030
DEGQ_CFFIHE_02734	GCA_965199415.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	OZ241173.1	4090989	1	495	2715495	2716982
DEGQ_CFFIHE_02734	GCA_965199775.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	OZ241381.1	4100456	1	495	2154569	2156056
DEGQ_CFFIHE_02734	GCA_965217235.1	Burkholderia multivorans	2_large	False	4	1	1	88.7	100.0	822	0.0	OZ244256.1	3451707	1	492	2880602	2882080
DEGQ_CFFIHE_02734	GCA_965217245.1	Burkholderia multivorans	2_large	False	4	1	1	89.0	99.0	828	0.0	OZ244258.1	3340722	1	492	2805084	2806562
DEGQ_CFFIHE_02734	GCA_980298765.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	816	0.0	OZ412837.1	3910731	1	495	577842	579329
DEGQ_CFFIHE_02734	GCF_000009485.1	Burkholderia cenocepacia J2315	3_large	True	5	1	1	98.0	100.0	958	0.0	NC_011000.1	3870082	1	494	3106541	3108025
DEGQ_CFFIHE_02734	GCF_000010545.1	Burkholderia multivorans ATCC 17616	3_large	True	6	1	1	92.9	100.0	872	0.0	NC_010804.1	3448421	1	494	2776436	2777920
DEGQ_CFFIHE_02734	GCF_000011545.1	Burkholderia pseudomallei K96243	2_large	False	4	1	1	86.2	99.0	816	0.0	NC_006350.1	4074542	1	495	938204	939691
DEGQ_CFFIHE_02734	GCF_000011705.1	Burkholderia mallei ATCC 23344	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_006348.1	3510148	1	495	326183	327670
DEGQ_CFFIHE_02734	GCF_000012365.1	Burkholderia thailandensis E264	2_large	False	4	1	1	86.8	99.0	820	0.0	NC_007651.1	3809201	1	495	775210	776697
DEGQ_CFFIHE_02734	GCF_000012785.1	Burkholderia pseudomallei 1710b	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_007434.1	4126292	1	495	1057204	1058691
DEGQ_CFFIHE_02734	GCF_000012945.1	Burkholderia lata	3_large	True	5	1	1	97.6	100.0	955	0.0	NC_007510.1	3694126	1	494	3074444	3075928
DEGQ_CFFIHE_02734	GCF_000013645.1	Paraburkholderia xenovorans LB400	3_large	False	4	1	1	77.8	99.0	731	0.0	NC_007951.1	4895836	1	503	4107979	4109490
DEGQ_CFFIHE_02734	GCF_000015465.1	Burkholderia mallei SAVP1	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_008785.1	3497479	1	495	614187	615674
DEGQ_CFFIHE_02734	GCF_000015605.1	Burkholderia mallei NCTC 10229	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_008836.1	3458208	1	495	2478680	2480167
DEGQ_CFFIHE_02734	GCF_000015625.1	Burkholderia mallei NCTC 10247	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_009080.1	3495687	1	495	49285	50772
DEGQ_CFFIHE_02734	GCF_000015905.1	Burkholderia pseudomallei 668	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_009074.1	3912947	1	495	825683	827170
DEGQ_CFFIHE_02734	GCF_000015925.1	Burkholderia pseudomallei 1106a	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_009076.1	3988455	1	495	833854	835341
DEGQ_CFFIHE_02734	GCF_000016205.1	Burkholderia vietnamiensis G4	4+_large	True	5	1	1	94.3	100.0	898	0.0	NC_009256.1	3652814	1	494	3022079	3023563
DEGQ_CFFIHE_02734	GCF_000018505.1	Burkholderia multivorans ATCC 17616	3_large	True	6	1	1	92.9	100.0	872	0.0	NC_010084.1	3448466	1	494	746853	748337
DEGQ_CFFIHE_02734	GCF_000019505.1	Burkholderia orbicola MC0-3	3_large	True	4	1	1	99.2	100.0	969	0.0	NC_010508.1	3532883	1	493	2946570	2948051
DEGQ_CFFIHE_02734	GCF_000019925.1	Burkholderia ambifaria MC40-6	4+_large	True	4	1	1	94.5	100.0	899	0.0	NC_010551.1	3443583	1	494	2815812	2817296
DEGQ_CFFIHE_02734	GCF_000020045.1	Paraburkholderia phymatum STM815	4+_large	False	6	1	1	77.0	99.0	698	0.0	NC_010622.1	3479187	1	500	534937	536439
DEGQ_CFFIHE_02734	GCF_000020125.1	Paraburkholderia phytofirmans PsJN	2_large	False	4	1	1	78.0	99.0	734	0.0	NC_010681.1	4467537	1	504	3678789	3680303
DEGQ_CFFIHE_02734	GCF_000022645.2	Burkholderia glumae BGR1	2_large	False	4	1	1	86.1	100.0	797	0.0	NC_012724.2	3906507	1	496	3358492	3359982
DEGQ_CFFIHE_02734	GCF_000092885.1	Paraburkholderia atlantica	4+_large	False	7	1	1	77.3	99.0	690	0.0	NC_014117.1	3518940	1	508	2814789	2816315
DEGQ_CFFIHE_02734	GCF_000194745.1	Burkholderia gladioli BSR3	3_large	False	4	1	1	85.3	100.0	782	0.0	NC_015381.1	4413616	1	497	3755519	3757012
DEGQ_CFFIHE_02734	GCF_000198775.1	Mycetohabitans rhizoxinica HKI 454	2_large	False	3	1	1	73.9	99.0	685	0.0	NC_014718.1	822304	2	486	440960	442420
DEGQ_CFFIHE_02734	GCF_000203915.1	Burkholderia ambifaria AMMD	3_large	True	4	1	1	94.5	100.0	899	0.0	NC_008390.1	3556545	1	494	2932491	2933975
DEGQ_CFFIHE_02734	GCF_000203955.1	Burkholderia cenocepacia HI2424	3_large	True	4	1	1	99.2	100.0	969	0.0	NC_008542.1	3483902	1	493	2897298	2898779
DEGQ_CFFIHE_02734	GCF_000236065.1	Burkholderia sp. YI23	4+_large	False	4	1	1	73.4	99.0	687	0.0	NC_016589.1	3131280	1	505	539250	540767
DEGQ_CFFIHE_02734	GCF_000236215.2	Burkholderia cenocepacia H111	3_large	True	4	1	1	98.2	100.0	961	0.0	NZ_HG938370.1	3572953	1	494	2902646	2904130
DEGQ_CFFIHE_02734	GCF_000260515.1	Burkholderia pseudomallei 1026b	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_017831.1	4092668	1	495	3042734	3044221
DEGQ_CFFIHE_02734	GCF_000262695.1	Burkholderia sp. KJ006	3_large	True	5	1	1	94.3	100.0	898	0.0	NC_017920.1	3145156	1	494	2573121	2574605
DEGQ_CFFIHE_02734	GCF_000292915.1	Burkholderia cepacia GG4	2_large	False	4	1	1	94.5	100.0	905	0.0	NC_018513.1	3463655	1	494	902362	903846
DEGQ_CFFIHE_02734	GCF_000294635.1	Burkholderia pseudomallei BPC006	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_018527.1	4001777	1	495	817892	819379
DEGQ_CFFIHE_02734	GCF_000300095.1	Paraburkholderia phenoliruptrix BR3459a	3_large	False	5	1	1	79.3	99.0	743	0.0	NC_018695.1	4152217	1	502	3439914	3441422
DEGQ_CFFIHE_02734	GCF_000385525.1	Burkholderia thailandensis MSMB121	2_large	False	5	1	1	86.3	99.0	811	0.0	NC_021173.1	3967794	1	496	3315501	3316991
DEGQ_CFFIHE_02734	GCF_000402035.1	Caballeronia insecticola	4+_large	False	4	1	1	74.1	100.0	704	0.0	NC_021287.1	3013410	1	502	517090	518598
DEGQ_CFFIHE_02734	GCF_000439695.1	Burkholderia pseudomallei MSHR305	2_large	False	5	1	1	86.2	99.0	817	0.0	NC_021884.1	4054155	1	495	1465627	1467114
DEGQ_CFFIHE_02734	GCF_000494855.1	Burkholderia pseudomallei NCTC 13179	2_large	False	4	1	1	86.2	99.0	817	0.0	NC_022659.1	3997089	1	495	842056	843543
DEGQ_CFFIHE_02734	GCF_000511895.1	Burkholderia pseudomallei NCTC 13178	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP004001.1	4029451	1	495	2438739	2440226
DEGQ_CFFIHE_02734	GCF_000511915.1	Burkholderia pseudomallei NAU20B-16	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP004003.1	4067895	1	495	784368	785855
DEGQ_CFFIHE_02734	GCF_000520895.1	Burkholderia pseudomallei MSHR511	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP004023.1	4067942	1	495	3041702	3043189
DEGQ_CFFIHE_02734	GCF_000521645.1	Burkholderia pseudomallei MSHR146	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP004042.1	4067985	1	495	3186947	3188434
DEGQ_CFFIHE_02734	GCF_000522545.2	Paraburkholderia caribensis MBA4	3_large	False	5	1	1	76.3	99.0	691	0.0	NZ_CP012746.1	3575012	1	504	233456	234970
DEGQ_CFFIHE_02734	GCF_000567905.1	Burkholderia thailandensis H0587	2_large	False	4	1	1	87.0	99.0	823	0.0	NZ_CP004089.1	3827433	1	495	3416700	3418187
DEGQ_CFFIHE_02734	GCF_000567925.1	Burkholderia thailandensis 2002721723	2_large	False	4	1	1	86.8	99.0	820	0.0	NZ_CP004097.1	3662415	1	495	796393	797880
DEGQ_CFFIHE_02734	GCF_000567945.1	Burkholderia thailandensis E444	2_large	False	4	1	1	86.8	99.0	820	0.0	NZ_CP004117.1	3799595	1	495	1999958	2001445
DEGQ_CFFIHE_02734	GCF_000583835.1	Burkholderia pseudomallei MSHR520	2_large	False	5	1	1	86.2	99.0	817	0.0	NZ_CP004368.1	4059501	1	495	3586531	3588018
DEGQ_CFFIHE_02734	GCF_000701165.1	Burkholderia cepacia JBK9	3_large	True	7	1	1	97.4	100.0	956	0.0	NZ_CP013730.1	3790084	1	494	1073035	1074519
DEGQ_CFFIHE_02734	GCF_000705535.2	Burkholderia seminalis	3_large	True	4	1	1	98.4	100.0	967	0.0	NZ_CP072520.1	3561262	1	493	2963365	2964846
DEGQ_CFFIHE_02734	GCF_000706745.1	Burkholderia thailandensis USAMRU Malaysia #20	2_large	False	4	1	1	86.8	99.0	820	0.0	NZ_CP004383.1	3862646	1	495	3715153	3716640
DEGQ_CFFIHE_02734	GCF_000755725.1	Burkholderia cenocepacia	3_large	True	5	1	1	94.5	100.0	905	0.0	NZ_CP007783.1	3668832	1	494	2942241	2943725
DEGQ_CFFIHE_02734	GCF_000755765.1	Burkholderia pseudomallei	2_large	False	5	1	1	86.2	99.0	817	0.0	NZ_CP009209.1	4056147	1	495	2686623	2688110
DEGQ_CFFIHE_02734	GCF_000755785.1	Burkholderia mallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP009148.1	3510187	1	495	118641	120128
DEGQ_CFFIHE_02734	GCF_000755805.1	Burkholderia cepacia	3_large	True	4	1	1	98.2	100.0	961	0.0	NZ_CP007787.1	3760231	1	494	2648537	2650021
DEGQ_CFFIHE_02734	GCF_000755825.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP009128.1	4058409	1	495	3781470	3782957
DEGQ_CFFIHE_02734	GCF_000755845.1	Burkholderia mallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008711.1	3501048	1	495	319635	321122
DEGQ_CFFIHE_02734	GCF_000755865.1	Burkholderia mallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008704.1	3531732	1	495	1856208	1857695
DEGQ_CFFIHE_02734	GCF_000755885.1	Burkholderia mallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008723.1	3533325	1	495	1830519	1832006
DEGQ_CFFIHE_02734	GCF_000755905.1	Burkholderia pseudomallei HBPUB10303a	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008894.1	3984054	1	495	603217	604704
DEGQ_CFFIHE_02734	GCF_000755925.1	Burkholderia pseudomallei HBPUB10134a	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008911.1	4017692	1	495	371016	372503
DEGQ_CFFIHE_02734	GCF_000755945.1	Burkholderia pseudomallei MSHR5858	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008892.1	3925545	1	495	459490	460977
DEGQ_CFFIHE_02734	GCF_000755965.1	Burkholderia pseudomallei MSHR5848	2_large	False	5	1	1	86.2	99.0	817	0.0	NZ_CP008909.1	4054219	1	495	1146807	1148294
DEGQ_CFFIHE_02734	GCF_000755985.1	Burkholderia oklahomensis	2_large	False	4	1	1	85.8	99.0	811	0.0	NZ_CP008726.1	4192008	1	494	253763	255247
DEGQ_CFFIHE_02734	GCF_000756005.1	Burkholderia multivorans	3_large	True	6	1	1	92.7	100.0	871	0.0	NZ_CP008730.1	3603686	1	494	2523769	2525253
DEGQ_CFFIHE_02734	GCF_000756025.1	Burkholderia mallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008732.1	3553363	1	495	934409	935896
DEGQ_CFFIHE_02734	GCF_000756045.1	Paraburkholderia xenovorans LB400	3_large	False	4	1	1	77.8	99.0	731	0.0	NZ_CP008760.1	4868129	1	503	3133875	3135386
DEGQ_CFFIHE_02734	GCF_000756065.1	Burkholderia pseudomallei MSHR5855	2_large	False	5	1	1	86.2	99.0	817	0.0	NZ_CP008784.1	4060827	1	495	3921217	3922704
DEGQ_CFFIHE_02734	GCF_000756085.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008834.1	4092738	1	495	611860	613347
DEGQ_CFFIHE_02734	GCF_000756125.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008781.1	3985223	1	495	907841	909328
DEGQ_CFFIHE_02734	GCF_000756145.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008758.1	3984293	1	495	3090310	3091797
DEGQ_CFFIHE_02734	GCF_000756165.1	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008780.1	4019546	1	495	1464032	1465519
DEGQ_CFFIHE_02734	GCF_000756185.1	Burkholderia pseudomallei 576	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP008777.1	4021786	1	495	3711452	3712939
DEGQ_CFFIHE_02734	GCF_000757015.2	Burkholderia pseudomallei	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP009585.1	3976798	1	495	3727337	3728824
DEGQ_CFFIHE_02734	GCF_000757035.2	Burkholderia pseudomallei Pasteur 52237	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP009899.1	4140573	1	495	1709867	1711354
DEGQ_CFFIHE_02734	GCF_000762285.1	Burkholderia mallei NCTC 10247	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP007802.1	3476239	1	495	3265789	3267276
DEGQ_CFFIHE_02734	GCF_000764575.1	Burkholderia pseudomallei NAU35A-3	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP004377.1	3955135	1	495	1650474	1651961
DEGQ_CFFIHE_02734	GCF_000764595.1	Burkholderia thailandensis MSMB59	2_large	False	4	1	1	86.8	99.0	820	0.0	NZ_CP004385.1	3916324	1	495	3570673	3572160
DEGQ_CFFIHE_02734	GCF_000764955.1	Burkholderia cenocepacia	3_large	True	4	1	1	94.3	100.0	902	0.0	NZ_CP007781.1	3241886	1	494	267594	269078
DEGQ_CFFIHE_02734	GCF_000765375.1	Burkholderia thailandensis E254	2_large	False	4	1	1	86.8	99.0	820	0.0	NZ_CP004381.1	3805980	1	495	1881302	1882789
DEGQ_CFFIHE_02734	GCF_000770395.1	Burkholderia pseudomallei MSHR62	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP009235.1	4031107	1	495	1820655	1822142
DEGQ_CFFIHE_02734	GCF_000770455.1	Burkholderia pseudomallei B03	2_large	False	4	1	1	86.2	99.0	817	0.0	NZ_CP009151.1	4008750	1	495	3969460	3970947
