query	accession	organism	architecture	pC3_present	n_hits_any	n_hits_tier1	best_tier	best_pident	best_qcovs	best_qstart	best_qend	best_bitscore	best_evalue	best_contig	best_contig_len	best_contig_rank	best_subject_len	best_start	best_end
MF6_002734	GCF_029962485.1	Burkholderia cepacia	3_large	True	1	1	1	94.459	100	1	379	629	0.0	NZ_CP073637.1	3544176	1	379	2956606	2957745
MF6_002734	GCF_030078435.1	Burkholderia vietnamiensis	3_large	True	1	1	1	94.723	100	1	379	645	0.0	NZ_CP120730.1	3314184	1	378	533528	534664
MF6_002734	GCF_030297195.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028071.1	3958117	1	379	847304	848443
MF6_002734	GCF_030297215.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028073.1	4060923	1	379	900631	901770
MF6_002734	GCF_030297235.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028075.1	4050793	1	379	884016	885155
MF6_002734	GCF_030297255.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028077.1	3937683	1	379	885099	886238
MF6_002734	GCF_030297275.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028079.1	4035111	1	379	849451	850590
MF6_002734	GCF_030297295.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028081.1	3997477	1	379	835484	836623
MF6_002734	GCF_030297315.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028083.1	3937533	1	379	885080	886219
MF6_002734	GCF_030297335.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028086.1	4104708	1	379	833392	834531
MF6_002734	GCF_030297355.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_AP028088.1	3957973	1	379	847267	848406
MF6_002734	GCF_030316055.1	Paraburkholderia bonniea	2_large	False	1	1	1	62.895	99	5	379	457	1.47e-159	NZ_CP128231.1	3124405	1	375	2635552	2636679
MF6_002734	GCF_030316075.1	Paraburkholderia bonniea	2_large	False	1	1	1	62.895	99	5	379	457	1.47e-159	NZ_CP128229.1	3128458	1	375	2639599	2640726
MF6_002734	GCF_030374675.1	Burkholderia anthina	3_large	True	1	1	1	96.570	100	1	379	726	0.0	NZ_CP126321.1	3584230	1	379	615326	616465
MF6_002734	GCF_030412785.1	Paraburkholderia sabiae	4+_large	False	2	0	3	50.249	96	15	379	310	3.16e-101	NZ_CP125295.1	6584006	1	399	549588	550787
MF6_002734	GCF_030505635.1	Burkholderia glumae	2_large	False	1	1	1	74.541	99	1	378	492	6.11e-173	NZ_CP130145.1	3417499	2	380	2873636	2874778
MF6_002734	GCF_030644525.1	Burkholderia plantarii	2_large	False	1	1	1	74.278	99	1	378	476	6.02e-167	NZ_CP066798.1	4199852	1	380	1662768	1663910
MF6_002734	GCF_030848725.1	Burkholderia dolosa	3_large	True	1	1	1	92.876	100	1	379	630	0.0	NZ_CP132922.1	3298494	1	377	2709255	2710388
MF6_002734	GCF_031356765.1	Paraburkholderia phenoliruptrix	2_large	False	1	0	3	51.790	97	12	379	338	5.15e-112	NZ_CP119873.1	4104520	1	416	714513	715763
MF6_002734	GCF_031585635.1	Paraburkholderia sp. FT54	4+_large	False	2	0	3	52.570	99	5	379	366	9.64e-123	NZ_CP134195.1	4214684	1	417	716058	717311
MF6_002734	GCF_032806925.1	Paraburkholderia kirstenboschensis	3_large	False	3	0	3	53.521	99	5	379	330	6.75e-109	NZ_CP136513.1	4098314	1	416	2098198	2099448
MF6_002734	GCF_033391855.2	Paraburkholderia terrae	4+_large	False	1	0	3	51.000	96	15	379	320	6.68e-105	NZ_CM138824.1	3985594	1	398	3743006	3744202
MF6_002734	GCF_033675275.1	Burkholderia thailandensis	2_large	False	1	1	1	77.895	100	1	379	539	0.0	NZ_QXCS01000002.1	3920696	1	379	675490	676629
MF6_002734	GCF_033675305.1	Burkholderia thailandensis	2_large	False	1	1	1	77.895	100	1	379	539	0.0	NZ_QXCT01000002.1	3823994	1	379	2571788	2572927
MF6_002734	GCF_033675325.1	Burkholderia cepacia	3_large	True	1	1	1	94.226	100	1	379	646	0.0	NZ_QXCU01000001.1	3848587	1	381	3390467	3391612
MF6_002734	GCF_033870355.1	Burkholderia mallei	2_large	False	1	1	1	78.158	100	1	379	548	0.0	NZ_CP124606.1	2668693	2	379	811907	813046
MF6_002734	GCF_033870375.1	Burkholderia mallei	2_large	False	1	1	1	78.158	100	1	379	548	0.0	NZ_CP124603.1	3558661	1	379	1390235	1391374
MF6_002734	GCF_033870395.1	Burkholderia mallei	1_large	False	1	1	1	78.158	100	1	379	548	0.0	NZ_CP124604.1	5822796	1	379	3658620	3659759
MF6_002734	GCF_033956065.1	Burkholderia mallei	2_large	False	1	1	1	78.158	100	1	379	548	0.0	NZ_CP124608.1	3510110	1	379	319440	320579
MF6_002734	GCF_034047095.1	Robbsia andropogonis	3_large	False	0	0													
MF6_002734	GCF_034424375.1	Paraburkholderia kururiensis	1_large	False	2	1	1	65.970	86	53	379	390	9.87e-133	NZ_CP139965.1	6677280	1	382	4832301	4833449
MF6_002734	GCF_034424545.1	Trinickia caryophylli	2_large	False	1	0	3	54.360	86	53	379	292	1.52e-94	NZ_CP139970.1	4294907	1	377	2956960	2958093
MF6_002734	GCF_035621555.1	Burkholderia thailandensis	2_large	False	1	1	1	76.842	100	1	379	537	0.0	NZ_CP141809.1	3804194	1	379	3099917	3101056
MF6_002734	GCF_036352035.1	Burkholderia multivorans	3_large	True	1	1	1	83.377	100	1	379	580	0.0	NZ_CP143552.1	3512161	1	375	2943696	2944823
MF6_002734	GCF_036362805.1	Burkholderia multivorans	3_large	True	1	1	1	83.641	100	1	379	580	0.0	NZ_CP143589.1	3363426	1	375	2799182	2800309
MF6_002734	GCF_036837415.1	Burkholderia gladioli	2_large	False	1	1	1	75.131	100	1	379	476	1.11e-166	NZ_CP045573.1	4358639	1	379	1820035	1821174
MF6_002734	GCF_036839165.1	Burkholderia gladioli	2_large	False	1	1	1	75.131	100	1	379	476	1.11e-166	NZ_CP045576.1	4358648	1	379	1000973	1002112
MF6_002734	GCF_037055255.1	Burkholderia pyrrocinia	3_large	True	1	1	1	92.876	100	1	379	632	0.0	NZ_CP146376.1	3779152	1	378	2817592	2818728
MF6_002734	GCF_037101255.1	Paraburkholderia sp. 22B1P	4+_large	False	1	0	3	49.626	96	15	379	302	3.60e-98	NZ_AP028996.1	3784668	1	398	548200	549396
MF6_002734	GCF_037101275.1	Burkholderia contaminans	3_large	True	1	1	1	95.778	100	1	379	721	0.0	NZ_AP029053.1	3445782	1	379	1630521	1631660
MF6_002734	GCF_037477895.1	Mycetohabitans endofungorum	2_large	False	1	0	3	49.227	100	1	379	294	2.76e-95	NZ_CP132744.1	2760408	1	363	566461	567552
MF6_002734	GCF_037477905.1	Mycetohabitans endofungorum	2_large	False	1	0	3	49.227	100	1	379	294	1.51e-95	NZ_CP132741.1	2674176	1	363	2253411	2254502
MF6_002734	GCF_037478035.1	Mycetohabitans endofungorum	2_large	False	1	0	3	50.000	100	1	379	300	6.03e-98	NZ_CP062168.1	2736534	1	363	2297139	2298230
MF6_002734	GCF_037478045.1	Mycetohabitans rhizoxinica	2_large	False	1	0	3	50.639	100	1	379	327	2.36e-108	NZ_CP062171.1	2710688	1	363	2278715	2279806
MF6_002734	GCF_037478055.1	Mycetohabitans rhizoxinica	2_large	False	1	0	3	50.639	100	1	379	327	3.98e-108	NZ_CP062174.1	2646852	1	363	2250740	2251831
MF6_002734	GCF_037478065.1	Mycetohabitans rhizoxinica	2_large	False	1	0	3	50.639	100	1	379	327	2.36e-108	NZ_CP062176.1	2776699	1	363	440698	441789
MF6_002734	GCF_037478075.1	Mycetohabitans endofungorum	2_large	False	1	0	3	48.969	100	1	379	285	6.15e-92	NZ_CP062178.1	2592175	1	363	2168036	2169127
MF6_002734	GCF_037478085.1	Mycetohabitans endofungorum	2_large	False	1	0	3	49.227	100	1	379	296	4.06e-96	NZ_CP062181.1	2686710	1	363	2228701	2229792
MF6_002734	GCF_038050405.1	Paraburkholderia sp. IMGN_8	2_large	False	4	0	3	52.289	97	12	379	313	3.01e-102	NZ_CP150900.1	4664177	1	414	701274	702518
MF6_002734	GCF_038452255.1	Burkholderia pyrrocinia	3_large	True	1	1	1	84.960	100	1	379	569	0.0	NZ_CP150849.1	3727794	1	378	3121219	3122355
MF6_002734	GCF_038723655.1	Burkholderia arboris	3_large	True	1	1	1	87.335	100	1	379	615	0.0	NZ_CP109821.1	3651544	1	376	3028840	3029970
MF6_002734	GCF_038782865.1	Burkholderia ambifaria	2_large	False	1	1	1	91.557	100	1	379	628	0.0	NZ_CP152371.1	4682183	1	378	409459	410595
MF6_002734	GCF_038983115.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_JAQIYQ010000001.1	3964337	1	379	3195378	3196517
MF6_002734	GCF_038983225.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_JAQIYP010000001.1	3964321	1	379	3195362	3196501
MF6_002734	GCF_039621805.1	Paraburkholderia sp. PREW-6R	4+_large	False	2	0	3	54.137	98	8	379	371	5.55e-125	NZ_CP155073.1	3453605	1	415	2752766	2754013
MF6_002734	GCF_039728355.1	Burkholderia cenocepacia	3_large	True	1	1	1	96.834	100	1	379	723	0.0	NZ_CP155787.1	3780142	1	378	3188078	3189214
MF6_002734	GCF_039848545.1	Burkholderia stagnalis	3_large	True	1	1	1	87.863	100	1	379	595	0.0	NZ_CP156685.1	3664175	1	377	1138498	1139631
MF6_002734	GCF_039852015.1	Robbsia sp. KACC 23696	3_large	False	1	0	3	53.457	94	23	379	327	8.81e-108	NZ_CP156628.1	1220225	3	395	340918	342105
MF6_002734	GCF_040215475.1	Burkholderia contaminans	3_large	True	1	1	1	86.280	100	1	379	609	0.0	NZ_CP157953.1	3637183	1	376	3622429	3623559
MF6_002734	GCF_040314805.1	Trinickia caryophylli	2_large	False	1	0	3	54.360	86	53	379	292	1.52e-94	NZ_CP131477.1	4294889	1	377	3585997	3587130
MF6_002734	GCF_040361905.1	Paraburkholderia terrae	4+_large	False	1	0	3	50.750	96	15	379	318	3.79e-104	NZ_AP029613.1	3660500	1	398	542348	543544
MF6_002734	GCF_040735455.1	Burkholderia semiarida	3_large	True	1	1	1	96.834	100	1	379	723	0.0	NZ_CP136803.1	3533168	1	378	2890830	2891966
MF6_002734	GCF_040761425.1	Burkholderia sp. Ed8	3_large	True	1	1	1	96.570	100	1	379	727	0.0	NZ_CP142886.1	3809753	1	379	480757	481896
MF6_002734	GCF_041070875.1	Burkholderia cepacia	3_large	True	1	1	1	93.701	100	1	379	642	0.0	NZ_CP163499.1	3600495	1	381	691617	692762
MF6_002734	GCF_041205585.2	Burkholderia cenocepacia	3_large	True	1	1	1	96.834	100	1	379	727	0.0	NZ_CM145221.1	3538567	1	379	2931637	2932776
MF6_002734	GCF_042604585.1	Burkholderia gladioli	2_large	False	1	1	1	75.131	100	1	379	475	1.72e-166	NZ_CP152482.1	4159160	1	379	3511234	3512373
MF6_002734	GCF_042604595.1	Burkholderia gladioli	2_large	False	1	1	1	75.131	100	1	379	476	1.11e-166	NZ_CP152478.1	4218485	1	379	3593996	3595135
MF6_002734	GCF_043193125.1	Burkholderia ambifaria	3_large	True	1	1	1	91.821	100	1	379	630	0.0	NZ_CP142981.1	3564602	1	378	2935531	2936667
MF6_002734	GCF_044057485.1	Burkholderia contaminans	3_large	True	1	1	1	86.280	100	1	379	609	0.0	NZ_CP172007.1	3612598	1	376	3003562	3004692
MF6_002734	GCF_044501195.1	Burkholderia anthina	3_large	True	1	1	1	90.501	100	1	379	617	0.0	NZ_CP162532.1	3704100	1	379	2960507	2961646
MF6_002734	GCF_045345775.1	Burkholderia semiarida	3_large	True	1	1	1	96.834	100	1	379	727	0.0	NZ_CP174276.1	3559746	1	379	2940702	2941841
MF6_002734	GCF_045348565.1	Paraburkholderia fungorum	4+_large	False	2	0	3	51.435	98	9	379	317	1.53e-103	NZ_CP157346.1	5249169	1	410	4474674	4475906
MF6_002734	GCF_045862465.1	Burkholderia gladioli pv. gladioli	2_large	False	1	1	1	74.869	100	1	379	473	1.20e-165	NZ_AP024337.1	4563288	1	379	3933336	3934475
MF6_002734	GCF_045925845.1	Burkholderia pyrrocinia	4+_large	True	1	1	1	93.404	100	1	379	638	0.0	NZ_CP174521.1	3687230	1	379	3076417	3077556
MF6_002734	GCF_046773525.1	Burkholderia cepacia	3_large	True	1	1	1	86.807	100	1	379	608	0.0	NZ_CP177244.1	3764863	1	375	1420920	1422047
MF6_002734	GCF_047127275.1	Burkholderia lata	3_large	True	1	1	1	87.071	100	1	379	614	0.0	NZ_CP098396.1	3731061	1	376	2549675	2550805
MF6_002734	GCF_047325075.1	Paraburkholderia phenoliruptrix	2_large	False	1	0	3	51.790	97	12	379	338	5.15e-112	NZ_CP168531.1	4115846	1	416	1095657	1096907
MF6_002734	GCF_047497155.1	Burkholderia sp. 22PA0106	2_large	False	1	1	1	76.963	100	1	379	498	2.96e-175	NZ_CP163163.1	4330113	1	379	3295337	3296476
MF6_002734	GCF_047497165.1	Burkholderia sp. 22PA0099	2_large	False	1	1	1	76.440	100	1	379	493	2.96e-173	NZ_CP163165.1	4232728	1	379	911237	912376
MF6_002734	GCF_047902435.1	Burkholderia cepacia	3_large	True	1	1	1	94.226	100	1	379	646	0.0	NZ_CP138378.1	3790643	1	381	3183949	3185094
MF6_002734	GCF_048565175.1	Burkholderia gladioli	2_large	False	1	1	1	74.869	100	1	379	479	6.18e-168	NZ_CP183460.1	4218311	1	379	3600068	3601207
MF6_002734	GCF_048565265.1	Burkholderia theae	3_large	True	1	1	1	86.807	100	1	379	608	0.0	NZ_CP183461.1	3718748	1	375	3101854	3102981
MF6_002734	GCF_048627025.1	Burkholderia aenigmatica	4+_large	True	1	1	1	84.433	100	1	379	590	0.0	NZ_CP184468.1	3646165	1	375	3010204	3011331
MF6_002734	GCF_048688115.1	Burkholderia thailandensis	2_large	False	1	1	1	76.842	100	1	379	537	0.0	NZ_CP166681.1	3929948	1	379	3294265	3295404
MF6_002734	GCF_048917655.1	Burkholderia gladioli	2_large	False	1	1	1	74.869	100	1	379	476	1.52e-166	NZ_CP183166.1	4163677	1	379	3550657	3551796
MF6_002734	GCF_048917665.1	Burkholderia gladioli	2_large	False	1	1	1	74.869	100	1	379	476	1.52e-166	NZ_CP183173.1	4163896	1	379	3550203	3551342
MF6_002734	GCF_048917685.1	Burkholderia gladioli	2_large	False	1	1	1	74.869	100	1	379	476	1.52e-166	NZ_CP183177.1	4163675	1	379	3550655	3551794
MF6_002734	GCF_049177125.1	Paraburkholderia sp. DD10	2_large	False	1	0	3	58.247	97	12	379	382	9.52e-130	NZ_CP185393.1	4077509	1	386	2708670	2709830
MF6_002734	GCF_049487195.1	Burkholderia sp. NLJ2	3_large	True	1	1	1	84.697	100	1	379	565	0.0	NZ_CP137808.1	3615827	1	378	2975520	2976656
MF6_002734	GCF_049913365.1	Burkholderia ambifaria	3_large	True	1	1	1	91.293	100	1	379	625	0.0	NZ_CP184381.1	3535213	1	378	2932721	2933857
MF6_002734	GCF_049942845.1	Burkholderia sp. R-40	3_large	True	1	1	1	91.293	100	1	379	625	0.0	NZ_CP187967.1	3524452	1	378	2910112	2911248
MF6_002734	GCF_050320195.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.632	100	1	379	544	0.0	NZ_CP190013.1	4015981	1	379	2605807	2606946
MF6_002734	GCF_050430075.1	Robbsia andropogonis	3_large	False	0	0													
MF6_002734	GCF_050500075.1	Paraburkholderia tropica	4+_large	False	1	0	3	50.472	99	5	379	327	1.28e-107	NZ_CP191362.1	3382895	1	417	1610081	1611334
MF6_002734	GCF_050613125.1	Burkholderia gladioli	2_large	False	1	1	1	75.131	100	1	379	476	1.11e-166	NZ_CP192536.1	4217528	1	379	3567729	3568868
MF6_002734	GCF_050613135.1	Burkholderia cepacia	3_large	True	1	1	1	94.751	100	1	379	646	0.0	NZ_CP192533.1	3636339	1	380	2109745	2110887
MF6_002734	GCF_050627075.1	Paraburkholderia fungorum	4+_large	False	2	0	3	51.435	98	9	379	317	1.53e-103	NZ_CP192477.1	4729159	1	410	4311609	4312841
MF6_002734	GCF_050627395.1	Paraburkholderia fungorum	4+_large	False	2	0	3	51.435	98	9	379	317	1.53e-103	NZ_CP192495.1	4729161	1	410	1600564	1601796
MF6_002734	GCF_050632305.1	Burkholderia contaminans	3_large	True	2	1	1	87.335	100	1	379	612	0.0	NZ_CP192556.1	3611118	1	376	2791552	2792682
MF6_002734	GCF_050632315.1	Burkholderia contaminans	3_large	True	2	1	1	87.335	100	1	379	612	0.0	NZ_CP192545.1	3611832	1	376	700399	701529
MF6_002734	GCF_050632325.1	Burkholderia cepacia	3_large	True	1	1	1	93.701	100	1	379	640	0.0	NZ_CP192560.1	3756401	1	381	3051499	3052644
MF6_002734	GCF_050632335.1	Burkholderia contaminans	3_large	True	2	1	1	87.335	100	1	379	612	0.0	NZ_CP192552.1	3611822	1	376	2910966	2912096
MF6_002734	GCF_050632345.1	Burkholderia contaminans	3_large	True	2	1	1	87.335	100	1	379	612	0.0	NZ_CP192563.1	3611841	1	376	793606	794736
MF6_002734	GCF_050632355.1	Burkholderia cepacia	3_large	True	1	1	1	94.226	100	1	379	646	0.0	NZ_CP192549.1	3636668	1	381	2900228	2901373
MF6_002734	GCF_050813845.1	Burkholderia sp. F1	3_large	False	1	1	1	80.739	100	1	379	561	0.0	NZ_CP172421.1	4012682	1	377	3397502	3398635
MF6_002734	GCF_050858985.1	Burkholderia sp. M6-3	4+_large	False	1	0	3	53.991	99	5	379	350	1.42e-116	NZ_CP110090.1	3921720	1	416	3245381	3246631
MF6_002734	GCF_050920555.1	Burkholderia gladioli pv. alliicola	2_large	False	1	1	1	75.131	100	1	379	476	1.11e-166	NZ_CP129639.1	4316582	1	379	3691436	3692575
MF6_002734	GCF_050955445.1	Paraburkholderia sp. RHO2	2_large	False	0	0													
MF6_002734	GCF_050990585.1	Paraburkholderia phenoliruptrix	2_large	False	1	0	3	51.551	97	12	379	337	1.27e-111	NZ_CP158825.1	3767830	1	416	3063027	3064277
MF6_002734	GCF_050990595.1	Paraburkholderia sacchari	4+_large	False	2	0	3	48.138	98	8	379	271	1.22e-86	NZ_CP158830.1	1028322	4	345	117992	119029
MF6_002734	GCF_051027425.1	Paraburkholderia caffeinilytica	2_large	False	1	0	3	51.294	98	9	379	295	5.97e-95	NZ_CP186552.1	4560583	1	417	3776480	3777733
MF6_002734	GCF_051124805.1	Paraburkholderia sp. A3RO-2L	4+_large	False	2	0	3	49.848	87	52	379	258	2.04e-81	NZ_CP123189.1	1142246	3	344	819011	820045
MF6_002734	GCF_051125205.1	Paraburkholderia sp. A1BS-2L	4+_large	False	2	0	3	49.848	87	52	379	258	2.04e-81	NZ_CP120430.1	1164524	3	344	603746	604780
MF6_002734	GCF_051125215.1	Paraburkholderia sp. A3BS-1L	4+_large	False	2	0	3	48.665	87	52	379	257	3.95e-81	NZ_CP120444.1	1262688	3	344	402348	403382
MF6_002734	GCF_051125545.1	Paraburkholderia sp. A2RO-4L	4+_large	False	2	0	3	49.848	87	52	379	258	2.04e-81	NZ_CP120436.1	1162407	3	344	595063	596097
MF6_002734	GCF_051355645.1	Burkholderia lata	3_large	True	1	1	1	87.599	100	1	379	612	0.0	NZ_CP195707.1	3694126	1	375	3081095	3082222
MF6_002734	GCF_051560065.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CM121435.1	4021247	1	379	900600	901739
MF6_002734	GCF_051560085.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CM121437.1	3971785	1	379	3169561	3170700
MF6_002734	GCF_051560105.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CM121439.1	4052639	1	379	2074467	2075606
MF6_002734	GCF_051560125.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CM121441.1	4045573	1	379	485812	486951
MF6_002734	GCF_051560145.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CM121443.1	4024493	1	379	3014786	3015925
MF6_002734	GCF_051615025.1	Caballeronia sp. DA-9	3_large	False	1	0	3	59.229	90	38	379	389	4.65e-132	NZ_CP195133.1	3704918	1	396	707900	709090
MF6_002734	GCF_052222725.1	Burkholderia gladioli	2_large	False	1	1	1	75.131	100	1	379	476	1.11e-166	NZ_CM125933.1	4234222	1	379	3606499	3607638
MF6_002734	GCF_052854005.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.632	100	1	379	544	0.0	NZ_CP193432.1	4058535	1	379	3903981	3905120
MF6_002734	GCF_052854015.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193435.1	4142467	1	379	3402901	3404040
MF6_002734	GCF_052854305.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193438.1	4063971	1	379	1005356	1006495
MF6_002734	GCF_052854315.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193436.1	4263701	1	379	4066529	4067668
MF6_002734	GCF_052854605.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.632	100	1	379	544	0.0	NZ_CP193441.1	4051624	1	379	350979	352118
MF6_002734	GCF_052854615.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.632	100	1	379	544	0.0	NZ_CP193444.1	4051444	1	379	3541972	3543111
MF6_002734	GCF_052854885.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.632	100	1	379	544	0.0	NZ_CP193445.1	4087561	1	379	350938	352077
MF6_002734	GCF_052854895.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193448.1	3971349	1	379	1478768	1479907
MF6_002734	GCF_052855305.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193450.1	4088868	1	379	2236110	2237249
MF6_002734	GCF_052855315.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193452.1	4051722	1	379	2908131	2909270
MF6_002734	GCF_052855605.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193453.1	4038557	1	379	2866562	2867701
MF6_002734	GCF_052855615.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193455.1	4007748	1	379	2155912	2157051
MF6_002734	GCF_052855985.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193458.1	4007637	1	379	2155856	2156995
MF6_002734	GCF_052856205.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193459.1	3906615	1	379	3316134	3317273
MF6_002734	GCF_052857015.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193462.1	3951380	1	379	2137385	2138524
MF6_002734	GCF_052857225.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193463.1	3976171	1	379	1440595	1441734
MF6_002734	GCF_052857935.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193466.1	4009207	1	379	3514576	3515715
MF6_002734	GCF_052858145.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193468.1	4080232	1	379	1685796	1686935
MF6_002734	GCF_052858685.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193470.1	4091997	1	379	2949798	2950937
MF6_002734	GCF_052858755.1	Burkholderia pseudomallei	2_large	False	1	1	1	77.895	100	1	379	545	0.0	NZ_CP193471.1	4092017	1	379	988772	989911
MF6_002734	GCF_053038975.1	Burkholderia sola	3_large	True	1	1	1	99.472	100	1	379	746	0.0	NZ_CP199959.1	3504123	1	379	2910398	2911537
MF6_002734	GCF_053153985.1	Burkholderia vietnamiensis	4+_large	True	1	1	1	93.931	100	1	379	640	0.0	NZ_CP195304.1	3292540	1	378	2744735	2745871
MF6_002734	GCF_053209605.1	Burkholderia sola	3_large	True	1	1	1	99.472	100	1	379	746	0.0	NZ_CP199985.1	3503982	1	379	2910268	2911407
MF6_002734	GCF_053348855.1	Burkholderia metallica	3_large	True	1	1	1	87.599	100	1	379	615	0.0	NZ_CM130027.1	3580165	1	376	2395842	2396972
MF6_002734	GCF_053470105.1	Burkholderia gladioli	2_large	False	1	1	1	78.788	86	53	379	454	5.53e-159	NZ_CM130275.1	4292444	1	330	3625903	3626895
MF6_002734	GCF_053470145.1	Burkholderia gladioli	2_large	False	1	1	1	78.788	86	53	379	454	5.53e-159	NZ_CM130277.1	4292446	1	330	3625905	3626897
MF6_002734	GCF_053760385.1	Caballeronia sp. KNU42	4+_large	False	3	0	3	59.173	97	14	379	402	1.84e-137	NZ_CM132388.1	4237236	1	395	3670513	3671700
MF6_002734	GCF_054073385.1	Burkholderia pyrrocinia	4+_large	True	1	1	1	93.404	100	1	379	638	0.0	NZ_CM133398.1	3615813	1	379	3343946	3345085
MF6_002734	GCF_054073395.1	Burkholderia pyrrocinia	4+_large	True	1	1	1	93.404	100	1	379	638	0.0	NZ_CM133400.1	3667483	1	379	3218861	3220000
MF6_002734	GCF_054166125.1	Paraburkholderia strydomiana	3_large	False	2	0	3	53.521	99	5	379	346	3.55e-115	NZ_JBSWBW010000003.1	3953781	1	416	3558123	3559373
MF6_002734	GCF_054166145.1	Paraburkholderia strydomiana	4+_large	False	2	0	3	53.521	99	5	379	346	3.55e-115	NZ_JBSWBX010000005.1	3974054	1	416	232123	233373
MF6_002734	GCF_054166155.1	Paraburkholderia strydomiana	3_large	False	2	0	3	53.521	99	5	379	346	3.55e-115	NZ_JBSWBV010000002.1	3953764	1	416	3558103	3559353
MF6_002734	GCF_054166185.1	Burkholderia ambifaria	3_large	True	1	1	1	92.084	100	1	379	630	0.0	NZ_JBSWBZ010000002.1	3551557	1	378	3107840	3108976
MF6_002734	GCF_054166195.1	Paraburkholderia graminis	2_large	False	1	0	3	53.717	96	16	379	348	1.16e-115	NZ_JBSWBY010000002.1	4255561	1	417	314153	315406
MF6_002734	GCF_054166225.1	Paraburkholderia strydomiana	2_large	False	2	0	3	53.521	99	5	379	346	3.55e-115	NZ_JBSWCA010000002.1	4325843	1	416	3926951	3928201
MF6_002734	GCF_054166245.1	Paraburkholderia strydomiana	3_large	False	2	0	3	53.521	99	5	379	346	3.55e-115	NZ_JBSWCC010000003.1	3953818	1	416	228060	229310
MF6_002734	GCF_054166265.1	Paraburkholderia strydomiana	2_large	False	2	0	3	53.521	99	5	379	346	3.55e-115	NZ_JBSWCB010000002.1	4325818	1	416	1372686	1373936
MF6_002734	GCF_054187845.1	Burkholderia gladioli	2_large	False	1	1	1	74.869	100	1	379	476	1.52e-166	NZ_CM135174.1	4134938	1	379	3011325	3012464
MF6_002734	GCF_054558305.1	Burkholderia contaminans	3_large	True	1	1	1	86.280	100	1	379	609	0.0	NZ_AP045830.1	3623305	1	376	3011634	3012764
