accession	contig	size_rank	length	cds	ribosomal_proteins	core_markers	n_core_markers	replicon_type
GCF_002111085.1	NZ_CP018374.1	2	3260317	2521	1		0	secondary_large
GCF_002111105.1	NZ_CP018418.1	1	4149750	3567	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111105.1	NZ_CP018419.1	2	3084746	2366	1		0	secondary_large
GCF_002111125.1	NZ_CP018384.1	1	4032598	3430	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111125.1	NZ_CP018386.1	2	3212183	2501	1		0	secondary_large
GCF_002111125.1	NZ_CP018385.1	3	297875	316	0		0	small_plasmid
GCF_002111145.1	NZ_CP018387.1	1	4047168	3444	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111145.1	NZ_CP018388.1	2	3138916	2427	1		0	secondary_large
GCF_002111165.1	NZ_CP018389.1	1	4099199	3485	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111165.1	NZ_CP018390.1	2	3245772	2526	1		0	secondary_large
GCF_002111205.1	NZ_CP018399.1	1	4191510	3612	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111205.1	NZ_CP018398.1	2	3078985	2359	1		0	secondary_large
GCF_002111225.1	NZ_CP018400.1	1	4012048	3457	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111225.1	NZ_CP018401.1	2	3188810	2554	1		0	secondary_large
GCF_002111245.1	NZ_CP018403.1	1	4062501	3460	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111245.1	NZ_CP018402.1	2	3267789	2553	1		0	secondary_large
GCF_002111265.1	NZ_CP018408.1	1	4077668	3471	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111265.1	NZ_CP018409.1	2	3265934	2573	1		0	secondary_large
GCF_002111285.1	NZ_CP018414.1	1	4191431	3630	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111285.1	NZ_CP018415.1	2	3245094	2570	1		0	secondary_large
GCF_002111305.1	NZ_CP018416.1	1	4121864	3505	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111305.1	NZ_CP018417.1	2	3306540	2617	1		0	secondary_large
GCF_002111325.1	NZ_CP018369.1	1	4027562	3451	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111325.1	NZ_CP018370.1	2	3207929	2494	1		0	secondary_large
GCF_002111345.1	NZ_CP018372.1	1	4046807	3444	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111345.1	NZ_CP018371.1	2	3144330	2426	1		0	secondary_large
GCF_002111365.1	NZ_CP018383.1	1	4135235	3549	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111365.1	NZ_CP018382.1	2	3248554	2528	1		0	secondary_large
GCF_002111385.1	NZ_CP018413.1	1	4177999	3607	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002111385.1	NZ_CP018412.1	2	3269674	2563	1		0	secondary_large
GCF_002208175.1	NZ_CP022005.1	1	4668350	4105	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_002208175.1	NZ_CP022006.1	2	3922845	3157	2		0	secondary_large
GCF_002208175.1	NZ_CP022007.1	3	210524	205	0	ftsZ	1	small_plasmid
GCF_002208175.1	NZ_CP022008.1	4	26639	29	0		0	small_plasmid
GCF_002208175.1	NZ_CP022009.1	5	26479	26	0		0	small_plasmid
GCF_002209085.2	NZ_CP022083.2	1	3779906	3491	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002209085.2	NZ_CP022084.2	2	3397795	3034	1		0	secondary_large
GCF_002209085.2	NZ_CP022082.2	3	1187984	1037	1		0	secondary_large
GCF_002209085.2	NZ_CP022081.2	4	204169	183	0		0	small_plasmid
GCF_002278075.1	NZ_CP022989.1	1	4378888	3924	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002278075.1	NZ_CP022990.1	2	2992211	2631	1		0	secondary_large
GCF_002278075.1	NZ_CP022991.1	3	664981	621	0		0	secondary_large
GCF_002278075.1	NZ_CP022992.1	4	489416	535	0		0	secondary_large
GCF_002278075.1	NZ_CP022993.1	5	162757	158	0		0	small_plasmid
GCF_002278075.1	NZ_CP022994.1	6	152437	145	0		0	small_plasmid
GCF_002278075.1	NZ_CP022995.1	7	39532	49	0		0	small_plasmid
GCF_002278075.1	NZ_CP022996.1	8	27494	31	0		0	small_plasmid
GCF_002345985.1	NZ_CP009725.1	1	3471563	3055	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002345985.1	NZ_CP009726.1	2	2120306	1732	1		0	secondary_large
GCF_002346005.1	NZ_CP010348.1	1	3623703	3224	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346005.1	NZ_CP010349.1	2	2105279	1763	1		0	secondary_large
GCF_002346025.1	NZ_CP009727.1	1	3471484	3055	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346025.1	NZ_CP009728.1	2	2120565	1728	1		0	secondary_large
GCF_002346045.1	NZ_CP009929.1	1	3510109	3094	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346045.1	NZ_CP009930.1	2	2325357	1900	1		0	secondary_large
GCF_002346065.1	NZ_CP009729.1	1	3558404	3150	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346065.1	NZ_CP009730.1	2	2104778	1760	1		0	secondary_large
GCF_002346085.1	NZ_CP009731.1	1	3625848	3212	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346085.1	NZ_CP009732.1	2	2106749	1763	1		0	secondary_large
GCF_002346105.1	NZ_CP009733.1	1	3512356	3101	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346105.1	NZ_CP009734.1	2	2185904	1837	1		0	secondary_large
GCF_002346125.1	NZ_CP009735.1	1	3507358	3108	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346125.1	NZ_CP009736.1	2	2240464	1839	1		0	secondary_large
GCF_002346145.1	NZ_CP009737.1	1	3578566	3169	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346145.1	NZ_CP009738.1	2	2146721	1758	1		0	secondary_large
GCF_002346165.1	NZ_CP009739.1	1	3573819	3160	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346165.1	NZ_CP009740.1	2	2120572	1731	1		0	secondary_large
GCF_002346185.1	NZ_CP009741.1	1	3045954	2668	49	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346185.1	NZ_CP009742.1	2	2728358	2294	3	gyrB	1	secondary_large
GCF_002346205.1	NZ_CP009931.1	1	3510032	3091	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002346205.1	NZ_CP009932.1	2	2226558	1844	1		0	secondary_large
GCF_002356275.1	NZ_AP018111.1	1	3625611	3238	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002356275.1	NZ_AP018112.1	2	3163229	2779	2		0	secondary_large
GCF_002356275.1	NZ_AP018113.1	3	932264	820	0		0	secondary_large
GCF_002386205.1	NZ_CP023499.1	1	3967822	3536	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002386205.1	NZ_CP023498.1	2	2762025	2250	1		0	secondary_large
GCF_002393425.1	NZ_CP023522.1	1	4209407	3753	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002393425.1	NZ_CP023523.1	2	3925840	3234	2		0	secondary_large
GCF_002393425.1	NZ_CP023524.1	3	151925	162	0		0	small_plasmid
GCF_002407525.2	NZ_CP023518.1	1	3779890	3491	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002407525.2	NZ_CP023521.1	2	3397791	3033	1		0	secondary_large
GCF_002407525.2	NZ_CP023520.1	3	1187978	1039	1		0	secondary_large
GCF_002407525.2	NZ_CP023519.1	4	204165	185	0		0	small_plasmid
GCF_002843645.1	NZ_CP025264.1	1	4019555	3424	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002843645.1	NZ_CP025265.1	2	3258775	2521	1		0	secondary_large
GCF_002860065.1	NZ_CP019042.1	1	4091945	3501	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002860065.1	NZ_CP019043.1	2	3130290	2395	1		0	secondary_large
GCF_002902925.1	NZ_CP026111.1	1	3621233	3150	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002902925.1	NZ_CP026112.1	2	3002289	2724	2		0	secondary_large
GCF_002902925.1	NZ_CP026113.1	3	2682528	2387	0		0	secondary_large
GCF_002902925.1	NZ_CP026114.1	4	756439	705	0		0	secondary_large
GCF_002902945.1	NZ_CP026101.1	1	3688145	3222	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002902945.1	NZ_CP026102.1	2	2890530	2602	2		0	secondary_large
GCF_002902945.1	NZ_CP026103.1	3	2011334	1800	0		0	secondary_large
GCF_002902945.1	NZ_CP026104.1	4	442481	366	0		0	secondary_large
GCF_002902965.1	NZ_CP026105.1	1	4021292	3591	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_002902965.1	NZ_CP026106.1	2	3269803	2939	2		0	secondary_large
GCF_002902965.1	NZ_CP026107.1	3	2439752	2233	0		0	secondary_large
GCF_002902965.1	NZ_CP026108.1	4	971216	900	0		0	secondary_large
GCF_002902965.1	NZ_CP026109.1	5	725510	746	0		0	secondary_large
GCF_002902965.1	NZ_CP026110.1	6	100133	103	0		0	small_plasmid
GCF_003019945.1	NZ_CP020394.1	1	3317400	2996	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003019945.1	NZ_CP020396.1	2	2262065	1929	1		0	secondary_large
GCF_003019945.1	NZ_CP020395.1	3	1248348	1079	0		0	secondary_large
GCF_003019945.1	NZ_CP020393.1	4	102598	112	0		0	small_plasmid
GCF_003019965.1	NZ_CP020397.1	1	3428385	3138	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003019965.1	NZ_CP020398.1	2	2344186	1992	1		0	secondary_large
GCF_003019965.1	NZ_CP020399.1	3	550288	476	1		0	secondary_large
GCF_003020025.1	NZ_CP020390.1	1	3819771	3342	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003020025.1	NZ_CP020389.1	2	2853041	2281	1		0	secondary_large
GCF_003020185.1	NZ_CP020392.1	1	3827809	3305	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003020185.1	NZ_CP020391.1	2	2940845	2339	1		0	secondary_large
GCF_003076415.1	NZ_CP021069.1	1	3497405	3165	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003076415.1	NZ_CP021067.1	2	2856344	2546	1		0	secondary_large
GCF_003076415.1	NZ_CP021068.1	3	713299	629	0		0	secondary_large
GCF_003233675.1	NZ_CP029824.1	1	3723585	3326	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003233675.1	NZ_CP029825.1	2	3274969	2949	2		0	secondary_large
GCF_003233675.1	NZ_CP029826.1	3	1483367	1205	0		0	secondary_large
GCF_003233675.1	NZ_CP029828.1	4	428263	426	0		0	secondary_large
GCF_003233675.1	NZ_CP029827.1	5	15126	15	0		0	small_plasmid
GCF_003286395.1	NZ_CP029640.1	1	3130508	2773	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003286395.1	NZ_CP029641.1	2	1273736	1134	0		0	secondary_large
GCF_003330745.1	NZ_CP024905.1	1	3862683	3408	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003330745.1	NZ_CP024906.1	2	2944711	2674	1		0	secondary_large
GCF_003330745.1	NZ_CP024907.1	3	403765	404	0		0	secondary_large
GCF_003330765.1	NZ_CP024902.1	1	3619008	3286	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003330765.1	NZ_CP024903.1	2	3400486	3016	2		0	secondary_large
GCF_003330765.1	NZ_CP024904.1	3	984905	844	0		0	secondary_large
GCF_003330785.1	NZ_CP024934.1	1	4031601	3547	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003330785.1	NZ_CP024935.1	2	2982346	2638	1		0	secondary_large
GCF_003330785.1	NZ_CP024936.1	3	494503	486	0		0	secondary_large
GCF_003330805.1	NZ_CP024937.1	1	3883124	3407	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003330805.1	NZ_CP024938.1	2	3189135	2905	2		0	secondary_large
GCF_003330805.1	NZ_CP024939.1	3	2509140	2300	0		0	secondary_large
GCF_003330805.1	NZ_CP024940.1	4	1235162	1228	0		0	secondary_large
GCF_003330825.1	NZ_CP024941.1	1	4059171	3598	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003330825.1	NZ_CP024942.1	2	3058868	2730	1		0	secondary_large
GCF_003366075.1	NZ_CP028963.1	1	3591606	3252	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003366075.1	NZ_CP028962.1	2	3139806	2800	1		0	secondary_large
GCF_003366075.1	NZ_CP028964.1	3	851589	768	0		0	secondary_large
GCF_003366075.1	NZ_CP028965.1	4	420805	430	0		0	secondary_large
GCF_003368325.1	NZ_CP031467.1	1	4531000	4023	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_003368325.1	NZ_CP031466.1	2	3619047	3155	1		0	secondary_large
GCF_003368325.1	NZ_CP031468.1	3	174591	165	0		0	small_plasmid
GCF_003445415.1	NZ_CP008755.1	1	4033039	3462	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003445415.1	NZ_CP008754.1	2	3158067	2449	1		0	secondary_large
GCF_003546465.1	NZ_CP007746.1	1	3779447	3497	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003546465.1	NZ_CP007748.1	2	3396456	3035	1		0	secondary_large
GCF_003546465.1	NZ_CP007747.1	3	1187985	1036	1		0	secondary_large
GCF_003546465.1	NZ_CP007745.1	4	203123	182	0		0	small_plasmid
GCF_003547015.1	NZ_CP025304.1	1	4066496	3538	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003547015.1	NZ_CP025305.1	2	3112891	2430	1		0	secondary_large
GCF_003547035.1	NZ_CP025306.1	1	3987008	3397	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003547035.1	NZ_CP025307.1	2	3115305	2407	1		0	secondary_large
GCF_003547055.1	NZ_CP025302.1	1	4013273	3429	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003547055.1	NZ_CP025303.1	2	3173851	2493	1		0	secondary_large
GCF_003568605.1	NZ_CP008785.1	1	3986340	3394	19	dnaA;dnaN;ftsZ;gyrB;recA	5	secondary_large
GCF_003568605.1	NZ_CP008786.1	2	2735759	2261	34	rpoB;rpoC	2	chromosome1
GCF_003606245.1	NZ_CP023775.1	1	4075641	3473	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003606245.1	NZ_CP023776.1	2	3217986	2483	1		0	secondary_large
GCF_003613595.1	NZ_CP022213.1	1	4668533	4095	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_003613595.1	NZ_CP022210.1	2	3923011	3148	2		0	secondary_large
GCF_003613595.1	NZ_CP022209.1	3	210568	200	0	ftsZ	1	small_plasmid
GCF_003613595.1	NZ_CP022212.1	4	63719	59	0		0	small_plasmid
GCF_003613595.1	NZ_CP022211.1	5	26710	32	0		0	small_plasmid
GCF_003614815.1	NZ_CP022214.1	1	3862564	3431	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003614815.1	NZ_CP022215.1	2	2821560	2298	1		0	secondary_large
GCF_003614835.1	NZ_CP022217.1	1	3801254	3325	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003614835.1	NZ_CP022216.1	2	2852057	2291	1	ftsZ	1	secondary_large
GCF_003704285.1	NZ_CP013390.1	1	3617292	3253	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003704285.1	NZ_CP013391.1	2	3182734	2791	1		0	secondary_large
GCF_003704285.1	NZ_CP013392.1	3	1370749	1143	0		0	secondary_large
GCF_003711145.1	NZ_CP024943.1	1	3927314	3643	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003711145.1	NZ_CP024944.1	2	3706323	3337	2		0	secondary_large
GCF_003711145.1	NZ_CP024945.1	3	1153372	1029	0		0	secondary_large
GCF_003713105.1	NZ_CP033430.1	1	4171651	3663	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003713105.1	NZ_CP033431.1	2	4002946	3274	2		0	secondary_large
GCF_003713105.1	NZ_CP033429.1	3	145928	139	0	ftsZ	1	small_plasmid
GCF_003798245.1	NZ_CP033703.1	1	4098323	3552	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003798245.1	NZ_CP033704.1	2	3157202	2452	1		0	secondary_large
GCF_003798265.1	NZ_CP033705.1	1	4007610	3405	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003798265.1	NZ_CP033706.1	2	3139076	2414	1		0	secondary_large
GCF_003798365.1	NZ_CP033702.1	1	4003948	3429	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003798365.1	NZ_CP033701.1	2	3176440	2421	1		0	secondary_large
GCF_003812365.1	NZ_CP033750.1	1	3356899	3040	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003812365.1	NZ_CP033748.1	2	2331436	1975	1		0	secondary_large
GCF_003812365.1	NZ_CP033749.1	3	705748	613	1		0	secondary_large
GCF_003812585.1	NZ_CP033745.1	1	3239301	2926	20	dnaA;dnaN;ftsZ;gyrB;recA	5	secondary_large
GCF_003812585.1	NZ_CP033747.1	2	2383823	2055	1		0	secondary_large
GCF_003812585.1	NZ_CP033746.1	3	1030740	919	33	rpoB;rpoC	2	chromosome1
GCF_003812965.1	NZ_CP033856.1	1	3705094	3346	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003812965.1	NZ_CP033854.1	2	3155590	2724	2		0	secondary_large
GCF_003812965.1	NZ_CP033855.1	3	935732	699	0		0	secondary_large
GCF_003813045.1	NZ_CP033840.1	1	3406611	3097	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003813045.1	NZ_CP033838.1	2	2168066	1874	1		0	secondary_large
GCF_003813045.1	NZ_CP033839.1	3	834424	691	0		0	secondary_large
GCF_003966315.1	NZ_CP034545.1	1	3645818	3267	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_003966315.1	NZ_CP034547.1	2	3039797	2663	1		0	secondary_large
GCF_003966315.1	NZ_CP034546.1	3	1350848	1175	1		0	secondary_large
GCF_004323015.1	NZ_CP036452.1	1	3859639	3288	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004323015.1	NZ_CP036451.1	2	3102688	2402	1		0	secondary_large
GCF_004323035.1	NZ_CP036454.1	1	3852886	3290	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004323035.1	NZ_CP036453.1	2	3113526	2422	1		0	secondary_large
GCF_004348055.1	NZ_CP037758.1	1	3854943	3283	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004348055.1	NZ_CP037757.1	2	3103695	2397	1		0	secondary_large
GCF_004348075.1	NZ_CP037760.1	1	3850633	3275	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004348075.1	NZ_CP037759.1	2	3069583	2374	1		0	secondary_large
GCF_004367665.1	NZ_CP037974.1	1	3842045	3271	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004367665.1	NZ_CP037973.1	2	3099454	2399	1		0	secondary_large
GCF_004367685.1	NZ_CP037970.1	1	3855598	3284	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004367685.1	NZ_CP037969.1	2	3119419	2423	1		0	secondary_large
GCF_004367705.1	NZ_CP037976.1	1	3847660	3258	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004367705.1	NZ_CP037975.1	2	3097834	2398	1		0	secondary_large
GCF_004367725.1	NZ_CP037972.1	1	3842655	3264	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004367725.1	NZ_CP037971.1	2	3099308	2394	1		0	secondary_large
GCF_004526325.1	NZ_CP038195.1	1	3866281	3290	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_004526325.1	NZ_CP038194.1	2	3120072	2425	1		0	secondary_large
GCF_004842085.1	NZ_CP038805.1	1	3800466	3226	20	dnaA;dnaN;ftsZ;gyrB;recA	5	secondary_large
GCF_004842085.1	NZ_CP038806.1	2	3363129	2645	33	rpoB;rpoC	2	chromosome1
GCF_005280735.1	NZ_CP040077.1	1	4775917	4327	50	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_005280735.1	NZ_CP040078.1	2	3695250	3331	1		0	secondary_large
GCF_005280735.1	NZ_CP040079.1	3	105350	89	0		0	small_plasmid
GCF_005853645.1	NZ_CP040531.1	1	4017865	3489	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_005853645.1	NZ_CP040532.1	2	3162636	2536	1		0	secondary_large
GCF_005862325.1	NZ_CP040552.1	1	3987244	3531	50	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_005862325.1	NZ_CP040551.1	2	3116035	2529	1		0	secondary_large
GCF_005937855.2	NZ_CP042177.1	1	3530666	3143	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_005937855.2	NZ_CP042178.1	2	2783599	2428	1		0	secondary_large
GCF_005937855.2	NZ_CP042179.1	3	1067603	943	1		0	secondary_large
GCF_006094315.1	NZ_CP034553.1	1	3781435	3492	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_006094315.1	NZ_CP034554.1	2	3396958	3036	1		0	secondary_large
GCF_006094315.1	NZ_CP034555.1	3	1187977	1036	1		0	secondary_large
GCF_006094315.1	NZ_CP034556.1	4	204170	181	0		0	small_plasmid
GCF_006094315.1	NZ_CP034557.1	5	3849	2	0		0	small_plasmid
GCF_007556815.1	NZ_CP041745.1	1	4485011	4020	50	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_007556815.1	NZ_CP041743.1	2	3016794	2578	1		0	secondary_large
GCF_007556815.1	NZ_CP041744.1	3	125785	128	0		0	small_plasmid
GCF_007724625.1	NZ_CP042164.1	1	3904889	3568	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_007724625.1	NZ_CP042165.1	2	3249718	2876	1		0	secondary_large
GCF_007724625.1	NZ_CP042166.1	3	1536075	1338	0		0	secondary_large
GCF_007724625.1	NZ_CP042167.1	4	239952	255	0		0	small_plasmid
GCF_007724625.1	NZ_CP042168.1	5	71607	101	0		0	small_plasmid
GCF_008693485.1	NZ_CP044054.1	1	3559578	3208	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008693485.1	NZ_CP044055.1	2	2365849	2031	1		0	secondary_large
GCF_008693485.1	NZ_CP044053.1	3	553192	478	1		0	secondary_large
GCF_008693525.1	NZ_CP044058.1	1	3559579	3211	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008693525.1	NZ_CP044056.1	2	2365865	2030	1		0	secondary_large
GCF_008693525.1	NZ_CP044057.1	3	553192	477	1		0	secondary_large
GCF_008728255.1	NZ_CP038214.1	1	3932929	3351	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728255.1	NZ_CP038215.1	2	3171459	2456	1		0	secondary_large
GCF_008728275.1	NZ_CP038216.1	1	3932431	3369	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728275.1	NZ_CP038217.1	2	3147867	2498	1		0	secondary_large
GCF_008728295.1	NZ_CP038218.1	1	3934903	3350	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728295.1	NZ_CP038219.1	2	3171635	2460	1		0	secondary_large
GCF_008728315.1	NZ_CP038220.1	1	3931933	3349	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728315.1	NZ_CP038221.1	2	3159667	2459	1		0	secondary_large
GCF_008728335.1	NZ_CP038222.1	1	3933419	3348	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728335.1	NZ_CP038223.1	2	3169063	2460	1		0	secondary_large
GCF_008728355.1	NZ_CP038224.1	1	3931555	3352	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728355.1	NZ_CP038225.1	2	3167882	2455	1		0	secondary_large
GCF_008728375.1	NZ_CP038226.1	1	3933317	3349	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_008728375.1	NZ_CP038227.1	2	3208533	2507	1		0	secondary_large
GCF_009191525.1	NZ_CP028807.1	1	3618903	3259	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_009191525.1	NZ_CP028808.1	2	3247714	2848	1		0	secondary_large
