locus	accession	best_contig_rank	best_contig_len
MF6_002734	GCF_965199385.1	1	3960616
MF6_002734	GCF_965199395.1	1	3978699
MF6_002734	GCF_965199405.1	1	3963159
MF6_002734	GCF_965199425.1	1	3960129
MF6_002734	GCF_965199435.1	1	3960448
MF6_002734	GCF_965199445.1	1	3960138
MF6_002734	GCF_965199455.1	1	3960447
MF6_002734	GCF_965199515.1	1	3961601
MF6_002734	GCF_965199545.1	1	3963009
MF6_002734	GCF_965199625.1	1	3962433
MF6_002734	GCF_965199835.1	1	4100445
MF6_002734	GCF_965199925.1	1	4178342
MF6_002734	GCF_965201125.1	1	4199711
MF6_002734	GCF_965202565.1	1	4100101
MF6_002734	GCF_965211575.1	1	3960027
MF6_002734	GCF_965211595.1	1	3961589
MF6_002734	GCF_980295165.1	1	3999849
MF6_002734	GCF_980300355.1	1	3996870
MF6_002734	GCF_980300905.1	1	4051212
MF6_002734	GCF_980300945.1	1	4052460
MF6_002734	GCF_980300965.1	1	4155369
MF6_002734	GCF_984667665.1	1	3630971
MF6_002734	GCF_984667675.1	1	3681322
MF6_002734	GCF_984667725.1	1	3700756
MF6_002734	GCF_984667835.1	1	3656760
MF6_002734	GCF_984667895.1	1	3701063
MF6_002734	GCF_984667945.1	1	3676711
MF6_002734	GCF_984667955.1	1	3614124
MF6_002734	GCF_984667975.1	1	3609742
MF6_002734	GCF_984668005.1	1	3790333
MF6_002734	GCF_984668195.1	1	3724312
MF6_002734	GCF_984668265.1	1	3550230
MF6_002734	GCF_984668355.1	1	3772722
MF6_002734	GCF_984668395.1	1	3700732
MF6_002734	GCF_984668525.1	1	3512147
MF6_002734	GCF_984669265.1	1	3668084
MF6_002734	GCF_984669325.1	1	3609742
MF6_002734	GCF_984669335.1	1	3724193
MF6_002734	GCF_984669415.1	1	3676711
MF6_002734	GCF_984669565.1	1	3629775
MF6_002734	GCF_984669585.1	1	3624047
MF6_002734	GCF_984669685.1	1	3701045
MF6_002734	GCF_984669705.1	1	3602122
MF6_002734	GCF_984671675.1	1	3712491
MF6_002734	GCF_984671695.1	1	3729666
MF6_002734	MF6	1	3592343
MF6_002734	MF7	5	513992
MF6_003184	GCA_029762415.1	2	3892275
MF6_003184	GCA_048918525.1	1	4163892
MF6_003184	GCF_000016205.1	1	3652814
MF6_003184	GCF_000194745.1	1	4413616
MF6_003184	GCF_000959445.1	1	3317416
MF6_003184	GCF_000959725.1	1	4668573
MF6_003184	GCF_001523745.2	1	3838800
MF6_003184	GCF_002208175.1	1	4668350
MF6_003184	GCF_002393425.1	1	4209407
MF6_003184	GCF_003019945.1	1	3317400
MF6_003184	GCF_003368325.1	1	4531000
MF6_003184	GCF_003613595.1	1	4668533
MF6_003184	GCF_003713105.1	2	4002946
MF6_003184	GCF_003812585.1	1	3239301
MF6_003184	GCF_009730195.1	1	3432204
MF6_003184	GCF_009931375.1	2	2763738
MF6_003184	GCF_013307145.1	2	2783312
MF6_003184	GCF_014263355.1	2	3985347
MF6_003184	GCF_016698705.1	2	3913767
MF6_003184	GCF_016899425.1	1	3563380
MF6_003184	GCF_020099355.1	1	3317416
MF6_003184	GCF_020843945.1	1	3516315
MF6_003184	GCF_020843965.1	1	3525632
MF6_003184	GCF_020843985.1	1	3493642
MF6_003184	GCF_023658595.1	2	3872622
MF6_003184	GCF_025244785.1	1	4167159
MF6_003184	GCF_025560745.1	3	1195610
MF6_003184	GCF_026651625.1	2	3986150
MF6_003184	GCF_029962485.1	1	3544176
MF6_003184	GCF_030078435.1	1	3314184
MF6_003184	GCF_034424545.1	1	4294907
MF6_003184	GCF_036837415.1	2	3979285
MF6_003184	GCF_036839165.1	2	3979224
MF6_003184	GCF_040314805.1	1	4294889
MF6_003184	GCF_042604585.1	2	3964551
MF6_003184	GCF_042604595.1	2	4046521
MF6_003184	GCF_045862465.1	1	4563288
MF6_003184	GCF_048565175.1	2	4000879
MF6_003184	GCF_048917655.1	1	4163677
MF6_003184	GCF_048917665.1	2	3834690
MF6_003184	GCF_048917685.1	1	4163675
MF6_003184	GCF_050613125.1	2	4049529
MF6_003184	GCF_050632355.1	1	3636668
MF6_003184	GCF_050920555.1	2	3916618
MF6_003184	GCF_052222725.1	2	3914413
MF6_003184	GCF_053038975.1	1	3504123
MF6_003184	GCF_053209605.1	1	3503982
MF6_003184	GCF_053470105.1	1	4292444
MF6_003184	GCF_053470145.1	1	4292446
MF6_003184	GCF_054166185.1	1	3551557
MF6_003184	GCF_054187845.1	1	4134938
MF6_003184	GCF_055386035.1	1	4393699
MF6_003184	GCF_055397955.1	2	3924332
MF6_003184	GCF_056591095.1	1	4047245
MF6_003184	GCF_058448765.1	2	3851263
MF6_003184	GCF_905400185.1	1	3575181
MF6_003184	GCF_964265025.1	1	3917836
MF6_003184	GCF_965118185.1	1	4117855
MF6_003184	GCF_980300905.1	1	4051212
MF6_003184	GCF_980300945.1	1	4052460
MF6_003184	GCF_984668525.1	3	1253739
MF6_003184	MF6	1	3592343
MF6_003184	MF7	10	263971
MF6_003684_2514_2867	GCF_016899425.1	3	1180421
MF6_003684_2514_2867	GCF_030374675.1	3	1022242
MF6_003684_2514_2867	GCF_040735455.1	3	1062595
MF6_003684_2514_2867	GCF_045345775.1	3	1087154
MF6_003684_2514_2867	GCF_053038975.1	3	1244422
MF6_003684_2514_2867	GCF_053209605.1	3	1244416
MF6_003684_2514_2867	GCF_905400185.1	3	1347483
MF6_003684_2514_2867	MF6	3	1179882
MF6_003684_2514_2867	MF7	3	857810
MF6_003684_full	GCF_016899425.1	3	1180421
MF6_003684_full	GCF_030374675.1	3	1022242
MF6_003684_full	GCF_040735455.1	3	1062595
MF6_003684_full	GCF_045345775.1	3	1087154
MF6_003684_full	GCF_053038975.1	3	1244422
MF6_003684_full	GCF_053209605.1	3	1244416
MF6_003684_full	GCF_905400185.1	3	1347483
MF6_003684_full	MF6	3	1179882
MF6_003684_full	MF7	3	857810
MF6_003843	GCA_017356705.2	2	3213568
MF6_003843	GCA_017356725.2	2	3240692
MF6_003843	GCA_964417475.2	2	3240568
MF6_003843	GCA_965199415.1	2	3221869
MF6_003843	GCA_980298765.1	2	3093861
MF6_003843	GCF_000009485.1	3	875977
MF6_003843	GCF_000011545.1	2	3173005
MF6_003843	GCF_000011705.1	2	2325379
MF6_003843	GCF_000012365.1	2	2914771
MF6_003843	GCF_000012785.1	2	3181762
MF6_003843	GCF_000012945.1	3	1395069
MF6_003843	GCF_000015605.1	2	2284095
MF6_003843	GCF_000015625.1	2	2352693
MF6_003843	GCF_000015905.1	2	3127456
MF6_003843	GCF_000015925.1	2	3100794
MF6_003843	GCF_000019505.1	3	1224595
MF6_003843	GCF_000019925.1	2	2769414
MF6_003843	GCF_000203915.1	2	2646969
MF6_003843	GCF_000203955.1	3	1055417
MF6_003843	GCF_000236215.2	3	1039263
MF6_003843	GCF_000260515.1	2	3138747
MF6_003843	GCF_000294635.1	2	3153284
MF6_003843	GCF_000385525.1	2	2763585
MF6_003843	GCF_000439695.1	2	3373917
MF6_003843	GCF_000494855.1	2	3340068
MF6_003843	GCF_000511895.1	2	3361913
MF6_003843	GCF_000511915.1	2	3245956
MF6_003843	GCF_000520895.1	2	3248143
MF6_003843	GCF_000521645.1	2	3245118
MF6_003843	GCF_000567905.1	2	2940942
MF6_003843	GCF_000567925.1	2	2914718
MF6_003843	GCF_000567945.1	2	2852101
MF6_003843	GCF_000583835.1	2	3391010
MF6_003843	GCF_000701165.1	3	1290392
MF6_003843	GCF_000705535.2	3	1448576
MF6_003843	GCF_000706745.1	2	2821713
MF6_003843	GCF_000755765.1	2	3386014
MF6_003843	GCF_000755785.1	2	2325354
MF6_003843	GCF_000755805.1	3	1180302
MF6_003843	GCF_000755825.1	2	3214293
MF6_003843	GCF_000755845.1	2	2146721
MF6_003843	GCF_000755865.1	2	2093560
MF6_003843	GCF_000755885.1	2	2096906
MF6_003843	GCF_000755905.1	2	3194122
MF6_003843	GCF_000755925.1	2	3200711
MF6_003843	GCF_000755945.1	2	3146583
MF6_003843	GCF_000755965.1	2	3236215
MF6_003843	GCF_000755985.1	2	3121665
MF6_003843	GCF_000756025.1	2	2321567
MF6_003843	GCF_000756065.1	2	3236977
MF6_003843	GCF_000756085.1	2	3138647
MF6_003843	GCF_000756125.1	2	3100174
MF6_003843	GCF_000756145.1	2	3102140
MF6_003843	GCF_000756165.1	2	3008404
MF6_003843	GCF_000756185.1	2	3244818
MF6_003843	GCF_000757015.2	2	3225565
MF6_003843	GCF_000757035.2	2	3184745
MF6_003843	GCF_000762285.1	2	2351417
MF6_003843	GCF_000764575.1	2	3248948
MF6_003843	GCF_000764595.1	2	2823176
MF6_003843	GCF_000765375.1	2	2870750
MF6_003843	GCF_000770395.1	2	3194326
MF6_003843	GCF_000770455.1	2	3256009
MF6_003843	GCF_000770495.1	2	3227179
MF6_003843	GCF_000770515.1	2	3327069
MF6_003843	GCF_000770535.1	2	3263576
MF6_003843	GCF_000770565.1	2	3267160
MF6_003843	GCF_000808035.2	2	2966450
MF6_003843	GCF_000953095.1	2	3117372
MF6_003843	GCF_000954175.1	2	3039355
MF6_003843	GCF_000959125.1	2	3145454
MF6_003843	GCF_000959145.1	2	3216446
MF6_003843	GCF_000959165.1	2	2284094
MF6_003843	GCF_000959185.1	2	3108026
MF6_003843	GCF_000959205.1	2	3267445
MF6_003843	GCF_000959225.1	2	3205965
MF6_003843	GCF_000959245.1	2	2722556
MF6_003843	GCF_000959265.1	2	3260260
MF6_003843	GCF_000959285.1	2	3173067
MF6_003843	GCF_000959305.1	2	3127457
MF6_003843	GCF_000959325.1	2	2913181
MF6_003843	GCF_000959345.1	2	3190204
MF6_003843	GCF_000959365.1	2	3002987
MF6_003843	GCF_000959405.1	2	2353260
MF6_003843	GCF_000959425.1	2	2914772
MF6_003843	GCF_000959465.1	2	2126012
MF6_003843	GCF_000959485.1	2	1858539
MF6_003843	GCF_000959545.1	2	2646970
MF6_003843	GCF_000959605.1	2	2897757
MF6_003843	GCF_000959625.1	2	2237503
MF6_003843	GCF_001028665.1	3	1049005
MF6_003843	GCF_001029145.1	3	1627712
MF6_003843	GCF_001277875.1	2	3228004
MF6_003843	GCF_001277895.1	2	3227965
MF6_003843	GCF_001277975.1	2	3156645
MF6_003843	GCF_001318245.1	2	3147816
MF6_003843	GCF_001411495.1	3	1196214
MF6_003843	GCF_001484665.1	3	989585
MF6_003843	GCF_001513745.1	2	2913543
MF6_003843	GCF_001522105.2	2	3126684
MF6_003843	GCF_001522135.2	2	3003039
MF6_003843	GCF_001522635.2	2	2917588
MF6_003843	GCF_001523745.2	2	2752114
MF6_003843	GCF_001524445.2	2	2824254
MF6_003843	GCF_001524625.2	2	2934072
MF6_003843	GCF_001532025.2	2	2832141
MF6_003843	GCF_001606115.1	3	1271875
MF6_003843	GCF_001606135.1	2	1072666
MF6_003843	GCF_001695715.1	2	3256300
MF6_003843	GCF_001695735.1	2	3254339
MF6_003843	GCF_001718295.1	2	2966282
MF6_003843	GCF_001718355.1	2	3052802
MF6_003843	GCF_001718535.1	3	1093546
MF6_003843	GCF_001718555.1	3	900512
MF6_003843	GCF_001718575.1	3	1211521
MF6_003843	GCF_001718595.1	2	2822193
MF6_003843	GCF_001718615.1	2	2940149
MF6_003843	GCF_001718635.1	2	2895326
MF6_003843	GCF_001718655.1	2	3000610
MF6_003843	GCF_001718835.1	2	3417004
MF6_003843	GCF_001718855.1	2	3435939
MF6_003843	GCF_001718875.1	2	2042468
MF6_003843	GCF_001718895.1	3	1121886
MF6_003843	GCF_001718955.1	2	3001569
MF6_003843	GCF_001718975.1	2	3094056
MF6_003843	GCF_001729545.1	2	2226175
MF6_003843	GCF_001742165.1	3	1322975
MF6_003843	GCF_001885195.1	2	3190235
MF6_003843	GCF_001887555.1	2	3236690
MF6_003843	GCF_001887575.1	2	3236690
MF6_003843	GCF_001975065.1	2	3272138
MF6_003843	GCF_001975085.1	2	3249730
MF6_003843	GCF_001975105.1	2	3249682
MF6_003843	GCF_001975125.1	2	3380426
MF6_003843	GCF_001975145.1	2	3380273
MF6_003843	GCF_001980585.2	2	3118370
MF6_003843	GCF_001999785.1	1	7499459
MF6_003843	GCF_001999825.1	2	1055047
MF6_003843	GCF_001999885.1	3	964521
MF6_003843	GCF_002007585.1	3	1056196
MF6_003843	GCF_002097715.1	2	3308659
MF6_003843	GCF_002110945.1	2	3287088
MF6_003843	GCF_002110965.1	2	3273436
MF6_003843	GCF_002111005.1	2	3267867
MF6_003843	GCF_002111025.1	2	3266006
MF6_003843	GCF_002111045.1	2	3263237
MF6_003843	GCF_002111085.1	2	3260317
MF6_003843	GCF_002111105.1	2	3084746
MF6_003843	GCF_002111125.1	2	3212183
MF6_003843	GCF_002111145.1	2	3138916
MF6_003843	GCF_002111165.1	2	3245772
MF6_003843	GCF_002111205.1	2	3078985
MF6_003843	GCF_002111225.1	2	3188810
MF6_003843	GCF_002111245.1	2	3267789
MF6_003843	GCF_002111265.1	2	3265934
MF6_003843	GCF_002111285.1	2	3245094
MF6_003843	GCF_002111305.1	2	3306540
MF6_003843	GCF_002111325.1	2	3207929
MF6_003843	GCF_002111345.1	2	3144330
MF6_003843	GCF_002111365.1	2	3248554
MF6_003843	GCF_002111385.1	2	3269674
MF6_003843	GCF_002209085.2	3	1187984
MF6_003843	GCF_002345985.1	2	2120306
MF6_003843	GCF_002346005.1	2	2105279
MF6_003843	GCF_002346025.1	2	2120565
MF6_003843	GCF_002346045.1	2	2325357
MF6_003843	GCF_002346065.1	2	2104778
MF6_003843	GCF_002346085.1	2	2106749
MF6_003843	GCF_002346105.1	2	2185904
MF6_003843	GCF_002346125.1	2	2240464
MF6_003843	GCF_002346145.1	2	2146721
MF6_003843	GCF_002346165.1	2	2120572
MF6_003843	GCF_002346185.1	2	2728358
MF6_003843	GCF_002346205.1	2	2226558
MF6_003843	GCF_002356275.1	3	932264
MF6_003843	GCF_002386205.1	2	2762025
MF6_003843	GCF_002407525.2	3	1187978
MF6_003843	GCF_002843645.1	2	3258775
MF6_003843	GCF_002860065.1	2	3130290
MF6_003843	GCF_003020025.1	2	2853041
MF6_003843	GCF_003020185.1	2	2940845
MF6_003843	GCF_003076415.1	3	713299
MF6_003843	GCF_003233675.1	3	1483367
MF6_003843	GCF_003445415.1	2	3158067
MF6_003843	GCF_003546465.1	3	1187985
MF6_003843	GCF_003547015.1	2	3112891
MF6_003843	GCF_003547035.1	2	3115305
MF6_003843	GCF_003547055.1	2	3173851
MF6_003843	GCF_003568605.1	2	2735759
MF6_003843	GCF_003606245.1	2	3217986
MF6_003843	GCF_003614815.1	2	2821560
MF6_003843	GCF_003614835.1	2	2852057
MF6_003843	GCF_003704285.1	3	1370749
MF6_003843	GCF_003711145.1	3	1153372
MF6_003843	GCF_003798245.1	2	3157202
MF6_003843	GCF_003798265.1	2	3139076
MF6_003843	GCF_003798365.1	2	3176440
MF6_003843	GCF_003812965.1	2	3155590
MF6_003843	GCF_003966315.1	3	1350848
MF6_003843	GCF_004323015.1	2	3102688
MF6_003843	GCF_004323035.1	2	3113526
MF6_003843	GCF_004348055.1	2	3103695
MF6_003843	GCF_004348075.1	2	3069583
MF6_003843	GCF_004367665.1	2	3099454
MF6_003843	GCF_004367685.1	2	3119419
MF6_003843	GCF_004367705.1	2	3097834
MF6_003843	GCF_004367725.1	2	3099308
MF6_003843	GCF_004526325.1	2	3120072
MF6_003843	GCF_004842085.1	2	3363129
MF6_003843	GCF_005853645.1	2	3162636
MF6_003843	GCF_005862325.1	2	3116035
MF6_003843	GCF_005937855.2	2	2783599
MF6_003843	GCF_006094315.1	3	1187977
MF6_003843	GCF_007724625.1	3	1536075
MF6_003843	GCF_008728255.1	2	3171459
MF6_003843	GCF_008728275.1	2	3147867
MF6_003843	GCF_008728295.1	2	3171635
MF6_003843	GCF_008728315.1	2	3159667
MF6_003843	GCF_008728335.1	2	3169063
MF6_003843	GCF_008728355.1	2	3167882
MF6_003843	GCF_008728375.1	2	3208533
MF6_003843	GCF_009191525.1	3	1528467
MF6_003843	GCF_009586235.1	3	1248114
MF6_003843	GCF_009749345.1	2	3257170
MF6_003843	GCF_009755625.1	3	1541420
MF6_003843	GCF_011578485.1	2	2875717
MF6_003843	GCF_014211915.1	3	1082076
MF6_003843	GCF_014357995.1	3	765157
MF6_003843	GCF_014854795.1	3	1304848
MF6_003843	GCF_016027435.1	2	3126683
MF6_003843	GCF_016027455.1	2	2913520
MF6_003843	GCF_016127755.1	2	2646970
MF6_003843	GCF_016458785.1	2	2704441
MF6_003843	GCF_016774495.1	2	2826723
MF6_003843	GCF_016864355.1	2	3303859
MF6_003843	GCF_016899425.1	3	1180421
MF6_003843	GCF_016899445.1	3	1031707
MF6_003843	GCF_017378155.1	2	3330822
MF6_003843	GCF_017378195.1	2	3203152
MF6_003843	GCF_017378235.1	2	3222599
MF6_003843	GCF_017378275.1	2	3199869
MF6_003843	GCF_017378315.2	2	3074610
MF6_003843	GCF_017378355.1	2	3171004
MF6_003843	GCF_017378435.1	2	3254530
MF6_003843	GCF_018223765.1	3	984325
MF6_003843	GCF_018223785.1	3	1531612
MF6_003843	GCF_018223805.1	3	983740
MF6_003843	GCF_018228345.1	2	3144211
MF6_003843	GCF_018228385.1	2	3117866
MF6_003843	GCF_018228525.1	2	3142999
MF6_003843	GCF_018228545.1	2	3067082
MF6_003843	GCF_018228565.1	2	3143942
MF6_003843	GCF_018228585.1	2	3140230
MF6_003843	GCF_018228605.1	2	3139758
MF6_003843	GCF_018228625.1	3	984365
MF6_003843	GCF_018417535.1	3	1319567
MF6_003843	GCF_018771365.1	2	3250235
MF6_003843	GCF_019915365.1	3	1359055
MF6_003843	GCF_020843905.1	2	2790852
MF6_003843	GCF_020843925.1	2	2746885
MF6_003843	GCF_020843985.1	3	1172335
MF6_003843	GCF_021344035.2	3	1328515
MF6_003843	GCF_021484945.1	3	1422512
MF6_003843	GCF_021535065.1	3	1096197
MF6_003843	GCF_021899435.1	3	1476313
MF6_003843	GCF_022533485.1	3	1529712
MF6_003843	GCF_022809715.1	3	1053196
MF6_003843	GCF_023053515.1	3	1397783
MF6_003843	GCF_023374335.1	3	1017484
MF6_003843	GCF_023374475.1	1	4997612
MF6_003843	GCF_023374675.1	3	1358651
MF6_003843	GCF_023374715.1	3	1358664
MF6_003843	GCF_023374835.1	3	1017703
MF6_003843	GCF_023374855.1	3	1017701
MF6_003843	GCF_024381035.2	3	1260712
MF6_003843	GCF_024600575.1	3	1406349
MF6_003843	GCF_024661975.1	3	1246460
MF6_003843	GCF_024730645.1	3	960211
MF6_003843	GCF_024732225.1	3	880277
MF6_003843	GCF_025560745.1	3	1195610
MF6_003843	GCF_025643515.1	3	1349539
MF6_003843	GCF_025643575.1	3	882513
MF6_003843	GCF_026315025.1	2	3008591
MF6_003843	GCF_026315045.1	2	3008419
MF6_003843	GCF_026683835.2	2	2696226
MF6_003843	GCF_026683855.2	2	2647171
MF6_003843	GCF_026683875.2	2	2647092
MF6_003843	GCF_026958255.1	2	2728612
MF6_003843	GCF_028201395.1	2	3117834
MF6_003843	GCF_028462305.2	3	1229589
MF6_003843	GCF_028657905.1	2	3002736
MF6_003843	GCF_029590335.1	3	1529354
MF6_003843	GCF_029633645.1	3	1352714
MF6_003843	GCF_029633805.1	3	1577351
MF6_003843	GCF_029633825.1	3	1528525
MF6_003843	GCF_029910195.1	2	2467808
MF6_003843	GCF_029962485.1	3	892866
MF6_003843	GCF_030297195.1	2	3144273
MF6_003843	GCF_030297215.1	2	3138372
MF6_003843	GCF_030297235.1	2	3198670
MF6_003843	GCF_030297255.1	2	3143428
MF6_003843	GCF_030297275.1	2	3099277
MF6_003843	GCF_030297295.1	2	3175930
MF6_003843	GCF_030297315.1	2	3143756
MF6_003843	GCF_030297335.1	2	3171481
MF6_003843	GCF_030297355.1	2	3144827
MF6_003843	GCF_030374675.1	3	1022242
MF6_003843	GCF_033675275.1	2	3095076
MF6_003843	GCF_033675305.1	2	3018887
MF6_003843	GCF_033675325.1	3	1312533
MF6_003843	GCF_033870355.1	1	3152963
MF6_003843	GCF_033870375.1	2	2196737
MF6_003843	GCF_033870395.1	1	5822796
MF6_003843	GCF_033956065.1	2	2324638
MF6_003843	GCF_035621555.1	2	2860001
MF6_003843	GCF_037055255.1	3	1309808
MF6_003843	GCF_037101275.1	3	1149504
MF6_003843	GCF_038452255.1	3	848493
MF6_003843	GCF_038723655.1	3	1355460
MF6_003843	GCF_038782865.1	2	2651331
MF6_003843	GCF_038983115.1	2	3198821
MF6_003843	GCF_038983225.1	2	3199400
MF6_003843	GCF_039728355.1	3	1017452
MF6_003843	GCF_039848545.1	2	3167812
MF6_003843	GCF_040215475.1	3	1529208
MF6_003843	GCF_040735455.1	3	1062595
MF6_003843	GCF_040761425.1	3	1094235
MF6_003843	GCF_041070875.1	3	1196453
MF6_003843	GCF_041205585.2	3	608063
MF6_003843	GCF_043193125.1	3	1110499
MF6_003843	GCF_044057485.1	3	1531168
MF6_003843	GCF_045345775.1	3	1087154
MF6_003843	GCF_045925845.1	3	1014137
MF6_003843	GCF_046773525.1	3	1062444
MF6_003843	GCF_047127275.1	3	1354427
MF6_003843	GCF_047902435.1	3	1411079
MF6_003843	GCF_048565265.1	3	1379386
MF6_003843	GCF_048627025.1	2	3399615
MF6_003843	GCF_048688115.1	2	2858975
MF6_003843	GCF_049487195.1	3	1276413
MF6_003843	GCF_049913365.1	2	2774643
MF6_003843	GCF_049942845.1	2	2805731
MF6_003843	GCF_050320195.1	2	3456576
MF6_003843	GCF_050613135.1	3	1273355
MF6_003843	GCF_050632305.1	3	1249564
MF6_003843	GCF_050632315.1	3	1249208
MF6_003843	GCF_050632325.1	3	1232208
MF6_003843	GCF_050632335.1	3	1249557
MF6_003843	GCF_050632345.1	3	1249576
MF6_003843	GCF_050632355.1	3	1455279
MF6_003843	GCF_050813845.1	2	3569160
MF6_003843	GCF_051355645.1	3	1395069
MF6_003843	GCF_051560065.1	2	3203209
MF6_003843	GCF_051560085.1	2	3211908
MF6_003843	GCF_051560105.1	2	3284474
MF6_003843	GCF_051560125.1	2	3288499
MF6_003843	GCF_051560145.1	2	3289396
MF6_003843	GCF_052854005.1	2	3243075
MF6_003843	GCF_052854015.1	2	3195248
MF6_003843	GCF_052854305.1	2	3142130
MF6_003843	GCF_052854315.1	2	3193295
MF6_003843	GCF_052854605.1	2	3174682
MF6_003843	GCF_052854615.1	2	3174777
MF6_003843	GCF_052854885.1	2	3212550
MF6_003843	GCF_052854895.1	2	3100937
MF6_003843	GCF_052855305.1	2	3194467
MF6_003843	GCF_052855315.1	2	3194602
MF6_003843	GCF_052855605.1	2	3147087
MF6_003843	GCF_052855615.1	2	3124250
MF6_003843	GCF_052855985.1	2	3122619
MF6_003843	GCF_052856205.1	2	3118003
MF6_003843	GCF_052857015.1	2	3120946
MF6_003843	GCF_052857225.1	2	3171656
MF6_003843	GCF_052857935.1	2	3149901
MF6_003843	GCF_052858145.1	2	3150400
MF6_003843	GCF_052858685.1	2	3183232
MF6_003843	GCF_052858755.1	2	3114344
MF6_003843	GCF_053038975.1	3	1244422
MF6_003843	GCF_053209605.1	3	1244416
MF6_003843	GCF_053348855.1	3	978336
MF6_003843	GCF_054073385.1	3	972273
MF6_003843	GCF_054073395.1	3	972174
MF6_003843	GCF_054166185.1	2	3014549
MF6_003843	GCF_054558305.1	3	1528475
MF6_003843	GCF_055387925.1	2	2327965
MF6_003843	GCF_055397665.1	2	2221172
MF6_003843	GCF_055810255.1	2	2818906
MF6_003843	GCF_056640905.1	4	927285
MF6_003843	GCF_056783395.1	3	1238097
MF6_003843	GCF_057005415.2	3	1297318
MF6_003843	GCF_057369595.1	3	1253950
MF6_003843	GCF_057439935.1	3	1253950
MF6_003843	GCF_059089405.1	3	1046852
MF6_003843	GCF_902141795.1	2	3115305
MF6_003843	GCF_902141815.1	2	3112891
MF6_003843	GCF_902141835.1	2	3173851
MF6_003843	GCF_904865725.1	3	1023737
MF6_003843	GCF_905400185.1	3	1347483
MF6_003843	GCF_939576165.1	1	5647473
MF6_003843	GCF_964264985.1	3	999322
MF6_003843	GCF_964264995.1	3	1103841
MF6_003843	GCF_964265005.1	3	1103825
MF6_003843	GCF_964265015.1	3	1200466
MF6_003843	GCF_964265025.1	3	1136949
MF6_003843	GCF_965199385.1	2	3249516
MF6_003843	GCF_965199395.1	2	3246938
MF6_003843	GCF_965199405.1	2	3246053
MF6_003843	GCF_965199425.1	2	3246872
MF6_003843	GCF_965199435.1	2	3248534
MF6_003843	GCF_965199445.1	2	3247000
MF6_003843	GCF_965199455.1	2	3248530
MF6_003843	GCF_965199515.1	2	3246993
MF6_003843	GCF_965199545.1	2	3221484
MF6_003843	GCF_965199625.1	2	3246650
MF6_003843	GCF_965199835.1	2	3309517
MF6_003843	GCF_965199925.1	2	3148392
MF6_003843	GCF_965201125.1	2	3256226
MF6_003843	GCF_965202565.1	2	3255975
MF6_003843	GCF_965211575.1	2	3248827
MF6_003843	GCF_965211595.1	2	3222411
MF6_003843	GCF_980295165.1	2	3179731
MF6_003843	GCF_980300355.1	2	3115442
MF6_003843	GCF_980300905.1	2	3200896
MF6_003843	GCF_980300945.1	2	3200795
MF6_003843	GCF_980300965.1	2	3218131
MF6_003843	GCF_984667665.1	3	1190410
MF6_003843	GCF_984667675.1	1	3681322
MF6_003843	GCF_984667725.1	3	1368847
MF6_003843	GCF_984667835.1	3	1282155
MF6_003843	GCF_984667895.1	3	1224010
MF6_003843	GCF_984667945.1	3	1232707
MF6_003843	GCF_984667975.1	3	1271489
MF6_003843	GCF_984668005.1	3	1175751
MF6_003843	GCF_984668195.1	3	1241080
MF6_003843	GCF_984668265.1	3	1270289
MF6_003843	GCF_984668355.1	3	1145148
MF6_003843	GCF_984668395.1	3	1373398
MF6_003843	GCF_984668525.1	3	1253739
MF6_003843	GCF_984669265.1	3	967293
MF6_003843	GCF_984669335.1	3	1274376
MF6_003843	GCF_984669415.1	3	1232707
MF6_003843	GCF_984669565.1	3	1280661
MF6_003843	GCF_984669585.1	3	967604
MF6_003843	GCF_984669685.1	3	1224034
MF6_003843	GCF_984669705.1	3	1336675
MF6_003843	MF6	3	1179882
MF6_003843	MF7	3	857810
MF6_004284_1434_1538	GCF_003368325.1	2	3619047
MF6_004284_1434_1538	GCF_016899425.1	3	1180421
MF6_004284_1434_1538	GCF_905400185.1	3	1347483
MF6_004284_1434_1538	MF6	3	1179882
MF6_004284_1434_1538	MF7	8	318422
MF6_004284_full	GCF_000959445.1	3	1248367
MF6_004284_full	GCF_003019945.1	3	1248348
MF6_004284_full	GCF_003966315.1	1	3645818
MF6_004284_full	GCF_016899425.1	3	1180421
MF6_004284_full	GCF_020099355.1	3	1248367
MF6_004284_full	GCF_020843985.1	3	1172335
MF6_004284_full	GCF_905400185.1	3	1347483
MF6_004284_full	MF6	3	1179882
MF6_004284_full	MF7	8	318422
MF6_004285	GCF_003966315.1	1	3645818
MF6_004285	GCF_016899425.1	3	1180421
MF6_004285	GCF_905400185.1	3	1347483
MF6_004285	MF6	3	1179882
MF6_004285	MF7	8	318422
MF6_004947	GCA_017356705.2	2	3213568
MF6_004947	GCA_017356725.2	2	3240692
MF6_004947	GCA_024298805.1	2	3290308
MF6_004947	GCA_048918525.1	2	3834718
MF6_004947	GCA_055387565.1	2	2879483
MF6_004947	GCA_059696275.1	1	3228657
MF6_004947	GCA_964417475.2	2	3240568
MF6_004947	GCA_965199415.1	2	3221869
MF6_004947	GCA_965199775.1	2	2884388
MF6_004947	GCA_980298765.1	2	3093861
MF6_004947	GCF_000009485.1	2	3217062
MF6_004947	GCF_000011545.1	2	3173005
MF6_004947	GCF_000011705.1	2	2325379
MF6_004947	GCF_000012365.1	2	2914771
