orthogroup	n_genomes	frac_on_c3
GCF_007724625.1|NZ_CP042165.1|KDKDHA_05676	74	0.0135
GCF_008728255.1|NZ_CP038215.1|NJBCPI_04835	102	0.8269
GCF_009586235.1|NZ_CP045237.1|DMGGOM_06947	28	0.3929
GCF_009730175.1|NZ_CP046341.1|EGBKAD_01371	71	0.1127
GCF_009730195.1|NZ_CP046344.1|BGNPBB_00123	14	0.8235
GCF_009789655.1|NZ_CP046911.1|NAJDOB_05177	117	0.0161
GCF_009789655.1|NZ_CP046912.1|NAJDOB_06811	18	0.0000
GCF_009789655.1|NZ_CP046912.1|NAJDOB_06830	13	0.0000
GCF_009789675.1|NZ_CP046916.1|EADHIH_05803	122	0.0163
GCF_009938265.1|NZ_AP022316.1|EKOFLH_03052	126	0.0157
GCF_009938265.1|NZ_AP022318.1|EKOFLH_05535	27	0.8889
GCF_009938265.1|NZ_AP022318.1|EKOFLH_05538	48	0.0208
GCF_011039955.1|NZ_CP049317.1|GGNALE_03837	50	0.9200
GCF_011039955.1|NZ_CP049317.1|GGNALE_03901	11	0.0000
GCF_011039955.1|NZ_CP049318.1|GGNALE_06468	12	0.0833
GCF_011039955.1|NZ_CP049319.1|GGNALE_07704	16	0.0000
GCF_012689525.1|NZ_CP051514.1|LAJHGD_000248	37	1.0000
GCF_012689525.1|NZ_CP051515.1|LAJHGD_002960	24	0.7917
GCF_012689525.1|NZ_CP051515.1|LAJHGD_003045	49	0.0000
GCF_016899445.1|NZ_CP041778.1|MDBEMB_02332	110	0.0091
GCF_017220215.1|NZ_CP071130.1|LKMEBK_03246	132	0.0376
GCF_017220215.1|NZ_CP071130.1|LKMEBK_03307	18	0.1667
GCF_017220215.1|NZ_CP071130.1|LKMEBK_03331	113	0.8053
GCF_017220215.1|NZ_CP071130.1|LKMEBK_03334	113	0.8053
GCF_017514945.1|NZ_CP071827.1|BNMMAG_06915	18	0.6667
GCF_018223785.1|NZ_CP073664.1|BFBNDM_01161	10	1.0000
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05174	63	0.0317
GCF_020843945.1|NZ_CP086295.1|OOEEJG_05594	10	0.0000
GCF_020843965.1|NZ_CP086302.1|ENJFDF_05730	37	0.0000
GCF_022809715.1|NZ_CP094461.1|MKJMLJ_06295	87	0.9326
GCF_022879575.1|NZ_CP084262.1|GEEOEJ_04899	11	0.0000
GCF_022879615.1|NZ_CP084272.1|LMHICO_03021	27	0.1481
GCF_022879615.1|NZ_CP084272.1|LMHICO_03068	100	0.0667
GCF_022879815.1|NZ_CP084284.1|DODOCL_02971	133	0.0150
GCF_023169865.1|NZ_AP025259.1|PBOPCH_08423	11	0.8182
GCF_023373725.1|NZ_CP090787.1|KCIHPB_05698	16	1.0000
GCF_023374455.1|NZ_CP090697.1|FLJCFG_05309	25	0.4000
GCF_023374715.1|NZ_CP090739.1|NFOCGL_07600	11	0.8889
GCF_023374715.1|NZ_CP090739.1|NFOCGL_07619	29	0.5405
GCF_024600575.1|NZ_CP102331.1|BGJCHN_07480	51	1.0000
GCF_024661975.1|NZ_CP102483.1|DMILCA_06486	62	0.0161
GCF_024732225.1|NZ_CP091308.1|PMFFNN_04724	22	0.0000
GCF_025560745.1|NZ_CP090484.1|LJPFDI_04527	54	0.0000
GCF_025560745.1|NZ_CP090484.1|LJPFDI_04552	72	0.1111
GCF_025560745.1|NZ_CP090484.1|LJPFDI_04625	69	0.0435
GCF_025643575.1|NZ_CP102477.1|BIFLHP_06816	10	0.3000
GCF_026683835.2|NZ_CP113271.2|CHONJN_03551	96	0.0303
GCF_026683835.2|NZ_CP113271.2|CHONJN_03618	39	0.0000
GCF_028473685.1|NZ_CP099395.1|GEMCOG_05688	14	0.1429
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04619	40	0.1750
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04634	11	0.0000
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04637	128	0.0986
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04647	93	0.0000
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04665	123	0.0081
GCF_029962485.1|NZ_CP073638.1|GJHEFE_05770	15	0.0000
GCF_030374675.1|NZ_CP126320.1|IAEJEF_02314	111	0.0721
GCF_031585635.1|NZ_CP134197.1|EEDMGB_06967	99	0.0202
GCF_032806925.1|NZ_CP136511.1|HHDGBH_06834	42	0.4310
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00014	78	0.0000
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00022	72	0.1111
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00029	109	0.0183
GCF_034047095.1|NZ_CP139166.1|FHPKOL_03731	20	0.6000
GCF_034047095.1|NZ_CP139166.1|FHPKOL_03745	95	0.9175
GCF_034047095.1|NZ_CP139166.1|FHPKOL_03750	28	0.6429
GCF_034424545.1|NZ_CP139971.1|MDHFGH_05062	60	0.0685
GCF_038050405.1|NZ_CP150901.1|PAEKDM_06168	134	0.0149
GCF_038452255.1|NZ_CP150850.1|FEMODJ_05965	126	0.0079
GCF_039728355.1|NZ_CP155789.1|FHFLOP_07030	87	1.0000
GCF_039848545.1|NZ_CP156687.1|NEIKOA_06763	86	0.1748
GCF_039852015.1|NZ_CP156628.1|LINCGO_04629	34	0.0588
GCA_965217245.1|OZ244259.1|GGGJDH_03408	43	0.0000
GCA_965217245.1|OZ244259.1|GGGJDH_03414	98	0.0102
GCA_965217245.1|OZ244259.1|GGGJDH_03438	27	0.0370
GCA_965217245.1|OZ244259.1|GGGJDH_03464	82	0.4024
GCF_000009485.1|NC_011001.1|AHBBHP_04785	19	0.0000
GCF_000009485.1|NC_011001.1|AHBBHP_04786	19	0.0000
GCF_000009485.1|NC_011001.1|AHBBHP_04861	46	0.0217
GCF_000010545.1|NC_010805.1|FAEGPK_03719	10	0.0000
GCF_000010545.1|NC_010805.1|FAEGPK_03759	13	0.0769
GCF_000010545.1|NC_010805.1|FAEGPK_03762	16	0.1176
GCF_000011705.1|NC_006349.2|JEOCBJ_04630	15	0.1333
GCF_000012365.1|NC_007650.1|CDMLCC_05730	91	0.0000
GCF_000012945.1|NC_007509.1|MPPJPN_06929	18	1.0000
GCF_000012945.1|NC_007509.1|MPPJPN_06960	11	0.9091
GCF_000012945.1|NC_007509.1|MPPJPN_06971	31	0.7742
GCF_000012945.1|NC_007509.1|MPPJPN_06976	25	0.9231
GCF_000012945.1|NC_007509.1|MPPJPN_06977	24	0.9200
GCF_000012945.1|NC_007509.1|MPPJPN_06978	25	0.9231
GCF_000012945.1|NC_007509.1|MPPJPN_06979	25	0.9200
GCF_000012945.1|NC_007509.1|MPPJPN_06980	25	0.8519
GCF_000013645.1|NC_007952.1|NKEBAG_06119	10	0.5000
GCF_000016205.1|NC_009255.1|HIIIOO_03636	43	0.0417
GCF_000016205.1|NC_009254.1|HIIIOO_06406	17	0.8824
GCF_000016205.1|NC_009254.1|HIIIOO_06422	33	0.8788
GCF_000019505.1|NC_010512.1|FDIDAN_06277	13	0.6154
GCF_000019505.1|NC_010512.1|FDIDAN_06283	18	0.9444
GCF_000019505.1|NC_010512.1|FDIDAN_06344	21	0.9545
GCF_000019925.1|NC_010552.1|JOOHOL_04614	19	0.2500
GCF_000020045.1|NC_010623.1|DOBPJF_03799	125	0.0077
GCF_000020045.1|NC_010623.1|DOBPJF_03840	19	0.4211
GCF_000020045.1|NC_010625.1|DOBPJF_06942	86	0.0449
GCF_000020125.1|NC_010676.1|KLLCKE_06216	15	0.1333
GCF_000020125.1|NC_010676.1|KLLCKE_06259	13	0.6154
GCF_000020125.1|NC_010676.1|KLLCKE_06270	121	0.1135
GCF_000020125.1|NC_010676.1|KLLCKE_06284	104	0.0093
GCF_000092885.1|NC_014118.1|MOLOCH_03706	12	0.0000
GCF_000092885.1|NC_014118.1|MOLOCH_03798	122	0.7214
GCF_000198775.1|NC_014718.1|LADPHE_02945	113	0.9558
GCF_000292915.1|NC_018514.1|GOEANH_03370	120	0.0161
GCF_000294635.1|NC_018529.1|CCGDIH_05036	33	0.0811
GCF_000300095.1|NC_018672.1|JAMHFP_05719	13	0.0000
GCF_000567905.1|NZ_CP004090.1|GCDEEK_04022	44	0.0000
GCF_000701165.1|NZ_CP013731.1|CJJPHA_06392	18	0.0000
GCF_000835205.1|NZ_CP002581.1|GBACEL_05373	48	0.0625
GCF_000835205.1|NZ_CP002581.1|GBACEL_05378	11	0.0000
GCF_000835205.1|NZ_CP002581.1|GBACEL_05382	12	0.0000
GCF_000835205.1|NZ_CP002581.1|GBACEL_05390	94	0.0632
GCF_000959245.1|NZ_CP009486.1|LAONHI_05203	10	0.0000
GCF_000959325.1|NZ_CP009547.1|FMEGFI_06356	22	0.3478
GCF_000959505.1|NZ_CP009793.1|IOBNJL_03399	113	0.0088
GCF_000959525.1|NZ_CP009831.1|OHDMIA_04159	110	0.0091
GCF_000961515.1|NZ_CP010027.1|FPIDDM_06783	35	0.0000
GCF_000961515.1|NZ_CP010027.1|FPIDDM_06796	37	0.0000
GCF_001029145.1|NZ_CP009743.1|MMBDNG_00627	25	0.7600
GCF_001029145.1|NZ_CP009743.1|MMBDNG_00694	63	0.0000
GCF_001411495.1|NZ_CP012982.1|ENAEHK_03707	63	0.0794
GCF_001449005.1|NZ_CP013103.1|FJLEBH_05254	17	0.0588
GCF_001449005.1|NZ_CP013104.1|FJLEBH_07391	21	0.4138
GCF_001522635.2|NZ_CP013388.1|AHPEPD_05309	15	0.0000
GCF_001523915.2|NZ_CP013383.1|MGAHHL_04742	101	0.0099
GCF_001557535.2|NZ_CP014315.1|AEKFLI_05022	10	0.2000
GCF_001634365.1|NZ_CP014579.1|KFJOOE_04702	27	0.1613
GCF_001718315.1|NZ_CP013363.1|FPPOAH_04533	35	0.2857
GCF_001718335.1|NZ_CP013365.1|DFAKIC_04075	120	0.0165
GCF_001718415.1|NZ_CP013377.1|BPMFLD_04810	68	0.0222
GCF_001718555.1|NZ_CP013403.1|COAJPG_05717	49	0.0000
GCF_001718575.1|NZ_CP013406.1|MMFJBI_06462	48	0.0000
GCF_001718655.1|NZ_CP013416.1|OAPBOK_04523	12	0.0000
GCF_001718835.1|NZ_CP013442.1|KNHALJ_06975	11	1.0000
GCF_001718875.1|NZ_CP013449.1|BILING_04224	53	0.0000
GCF_001718875.1|NZ_CP013449.1|BILING_04225	53	0.0000
GCF_001718875.1|NZ_CP013449.1|BILING_04227	51	0.0000
GCF_001718875.1|NZ_CP013449.1|BILING_04255	64	0.0000
GCF_001718875.1|NZ_CP013449.1|BILING_04257	86	0.0575
GCF_001718875.1|NZ_CP013449.1|BILING_04298	51	0.0000
GCF_001718955.1|NZ_CP013461.1|MKEBEL_05109	110	0.0090
GCF_001742165.1|NZ_CP016443.1|AGPFIK_05389	25	0.0000
GCF_001865575.2|NZ_CP017563.2|LOJKIB_06437	131	0.0153
GCF_001922345.1|NZ_CP018812.1|FHEGBC_04136	48	0.9796
GCF_017514945.1|NZ_CP071826.1|BNMMAG_04093	69	0.0143
GCF_018417535.1|NZ_CP070978.1|GOINAJ_04608	28	0.3929
GCF_020843925.1|NZ_CP086298.1|GOFCKL_04084	134	0.2473
GCF_020885575.1|NZ_AP024956.1|KLMBLO_04692	116	0.0086
GCF_021899435.1|NZ_CP091648.1|GEPLFC_08069	10	0.6364
GCF_021899435.1|NZ_CP091648.1|GEPLFC_08127	11	0.2727
GCF_021899435.1|NZ_CP091648.1|GEPLFC_08130	19	0.6000
GCF_021899435.1|NZ_CP091648.1|GEPLFC_08157	19	1.0000
GCF_022809715.1|NZ_CP094460.1|MKJMLJ_05336	10	0.1000
GCF_022809715.1|NZ_CP094460.1|MKJMLJ_05355	22	0.0769
GCF_022879595.1|NZ_CP084266.1|AJMEPE_03568	133	0.0149
GCF_023374375.1|NZ_CP090683.1|KBLDKK_05763	23	0.8696
GCF_023374475.1|NZ_CP090698.1|KBPHFL_01139	22	0.5833
GCF_023374475.1|NZ_CP090698.1|KBPHFL_01140	22	0.3750
GCF_023374495.1|NZ_CP090700.1|NEGFAJ_05263	115	0.9741
GCF_023374775.1|NZ_CP090749.1|CLHKHA_05474	106	0.1462
GCF_023658595.1|NZ_CP098322.1|BJAGOE_03933	47	0.0000
GCF_024072595.1|NZ_CP099625.1|JCKLCH_06732	44	0.8163
GCF_024072595.1|NZ_CP099625.1|JCKLCH_06753	11	0.3333
GCF_024600575.1|NZ_CP102331.1|BGJCHN_06641	27	0.8148
GCF_026683835.2|NZ_CP113271.2|CHONJN_05075	99	0.0101
GCF_028657905.1|NZ_CP117781.1|FBKEMI_05316	67	0.0147
GCF_028657905.1|NZ_CP117781.1|FBKEMI_05321	69	0.1143
GCF_028657905.1|NZ_CP117781.1|FBKEMI_05326	133	0.0149
GCF_028657905.1|NZ_CP117781.1|FBKEMI_05382	13	0.0769
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05701	13	0.0000
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05704	23	0.9565
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05709	16	0.0000
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05723	14	0.1333
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05744	15	0.0000
GCF_029962485.1|NZ_CP073638.1|GJHEFE_05565	16	0.0000
GCF_030316075.1|NZ_CP128230.1|ABLKAE_03463	10	0.2000
GCF_030316075.1|NZ_CP128230.1|ABLKAE_03467	10	0.0000
GCF_030316075.1|NZ_CP128230.1|ABLKAE_03495	61	0.6912
GCF_030412785.1|NZ_CP125296.1|ODJFHO_06928	114	0.0088
GCF_030412785.1|NZ_CP125296.1|ODJFHO_06963	14	0.6000
GCF_030644525.1|NZ_CP066799.1|EMLAIA_04666	45	1.0000
GCF_030644525.1|NZ_CP066799.1|EMLAIA_04707	10	0.2000
GCF_030848725.1|NZ_CP132923.1|DAFIMF_04927	57	0.1930
GCF_031585635.1|NZ_CP134196.1|EEDMGB_05053	85	0.7191
GCF_034047095.1|NZ_CP139164.1|FHPKOL_05054	38	0.6923
GCF_034047095.1|NZ_CP139164.1|FHPKOL_05065	50	0.0400
GCF_037101255.1|NZ_AP028999.1|HNPKNL_08874	31	0.1515
GCF_037478035.1|NZ_CP062169.1|EDNPCJ_03047	10	0.7000
GCF_038050405.1|NZ_CP150901.1|PAEKDM_04997	19	0.3684
GCF_038723655.1|NZ_CP109823.1|PLNHJK_04217	89	1.0000
GCF_039848545.1|NZ_CP156686.1|NEIKOA_03512	66	0.0000
GCF_039852015.1|NZ_CP156627.1|LINCGO_04292	12	0.0000
GCF_039852015.1|NZ_CP156627.1|LINCGO_04304	19	0.0000
GCF_039852015.1|NZ_CP156627.1|LINCGO_04320	24	0.0417
GCF_040361905.1|NZ_AP029616.1|ECPMPD_08711	15	0.8667
GCF_044501195.1|NZ_CP162533.1|FEPKBP_04918	15	0.0000
GCF_044501195.1|NZ_CP162534.1|FEPKBP_07690	133	0.1214
GCF_044501195.1|NZ_CP162534.1|FEPKBP_07719	22	1.0000
GCF_046773525.1|NZ_CP177245.1|AAEFPO_05865	10	0.2000
GCF_047497155.1|NZ_CP163162.1|EJBDJJ_02273	99	0.8283
GCF_048917665.1|NZ_CP183170.1|JPPJFB_06523	37	0.3514
GCF_049177125.1|NZ_CP185392.1|BEHLMJ_05227	19	0.1579
GCF_050430075.1|NZ_CP191272.1|KMOOAH_04108	64	0.0769
GCF_050500075.1|NZ_CP191365.1|EGBKKP_06556	108	0.7963
GCF_050500075.1|NZ_CP191365.1|EGBKKP_06582	11	0.9091
GCF_024664135.1|NZ_CP100258.1|JBCKHP_05834	27	0.3704
GCF_024730645.1|NZ_CP078071.1|CLCNFI_04432	66	0.0746
GCF_024732225.1|NZ_CP091308.1|PMFFNN_05642	130	0.0077
GCF_025560745.1|NZ_CP090482.1|LJPFDI_00417	19	0.7037
GCF_025560745.1|NZ_CP090484.1|LJPFDI_06057	40	0.0000
GCF_025560745.1|NZ_CP090484.1|LJPFDI_06085	46	0.0217
GCF_025643495.1|NZ_CP102459.1|FALKAP_05282	13	0.0000
GCF_025643515.1|NZ_CP102464.1|NCIJLD_07022	91	1.0000
GCF_025643515.1|NZ_CP102464.1|NCIJLD_07082	102	0.9327
GCF_026683875.2|NZ_CP113273.2|HJKMJC_05687	121	0.4091
GCF_026958255.1|NZ_CP092844.1|MCPMCB_04728	114	0.0175
GCF_028473685.1|NZ_CP099395.1|GEMCOG_04484	53	0.0000
GCF_028473685.1|NZ_CP099395.1|GEMCOG_04529	17	0.6842
GCF_028473685.1|NZ_CP099395.1|GEMCOG_07023	134	0.0149
GCF_029536165.1|NZ_CP120509.1|IJJJNO_03712	134	0.0149
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05563	44	0.1957
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05632	17	0.8824
GCF_029633645.1|NZ_CP090634.1|KOLAIA_06711	58	0.9483
GCF_029633805.1|NZ_CP090636.1|IDAOHN_03937	105	0.0095
GCF_029910195.1|NZ_CP110393.1|AEIAGP_05020	13	0.0769
GCF_029910195.1|NZ_CP110393.1|AEIAGP_05024	112	0.0089
GCF_029910195.1|NZ_CP110392.1|AEIAGP_06615	37	0.6279
GCF_029910195.1|NZ_CP110392.1|AEIAGP_06628	132	0.0638
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05570	11	0.0909
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05616	124	0.0081
GCF_029910215.1|NZ_CP110396.1|AOJIKF_05668	13	0.0000
GCF_029962485.1|NZ_CP073638.1|GJHEFE_05385	12	0.0000
GCF_030078435.1|NZ_CP120731.1|DIEHEI_03298	126	0.0079
GCF_030316055.1|NZ_CP128232.1|AGJEOP_03150	20	0.0000
GCF_030316055.1|NZ_CP128232.1|AGJEOP_03224	120	0.0083
GCF_030374675.1|NZ_CP126320.1|IAEJEF_02560	12	0.0667
GCF_030412785.1|NZ_CP125296.1|ODJFHO_06024	20	0.3333
GCF_030412785.1|NZ_CP125296.1|ODJFHO_06034	13	0.3846
GCF_030412785.1|NZ_CP125296.1|ODJFHO_07692	12	0.6667
GCF_030412785.1|NZ_CP125296.1|ODJFHO_07764	35	0.7429
GCF_030505635.1|NZ_CP130146.1|HMBJCI_05124	10	0.5000
GCF_030644525.1|NZ_CP066799.1|EMLAIA_04517	30	0.7333
GCF_030644525.1|NZ_CP066799.1|EMLAIA_04542	29	0.5667
GCF_030644525.1|NZ_CP066799.1|EMLAIA_04605	58	0.0172
GCF_030848725.1|NZ_CP132923.1|DAFIMF_04293	24	0.4231
GCF_031356765.1|NZ_CP119874.1|JMMCCG_04381	102	0.1475
GCF_031585635.1|NZ_CP134196.1|EEDMGB_06229	119	0.0167
GCF_032806925.1|NZ_CP136512.1|HHDGBH_04586	118	0.9068
GCF_033391855.2|NZ_CM138822.1|KEADHF_01871	121	0.0083
GCF_033391855.2|NZ_CM138825.1|KEADHF_09238	19	0.2381
GCF_033870355.1|NZ_CP124605.1|FNHLBI_00825	121	0.1494
GCF_034047095.1|NZ_CP139166.1|FHPKOL_03545	21	0.0476
GCF_034424545.1|NZ_CP139971.1|MDHFGH_03976	12	0.2500
GCF_034424545.1|NZ_CP139971.1|MDHFGH_04877	124	0.0242
GCF_035621555.1|NZ_CP141810.1|APGHNP_04436	36	0.0000
GCF_036352035.1|NZ_CP143553.1|MOMFCH_05965	23	0.8696
GCF_037055255.1|NZ_CP146377.1|EHEHHB_04452	121	0.0331
GCF_037055255.1|NZ_CP146377.1|EHEHHB_04456	38	0.0000
GCF_037101255.1|NZ_AP028997.1|HNPKNL_05079	51	0.5385
GCF_037101255.1|NZ_AP028997.1|HNPKNL_05956	11	0.6364
GCF_037101255.1|NZ_AP028997.1|HNPKNL_05968	133	0.0872
GCF_037101275.1|NZ_AP029052.1|JDNFDP_02225	119	0.0084
GCF_037478055.1|NZ_CP062173.1|PHKEAN_02519	14	0.6875
GCF_004842085.1|NZ_CP038805.1|CHGCDF_00307	66	0.6818
GCF_005280735.1|NZ_CP040078.1|GLGJAO_04628	10	0.3000
GCF_005280735.1|NZ_CP040078.1|GLGJAO_04639	23	0.0435
GCF_007556815.1|NZ_CP041743.1|HBCKNG_01014	102	0.0000
GCF_007556815.1|NZ_CP041743.1|HBCKNG_01066	17	0.0000
GCF_009789655.1|NZ_CP046910.1|NAJDOB_04666	116	0.0242
GCF_009789655.1|NZ_CP046910.1|NAJDOB_04674	123	0.0163
GCF_009789675.1|NZ_CP046916.1|EADHIH_06153	13	0.1538
GCF_011039955.1|NZ_CP049317.1|GGNALE_04651	34	0.5882
GCF_011039955.1|NZ_CP049319.1|GGNALE_07314	27	0.0370
GCF_011493005.1|NZ_CP049159.1|MBMLHD_07796	94	0.6526
GCF_012689525.1|NZ_CP051514.1|LAJHGD_002282	42	0.0238
GCF_012689525.1|NZ_CP051515.1|LAJHGD_005551	11	0.0000
GCF_013426915.1|NZ_AP023181.1|JOOGLA_006511	17	0.0000
GCF_013426915.1|NZ_AP023181.1|JOOGLA_006546	24	0.0417
GCF_013426915.1|NZ_AP023183.1|JOOGLA_010292	58	0.7931
GCF_013426915.1|NZ_AP023183.1|JOOGLA_010304	10	0.5000
GCF_014171495.1|NZ_CP049137.1|EIPEHA_07097	26	0.5185
GCF_014171495.1|NZ_CP049137.1|EIPEHA_07099	45	0.3913
GCF_014171495.1|NZ_CP049137.1|EIPEHA_07141	25	0.0769
GCF_016128195.1|NZ_CP066076.1|NAHIAK_04817	13	0.0000
GCF_016128195.1|NZ_CP066076.1|NAHIAK_04831	10	0.0000
GCF_016128195.1|NZ_CP066076.1|NAHIAK_04854	42	0.9524
GCF_016128195.1|NZ_CP066076.1|NAHIAK_04869	10	0.0000
GCF_017220215.1|NZ_CP071131.1|LKMEBK_04726	46	0.7800
GCF_018417535.1|NZ_CP070978.1|GOINAJ_05562	29	0.0000
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05226	46	0.0217
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05241	11	0.3333
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05250	11	0.2727
GCF_019915365.1|NZ_CP082809.1|HKIHII_06568	22	0.8182
GCF_021535065.1|NZ_CP091013.1|ANAEHE_03690	116	0.0086
GCF_022809715.1|NZ_CP094461.1|MKJMLJ_06724	67	1.0000
GCF_022879815.1|NZ_CP084287.1|DODOCL_06747	20	0.6500
GCF_022879815.1|NZ_CP084287.1|DODOCL_06837	14	0.1429
GCF_024600575.1|NZ_CP102330.1|BGJCHN_04803	26	0.2308
GCF_024664255.1|NZ_CP100297.1|PPEPEB_04555	120	0.1923
GCF_026683835.2|NZ_CP113270.2|CHONJN_06091	89	0.6889
GCF_028201395.1|NZ_CP116404.1|LJILDJ_05730	118	0.0085
GCF_013426895.1|NZ_AP023176.1|EGBJMP_07089	11	0.2727
GCF_013426915.1|NZ_AP023181.1|JOOGLA_007829	96	0.7188
GCF_014171495.1|NZ_CP049137.1|EIPEHA_06684	10	0.9000
GCF_014171495.1|NZ_CP049137.1|EIPEHA_06694	36	0.5556
GCF_014171495.1|NZ_CP049137.1|EIPEHA_06719	12	0.0000
GCF_014171495.1|NZ_CP049137.1|EIPEHA_06741	27	0.3333
GCF_014171495.1|NZ_CP049137.1|EIPEHA_06777	16	0.0556
GCF_014854795.1|NZ_CP032011.1|KEPDBM_04870	19	0.1579
GCF_014854795.1|NZ_CP032011.1|KEPDBM_04907	47	0.0638
GCF_016899445.1|NZ_CP041778.1|MDBEMB_01883	125	0.0160
GCF_017514945.1|NZ_CP071826.1|BNMMAG_04259	29	0.0000
GCF_018228625.1|NZ_CP073704.1|PLDJHG_03833	10	0.9000
GCF_018228625.1|NZ_CP073704.1|PLDJHG_03844	78	0.1264
GCF_018408855.1|NZ_AP024326.1|IOAPJC_07184	58	0.8000
GCF_018417535.1|NZ_CP070978.1|GOINAJ_06550	21	0.1905
GCF_019428685.1|NZ_CP080096.1|GAAIKK_06915	69	0.0145
GCF_019428685.1|NZ_CP080096.1|GAAIKK_06925	128	0.0294
GCF_019428685.1|NZ_CP080096.1|GAAIKK_06937	13	0.0000
GCF_020885575.1|NZ_AP024959.1|KLMBLO_09493	61	0.9016
GCF_022879595.1|NZ_CP084266.1|AJMEPE_03714	11	0.0909
GCF_022879595.1|NZ_CP084266.1|AJMEPE_03730	134	0.0971
GCF_023374475.1|NZ_CP090698.1|KBPHFL_02565	88	0.8333
GCF_024732225.1|NZ_CP091308.1|PMFFNN_03507	26	0.5385
GCF_024732225.1|NZ_CP091308.1|PMFFNN_03543	126	0.0078
GCF_026958255.1|NZ_CP092844.1|MCPMCB_05185	132	0.0686
GCF_026958255.1|NZ_CP092844.1|MCPMCB_05278	19	0.0000
GCF_028657905.1|NZ_CP117780.1|FBKEMI_06209	97	0.0103
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05101	21	0.3333
GCF_029536165.1|NZ_CP120509.1|IJJJNO_06190	11	0.0909
GCF_029536165.1|NZ_CP120509.1|IJJJNO_06198	59	0.9333
GCF_029633645.1|NZ_CP090633.1|KOLAIA_04335	26	0.5000
GCF_029910215.1|NZ_CP110396.1|AOJIKF_04266	14	0.0714
GCF_029910215.1|NZ_CP110396.1|AOJIKF_04278	15	0.0667
GCF_029910215.1|NZ_CP110396.1|AOJIKF_04294	15	0.0667
GCF_029910215.1|NZ_CP110396.1|AOJIKF_04306	88	0.8315
GCF_029910215.1|NZ_CP110396.1|AOJIKF_04315	12	0.1667
GCF_029962485.1|NZ_CP073638.1|GJHEFE_03874	12	0.0000
GCF_029962485.1|NZ_CP073639.1|GJHEFE_06864	81	1.0000
GCF_030412785.1|NZ_CP125297.1|ODJFHO_08166	12	0.0000
GCF_031585635.1|NZ_CP134197.1|EEDMGB_07388	32	0.3125
GCF_037055255.1|NZ_CP146377.1|EHEHHB_06321	114	0.7570
GCF_037055255.1|NZ_CP146377.1|EHEHHB_06355	45	0.0222
GCF_038050405.1|NZ_CP150901.1|PAEKDM_05665	12	0.3333
GCF_038050405.1|NZ_CP150901.1|PAEKDM_05670	12	0.3846
GCF_038050405.1|NZ_CP150901.1|PAEKDM_05671	11	0.1818
GCF_038452255.1|NZ_CP150850.1|FEMODJ_04223	12	0.0000
GCF_039728355.1|NZ_CP155788.1|FHFLOP_03780	17	0.1176
GCF_039848545.1|NZ_CP156686.1|NEIKOA_05442	49	0.0000
GCF_039848545.1|NZ_CP156686.1|NEIKOA_05465	11	0.3333
GCF_039852015.1|NZ_CP156628.1|LINCGO_04413	35	0.8889
GCF_039852015.1|NZ_CP156628.1|LINCGO_04414	35	0.8889
GCF_039852015.1|NZ_CP156628.1|LINCGO_04450	109	0.0182
GCF_039852015.1|NZ_CP156628.1|LINCGO_04468	21	0.7619
GCF_040761425.1|NZ_CP142889.1|ANFEBE_06896	15	0.3333
GCF_042604585.1|NZ_CP152483.1|CCNFDO_04718	11	0.4545
GCF_014171495.1|NZ_CP049135.1|EIPEHA_04252	15	0.0625
GCF_014171495.1|NZ_CP049138.1|EIPEHA_07583	38	0.1026
GCF_014171495.1|NZ_CP049138.1|EIPEHA_07633	10	0.2000
GCF_016458805.1|NZ_CP066770.1|FJFBBM_05824	13	0.4615
GCF_016698705.1|NZ_CP068050.1|CGEHKB_05487	134	0.0196
GCF_018223765.1|NZ_CP073669.1|MIMDBL_05641	11	0.3636
GCF_018408855.1|NZ_AP024326.1|IOAPJC_06863	13	0.2308
GCF_018417535.1|NZ_CP070978.1|GOINAJ_05775	22	0.0000
GCF_021899435.1|NZ_CP091648.1|GEPLFC_07849	19	0.1667
GCF_022879615.1|NZ_CP084273.1|LMHICO_04608	16	0.2353
GCF_022879815.1|NZ_CP084285.1|DODOCL_05715	118	0.1429
